Country,AMR_Burden
Egypt,0.47619047619047616
India,0.3750216425232296
Ukraine,0.3525299600532623
Nigeria,0.3451492537313433
Russia,0.294881275162271
Ivory Coast,0.2706270627062706
Romania,0.21371101069106138
Turkey,0.20472610096670246
Brazil,0.20190499302311474
Cameroon,0.1865482233502538
Greece,0.17720786733513305
Morocco,0.1696798493408663
Qatar,0.16631430584918958
Jordan,0.16017147310989868
Thailand,0.14489081016620706
Guatemala,0.14442567567567569
Kenya,0.14303797468354432
Philippines,0.13324494530991052
Colombia,0.12950523188218577
South Africa,0.12842626019521328
Chile,0.12623499012007905
Kuwait,0.12226479352916135
Bulgaria,0.11995637949836423
Poland,0.11929452110720992
Argentina,0.11807749875270247
Malaysia,0.11797665369649805
Italy,0.11618346647518175
Mexico,0.1114831200924708
Saudi Arabia,0.10504959422903516
Portugal,0.10252962852305547
Croatia,0.10123987113150444
Tunisia,0.09866666666666667
Venezuela,0.0965303706401967
Taiwan,0.09048381928868952
Panama,0.08058977984245606
Israel,0.07701231976133915
Dominican Republic,0.07560975609756097
"Korea, South",0.07096695524935984
Czech Republic,0.06829463114052604
Costa Rica,0.06781829814459372
Lithuania,0.06637458926615553
Hungary,0.059194565744784086
Puerto Rico,0.05755395683453238
Honduras,0.05263157894736842
Pakistan,0.05097312326227989
Spain,0.040921458925677945
Belgium,0.039783762786481935
Austria,0.03608962918897482
United Kingdom,0.03241037598367823
France,0.03141867397083702
Hong Kong,0.029501216545012164
Ireland,0.028649224576772818
Latvia,0.026841448189762796
Germany,0.02237226645167792
New Zealand,0.0205761316872428
United States,0.020321919459850495
Japan,0.01827224564817818
Canada,0.017550810189770612
Australia,0.016997325011145786
Netherlands,0.016586847330919287
Singapore,0.015484515484515484
Denmark,0.014712806026365348
China,0.012983818062541001
Sweden,0.012218649517684888
El Salvador,0.011494252873563218
Switzerland,0.010835328209651001
Slovak Republic,0.010309278350515464
Mauritius,0.008403361344537815
Slovenia,0.008352315869400152
Finland,0.00827153451226469
Uganda,0.0
Lebanon,0.0
Serbia,0.0
Oman,0.0
Norway,0.0
Nicaragua,0.0
Namibia,0.0
Malawi,0.0
Jamaica,0.0
Indonesia,0.0
Ghana,0.0
Estonia,0.0
Vietnam,0.0
