Organism,Omadacycline,Doxycycline,Minocycline,Tetracycline,Tigecycline,Oxacillin,Ceftaroline,Ceftriaxone,"Amoxicillin-
clavulanic acid","Piperacillin-
tazobactam",Levofloxacin,Erythromycin,Clindamycin,Linezolid,Daptomycin,Vancomycin,Teicoplanin,Gentamicin,Amikacin,Ampicillin,Azithromycin,Aztreonam,Cefepime,Ceftazidime,Colistin,Imipenem,Moxifloxacin,Penicillin,"Trimethoprim-
sulfamethoxazole"
Staphylococcus aureus,0.13991304936989024,0.3260116546957582,0.2709327107279693,0.9843180483397335,0.09239734381352487,1.0461813993405302,0.45196855385785834,5.559473929236499,,7.085893854748603,1.3311552884832603,3.7732178352005783,0.3330020778751468,1.1277274369861776,0.313054614446402,0.7661854645647952,0.5414338919925512,1.0925924922076162,,,,,,,,,,,0.6745083337097431
Escherichia coli,0.9183807910340783,3.106947087188844,2.6717639583156827,6.189129726205997,0.1860349322210636,,,1.5152831172216068,,6.868730924742402,3.4445290280495757,,,,,,,2.486752738654147,3.4559925703858188,,,2.5893607871245194,7.343510039113429,3.664625985534632,,0.1495966638430964,,,2.71691510172144
Pseudomonas aeruginosa,26.658526221768533,7.63733750478866,15.201141429669486,,6.69568785094436,,,,,22.784034975746746,3.1160315735651283,,,,,,,3.3391500765696787,6.494959806048232,,,,6.803502298263534,7.368679943827397,0.7763500574492531,2.4606867500638243,,,
Klebsiella pneumoniae,2.796784982060482,3.2216356877323418,5.16461130449196,5.359946133128126,0.6104371794871795,,,2.055392106611994,,18.721979474021808,2.3090523546772745,,,,,,,2.427478851576519,2.8651012301383907,,,3.904988467452588,12.849233974358974,6.9911007175807285,,0.6123718605843157,,,2.2522746505962306
Streptococcus pneumoniae,0.06204311672312904,0.2644401888772298,0.2660073413738857,1.2004744300677759,0.047158656808379544,,0.03434549819927971,0.22304452318594978,0.46277812018489983,,0.9776039421004005,4.061223813924831,0.4528615432003696,1.081165691407453,,0.27201601724934543,,,,,2.8415806863818913,,,,,,,0.4254567292885741,0.997617067159581
Enterococcus faecalis,0.10703531034482758,4.480608622147084,5.35638684552142,10.800066225165564,0.08360458057395144,,,,,4.342677345537758,1.678681379310345,9.141536189069424,1.9427621861152142,1.1282068965517242,0.8262675862068964,1.5691006896551722,2.550314465408805,177.05308310991958,,0.8963310344827585,,,,,,,,,
Haemophilus influenzae,0.7710721529991307,,,0.5858272964358158,0.21686248912097475,,,0.00897073312083454,1.110930165169516,,0.034057391304347824,,,,,,,,,2.5699797160243407,1.0802941176470588,,,,,,0.04890782608695652,,1.4650533487967528
Acinetobacter baumannii-calcoaceticus species complex,2.4732869481765833,2.7464731285988484,2.2666935483870967,8.590494479116659,1.5537092130518233,,,,,57.2678623364033,6.091876199616123,,,,,,,5.771219395103217,12.937469995199232,,,,22.18392599711677,,,3.8661324376199615,,,2.738282149712092
Streptococcus pyogenes,0.07364127764127763,0.40934563758389264,0.38434957983193274,1.3065125430398425,0.047412776412776414,,0.008081601231716704,0.030629370629370628,0.030629370629370628,0.06664335664335663,0.5776265356265357,1.8425147637795274,0.3031253071253071,1.126044226044226,0.07445717131474103,0.3590712530712531,0.09954545454545455,,,,,,,,,,,0.014487469287469287,0.14261306532663315
Proteus mirabilis,19.770687936191425,7.922731804586241,19.52041477640959,15.781655034895314,2.8295114656031903,,,0.5622283150548355,,0.7511565304087736,2.6242957042957045,,,,,,,2.1491076769690927,3.742273180458624,,,0.20647557328015953,1.3776221335992023,0.8296610169491525,,1.8931056829511466,,,2.297705
