Source,AMR_Burden
Esophagus,0.0
Lymphatic Fluid,0.0
Ascetic Fluid,0.0
Vomit,0.0
Blood Vessels,0.0
Head,0.0
Transtracheal Aspirate,0.0
Testis,0.0
Pyoderma Lesion,0.0
Nasopharyngeal Aspirate,0.0
Nasotracheal Aspirate,0.0
Peripheral Nerves,0.0
Bone Marrow,0.0
Spleen,0.0
Paracentesis Fluid,0.0
Bronchiole,0.0
Thymus,0.0
Ear,0.0017448623497479643
Placenta,0.002881844380403458
Eye,0.003774422735346359
Uterus,0.0038684719535783366
Spinal Cord,0.005226480836236934
Respiratory: Sinuses,0.0062009094667217855
Nose,0.008130081300813009
Synovial Fluid,0.008455034588777863
Vagina,0.009086483855265294
Skeletal: Other,0.010554089709762533
Muscle,0.011152416356877323
Ovary,0.011235955056179775
Skin,0.01444338465731026
CNS: Other,0.014545454545454545
Penis,0.01545253863134658
Tissue Fluid,0.015508021390374332
Bone,0.01568477429227238
Integumentary (Skin Nail Hair),0.016728624535315983
Pleural Fluid,0.017180394138453764
Trachea,0.01737461749909237
Throat,0.018978882651697407
Abdominal Fluid,0.020428134556574922
Aspirate,0.02084343189529811
CSF,0.021311475409836064
HEENT: Other,0.02226027397260274
Nails,0.02586206896551724
Feces/Stool,0.02600754417311892
Bodily Fluids,0.027370855821125674
Bile,0.027522935779816515
Instruments: Other,0.02838709677419355
Mouth,0.028680688336520075
Lymph Nodes,0.028846153846153848
Circulatory: Other,0.030434782608695653
Fallopian Tubes,0.03076923076923077
Drains,0.03108305002428363
None Given,0.031439722463139634
Impetiginous lesions,0.032214765100671144
Genitourinary: Other,0.03288384196829903
Heart,0.034482758620689655
Exudate,0.036305956996827635
Lungs,0.03632343651295009
Catheters,0.03808314820691844
Furuncle,0.03834066624764299
Cellulitis,0.04504061038641398
Hair,0.04878048780487805
Respiratory: Other,0.052954797140843654
Abscess,0.05324571639132838
Skin: Other,0.05401441234615139
Sputum,0.05619049072265625
Carbuncle,0.05636070853462158
Wound,0.05820288255982346
Cervix,0.05970149253731343
Brain,0.05970149253731343
Bronchus,0.060553463238906174
Ulcer,0.06149657964539997
Gastric Abscess,0.06488328920539274
Appendix,0.06914584543869844
Burn,0.07530899683817188
Vas Deferens,0.07692307692307693
Blood,0.08124392614188533
Decubitus,0.09368191721132897
Thoracentesis Fluid,0.10271703114645461
Peritoneal Fluid,0.10273538082621189
Gall Bladder,0.1027433534583201
Ureter,0.10350584307178631
Intestinal: Other,0.10483633146564435
Kidney,0.10701754385964912
Liver,0.11346938775510204
Stomach,0.11741682974559686
Urethra,0.11761263897015799
Urine,0.12288419672921484
Prostate,0.12751677852348994
Bladder,0.1288244766505636
Pancreas,0.1322930800542741
Bronchoalveolar lavage,0.1326050189696942
Diverticulum,0.1377049180327869
Endotracheal aspirate,0.142079591366786
Rectum,0.16042154566744732
Colon,0.19170096021947874
Ileum,2.0
