set	sample_id	Drug_Class	ARG_hits	mobile_context_ARG_hits
RM2016_USA_crossstudy_additional8	ERR1713397	aminoglycoside antibiotic	10	0
RM2016_USA_crossstudy_additional8	ERR1713397	carbapenem	4	0
RM2016_USA_crossstudy_additional8	ERR1713397	cephalosporin	10	0
RM2016_USA_crossstudy_additional8	ERR1713397	cephamycin	3	0
RM2016_USA_crossstudy_additional8	ERR1713397	diaminopyrimidine antibiotic	2	0
RM2016_USA_crossstudy_additional8	ERR1713397	disinfecting agents and antiseptics	41	9
RM2016_USA_crossstudy_additional8	ERR1713397	fluoroquinolone antibiotic	16	2
RM2016_USA_crossstudy_additional8	ERR1713397	glycopeptide antibiotic	132	0
RM2016_USA_crossstudy_additional8	ERR1713397	glycylcycline	3	0
RM2016_USA_crossstudy_additional8	ERR1713397	lincosamide antibiotic	9	1
RM2016_USA_crossstudy_additional8	ERR1713397	macrolide antibiotic	12	3
RM2016_USA_crossstudy_additional8	ERR1713397	monobactam	2	0
RM2016_USA_crossstudy_additional8	ERR1713397	nitroimidazole antibiotic	12	1
RM2016_USA_crossstudy_additional8	ERR1713397	oxazolidinone antibiotic	2	0
RM2016_USA_crossstudy_additional8	ERR1713397	penam	9	0
RM2016_USA_crossstudy_additional8	ERR1713397	penem	2	0
RM2016_USA_crossstudy_additional8	ERR1713397	peptide antibiotic	3	0
RM2016_USA_crossstudy_additional8	ERR1713397	phenicol antibiotic	6	0
RM2016_USA_crossstudy_additional8	ERR1713397	phosphonic acid antibiotic	2	0
RM2016_USA_crossstudy_additional8	ERR1713397	pleuromutilin antibiotic	1	0
RM2016_USA_crossstudy_additional8	ERR1713397	rifamycin antibiotic	4	0
RM2016_USA_crossstudy_additional8	ERR1713397	streptogramin A antibiotic	2	0
RM2016_USA_crossstudy_additional8	ERR1713397	streptogramin B antibiotic	2	0
RM2016_USA_crossstudy_additional8	ERR1713397	streptogramin antibiotic	4	1
RM2016_USA_crossstudy_additional8	ERR1713397	tetracycline antibiotic	39	6
RM2016_USA_crossstudy_additional8	ERR1713398	aminoglycoside antibiotic	6	1
RM2016_USA_crossstudy_additional8	ERR1713398	carbapenem	3	1
RM2016_USA_crossstudy_additional8	ERR1713398	cephalosporin	3	1
RM2016_USA_crossstudy_additional8	ERR1713398	diaminopyrimidine antibiotic	1	0
RM2016_USA_crossstudy_additional8	ERR1713398	disinfecting agents and antiseptics	22	7
RM2016_USA_crossstudy_additional8	ERR1713398	elfamycin antibiotic	1	0
RM2016_USA_crossstudy_additional8	ERR1713398	fluoroquinolone antibiotic	5	0
RM2016_USA_crossstudy_additional8	ERR1713398	glycopeptide antibiotic	82	2
RM2016_USA_crossstudy_additional8	ERR1713398	glycylcycline	1	0
RM2016_USA_crossstudy_additional8	ERR1713398	lincosamide antibiotic	3	0
RM2016_USA_crossstudy_additional8	ERR1713398	macrolide antibiotic	8	2
RM2016_USA_crossstudy_additional8	ERR1713398	nitroimidazole antibiotic	1	0
RM2016_USA_crossstudy_additional8	ERR1713398	oxazolidinone antibiotic	1	0
RM2016_USA_crossstudy_additional8	ERR1713398	penam	3	1
RM2016_USA_crossstudy_additional8	ERR1713398	peptide antibiotic	1	0
RM2016_USA_crossstudy_additional8	ERR1713398	phenicol antibiotic	1	0
RM2016_USA_crossstudy_additional8	ERR1713398	phosphonic acid antibiotic	1	0
RM2016_USA_crossstudy_additional8	ERR1713398	rifamycin antibiotic	2	1
RM2016_USA_crossstudy_additional8	ERR1713398	salicylic acid antibiotic	1	0
RM2016_USA_crossstudy_additional8	ERR1713398	streptogramin A antibiotic	1	0
RM2016_USA_crossstudy_additional8	ERR1713398	streptogramin B antibiotic	1	0
RM2016_USA_crossstudy_additional8	ERR1713398	streptogramin antibiotic	3	1
RM2016_USA_crossstudy_additional8	ERR1713398	tetracycline antibiotic	15	1
RM2016_USA_crossstudy_additional8	ERR1713400	aminocoumarin antibiotic	2	0
RM2016_USA_crossstudy_additional8	ERR1713400	aminoglycoside antibiotic	8	0
RM2016_USA_crossstudy_additional8	ERR1713400	carbapenem	7	1
RM2016_USA_crossstudy_additional8	ERR1713400	cephalosporin	16	1
RM2016_USA_crossstudy_additional8	ERR1713400	cephamycin	6	1
RM2016_USA_crossstudy_additional8	ERR1713400	diaminopyrimidine antibiotic	3	0
RM2016_USA_crossstudy_additional8	ERR1713400	disinfecting agents and antiseptics	32	5
RM2016_USA_crossstudy_additional8	ERR1713400	elfamycin antibiotic	1	0
RM2016_USA_crossstudy_additional8	ERR1713400	fluoroquinolone antibiotic	24	3
RM2016_USA_crossstudy_additional8	ERR1713400	glycopeptide antibiotic	92	2
RM2016_USA_crossstudy_additional8	ERR1713400	glycylcycline	5	0
RM2016_USA_crossstudy_additional8	ERR1713400	lincosamide antibiotic	12	2
RM2016_USA_crossstudy_additional8	ERR1713400	macrolide antibiotic	17	6
RM2016_USA_crossstudy_additional8	ERR1713400	monobactam	1	0
RM2016_USA_crossstudy_additional8	ERR1713400	nitroimidazole antibiotic	3	1
RM2016_USA_crossstudy_additional8	ERR1713400	nucleoside antibiotic	4	1
RM2016_USA_crossstudy_additional8	ERR1713400	oxazolidinone antibiotic	1	1
RM2016_USA_crossstudy_additional8	ERR1713400	penam	19	1
RM2016_USA_crossstudy_additional8	ERR1713400	penem	2	0
RM2016_USA_crossstudy_additional8	ERR1713400	peptide antibiotic	6	0
RM2016_USA_crossstudy_additional8	ERR1713400	phenicol antibiotic	8	1
RM2016_USA_crossstudy_additional8	ERR1713400	phosphonic acid antibiotic	4	0
RM2016_USA_crossstudy_additional8	ERR1713400	pleuromutilin antibiotic	1	0
RM2016_USA_crossstudy_additional8	ERR1713400	rifamycin antibiotic	5	0
RM2016_USA_crossstudy_additional8	ERR1713400	streptogramin A antibiotic	2	0
RM2016_USA_crossstudy_additional8	ERR1713400	streptogramin B antibiotic	2	0
RM2016_USA_crossstudy_additional8	ERR1713400	streptogramin antibiotic	5	2
RM2016_USA_crossstudy_additional8	ERR1713400	tetracycline antibiotic	25	4
RM2016_USA_crossstudy_additional8	ERR1713405	aminocoumarin antibiotic	5	0
