sample_id	cohort	FASTP	Bowtie2	CARD_RGI_BWT	DIAMOND_CARD	Assembly	geNomAD	CARD_RGI_Main
ERR1713332	RM2016_batch02_10countries_plus_USA_alt11	PASS	PASS	PASS	PASS	PASS	PASS	PASS
ERR1713334	RM2016_batch02_10countries_plus_USA_alt11	PASS	PASS	PASS	PASS	PASS	PASS	PASS
ERR1713337	RM2016_batch02_10countries_plus_USA_alt11	PASS	PASS	PASS	PASS	PASS	PASS	PASS
ERR1713335	RM2016_batch02_10countries_plus_USA_alt11	PASS	PASS	PASS	PASS	PASS	PASS	PASS
ERR1713339	RM2016_batch02_10countries_plus_USA_alt11	PASS	PASS	PASS	PASS	PASS	PASS	PASS
ERR1713349	RM2016_batch02_10countries_plus_USA_alt11	PASS	PASS	PASS	PASS	PASS	PASS	PASS
ERR1713352	RM2016_batch02_10countries_plus_USA_alt11	PASS	PASS	PASS	PASS	PASS	PASS	PASS
ERR1713362	RM2016_batch02_10countries_plus_USA_alt11	PASS	PASS	PASS	PASS	PASS	PASS	PASS
ERR1713379	RM2016_batch02_10countries_plus_USA_alt11	PASS	PASS	PASS	PASS	PASS	PASS	PASS
ERR1713343	RM2016_batch02_10countries_plus_USA_alt11	PASS	PASS	PASS	PASS	PASS	PASS	PASS
ERR1713403	RM2016_batch02_10countries_plus_USA_alt11	PASS	PASS	PASS	PASS	PASS	PASS	PASS
