set	sample_id	Drug_Class	ARG_hits	mobile_context_ARG_hits
RM2016_batch03_global10	ERR1725980	aminoglycoside antibiotic	5	2
RM2016_batch03_global10	ERR1725980	carbapenem	5	1
RM2016_batch03_global10	ERR1725980	cephalosporin	4	1
RM2016_batch03_global10	ERR1725980	disinfecting agents and antiseptics	14	2
RM2016_batch03_global10	ERR1725980	elfamycin antibiotic	1	0
RM2016_batch03_global10	ERR1725980	fluoroquinolone antibiotic	1	0
RM2016_batch03_global10	ERR1725980	glycopeptide antibiotic	11	0
RM2016_batch03_global10	ERR1725980	lincosamide antibiotic	1	0
RM2016_batch03_global10	ERR1725980	macrolide antibiotic	5	0
RM2016_batch03_global10	ERR1725980	penam	5	2
RM2016_batch03_global10	ERR1725980	streptogramin A antibiotic	1	0
RM2016_batch03_global10	ERR1725980	streptogramin B antibiotic	1	0
RM2016_batch03_global10	ERR1725980	streptogramin antibiotic	2	0
RM2016_batch03_global10	ERR1725980	tetracycline antibiotic	4	0
