sample_id	cohort	FASTP	Bowtie2	CARD_RGI_BWT	DIAMOND_CARD	Assembly	geNomAD	CARD_RGI_Main	ARG_Mobility_Overlap
ERR1713346	RM2016_batch03_global10	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
ERR1713370	RM2016_batch03_global10	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
ERR1713382	RM2016_batch03_global10	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
ERR1713385	RM2016_batch03_global10	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
ERR1713386	RM2016_batch03_global10	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
ERR1725938	RM2016_batch03_global10	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
ERR1725952	RM2016_batch03_global10	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
ERR1725965	RM2016_batch03_global10	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
ERR1725980	RM2016_batch03_global10	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
ERR1725981	RM2016_batch03_global10	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
