sample_id	source_file	source_bytes	source_sha256	delivered_file	delivered_bytes	decompressed_sha256	status
ERR1713346	rr-analysis/hendriksen_resistancemap_2016/.snapshot/daily.2026-08-08_0010/stage3_4c_diamond_card_PRJEB13831_batch03_global10/results_cleanfasta/ERR1713346/ERR1713346_R1_diamond_card.tsv;rr-analysis/hendriksen_resistancemap_2016/.snapshot/daily.2026-08-08_0010/stage3_4c_diamond_card_PRJEB13831_batch03_global10/results_cleanfasta/ERR1713346/ERR1713346_R2_diamond_card.tsv	6870010	7c8007aa5ffd2dad731dd7f2b0d29f79016e72ffcfd79ecad3b9e1eaea74ba02	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch03_global10/DIAMOND_CARD/ERR1713346/ERR1713346_diamond_card_merged.tsv.gz	1268144	7c8007aa5ffd2dad731dd7f2b0d29f79016e72ffcfd79ecad3b9e1eaea74ba02	PASS
ERR1713370	rr-analysis/hendriksen_resistancemap_2016/.snapshot/daily.2026-08-08_0010/stage3_4c_diamond_card_PRJEB13831_batch03_global10/results_cleanfasta/ERR1713370/ERR1713370_R1_diamond_card.tsv;rr-analysis/hendriksen_resistancemap_2016/.snapshot/daily.2026-08-08_0010/stage3_4c_diamond_card_PRJEB13831_batch03_global10/results_cleanfasta/ERR1713370/ERR1713370_R2_diamond_card.tsv	14842610	6265d8fdde9d5d0df903b309e636bf8991c47b544ff8f9e051da6d23627166d9	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch03_global10/DIAMOND_CARD/ERR1713370/ERR1713370_diamond_card_merged.tsv.gz	2728200	6265d8fdde9d5d0df903b309e636bf8991c47b544ff8f9e051da6d23627166d9	PASS
ERR1713382	rr-analysis/hendriksen_resistancemap_2016/.snapshot/daily.2026-08-08_0010/stage3_4c_diamond_card_PRJEB13831_batch03_global10/results_cleanfasta/ERR1713382/ERR1713382_R1_diamond_card.tsv;rr-analysis/hendriksen_resistancemap_2016/.snapshot/daily.2026-08-08_0010/stage3_4c_diamond_card_PRJEB13831_batch03_global10/results_cleanfasta/ERR1713382/ERR1713382_R2_diamond_card.tsv	28117634	59fe93c38551101ebc5c5ec546259015f9ac1812207379c6c86deb73f6f37753	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch03_global10/DIAMOND_CARD/ERR1713382/ERR1713382_diamond_card_merged.tsv.gz	4792260	59fe93c38551101ebc5c5ec546259015f9ac1812207379c6c86deb73f6f37753	PASS
ERR1713385	rr-analysis/hendriksen_resistancemap_2016/.snapshot/daily.2026-08-08_0010/stage3_4c_diamond_card_PRJEB13831_batch03_global10/results_cleanfasta/ERR1713385/ERR1713385_R1_diamond_card.tsv;rr-analysis/hendriksen_resistancemap_2016/.snapshot/daily.2026-08-08_0010/stage3_4c_diamond_card_PRJEB13831_batch03_global10/results_cleanfasta/ERR1713385/ERR1713385_R2_diamond_card.tsv	14893142	6174720757a094f47cf8cc2c20a959cbc8a15bb1b3bdd826d47979a49dc8c0e4	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch03_global10/DIAMOND_CARD/ERR1713385/ERR1713385_diamond_card_merged.tsv.gz	2857434	6174720757a094f47cf8cc2c20a959cbc8a15bb1b3bdd826d47979a49dc8c0e4	PASS
ERR1713386	rr-analysis/hendriksen_resistancemap_2016/.snapshot/daily.2026-08-08_0010/stage3_4c_diamond_card_PRJEB13831_batch03_global10/results_cleanfasta/ERR1713386/ERR1713386_R1_diamond_card.tsv;rr-analysis/hendriksen_resistancemap_2016/.snapshot/daily.2026-08-08_0010/stage3_4c_diamond_card_PRJEB13831_batch03_global10/results_cleanfasta/ERR1713386/ERR1713386_R2_diamond_card.tsv	51976416	5e61eca206c036c558acb5761b24c5725cd5a502720e490a63e2f5649272cac3	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch03_global10/DIAMOND_CARD/ERR1713386/ERR1713386_diamond_card_merged.tsv.gz	9134028	5e61eca206c036c558acb5761b24c5725cd5a502720e490a63e2f5649272cac3	PASS
ERR1725938	rr-analysis/hendriksen_resistancemap_2016/.snapshot/daily.2026-08-08_0010/stage3_4c_diamond_card_PRJEB13831_batch03_global10/results_cleanfasta/ERR1725938/ERR1725938_R1_diamond_card.tsv;rr-analysis/hendriksen_resistancemap_2016/.snapshot/daily.2026-08-08_0010/stage3_4c_diamond_card_PRJEB13831_batch03_global10/results_cleanfasta/ERR1725938/ERR1725938_R2_diamond_card.tsv	8493725	c574f8380a6a32b6e4983400617a949cb008681fb8539a321ab43040f4b999b9	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch03_global10/DIAMOND_CARD/ERR1725938/ERR1725938_diamond_card_merged.tsv.gz	1450009	c574f8380a6a32b6e4983400617a949cb008681fb8539a321ab43040f4b999b9	PASS
ERR1725952	rr-analysis/hendriksen_resistancemap_2016/.snapshot/daily.2026-08-08_0010/stage3_4c_diamond_card_PRJEB13831_batch03_global10/results_cleanfasta/ERR1725952/ERR1725952_R1_diamond_card.tsv;rr-analysis/hendriksen_resistancemap_2016/.snapshot/daily.2026-08-08_0010/stage3_4c_diamond_card_PRJEB13831_batch03_global10/results_cleanfasta/ERR1725952/ERR1725952_R2_diamond_card.tsv	451950	17ebf1a755df3c84ed91b4edb500346407fbd4e40984d6837d77b1c8191e13a1	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch03_global10/DIAMOND_CARD/ERR1725952/ERR1725952_diamond_card_merged.tsv.gz	84795	17ebf1a755df3c84ed91b4edb500346407fbd4e40984d6837d77b1c8191e13a1	PASS
ERR1725965	rr-analysis/hendriksen_resistancemap_2016/.snapshot/daily.2026-08-08_0010/stage3_4c_diamond_card_PRJEB13831_batch03_global10/results_cleanfasta/ERR1725965/ERR1725965_R1_diamond_card.tsv;rr-analysis/hendriksen_resistancemap_2016/.snapshot/daily.2026-08-08_0010/stage3_4c_diamond_card_PRJEB13831_batch03_global10/results_cleanfasta/ERR1725965/ERR1725965_R2_diamond_card.tsv	2146490	f31a9290d30f30fc948ed7090d0767148c39fd82d188c541576e2b5941bc4cc4	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch03_global10/DIAMOND_CARD/ERR1725965/ERR1725965_diamond_card_merged.tsv.gz	396515	f31a9290d30f30fc948ed7090d0767148c39fd82d188c541576e2b5941bc4cc4	PASS
ERR1725980	rr-analysis/hendriksen_resistancemap_2016/.snapshot/daily.2026-08-08_0010/stage3_4c_diamond_card_PRJEB13831_batch03_global10/results_cleanfasta/ERR1725980/ERR1725980_R1_diamond_card.tsv;rr-analysis/hendriksen_resistancemap_2016/.snapshot/daily.2026-08-08_0010/stage3_4c_diamond_card_PRJEB13831_batch03_global10/results_cleanfasta/ERR1725980/ERR1725980_R2_diamond_card.tsv	4058568	0aeb4bab879df3875e9998edc293c7368b6309e1697fa2e6a644e5d00465fdbd	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch03_global10/DIAMOND_CARD/ERR1725980/ERR1725980_diamond_card_merged.tsv.gz	731392	0aeb4bab879df3875e9998edc293c7368b6309e1697fa2e6a644e5d00465fdbd	PASS
ERR1725981	rr-analysis/hendriksen_resistancemap_2016/.snapshot/daily.2026-08-08_0010/stage3_4c_diamond_card_PRJEB13831_batch03_global10/results_cleanfasta/ERR1725981/ERR1725981_R1_diamond_card.tsv;rr-analysis/hendriksen_resistancemap_2016/.snapshot/daily.2026-08-08_0010/stage3_4c_diamond_card_PRJEB13831_batch03_global10/results_cleanfasta/ERR1725981/ERR1725981_R2_diamond_card.tsv	4558100	97dfed1398e336b3be51d1d38c30d65443d5a67d03ac2d12e5edb18dc4965839	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch03_global10/DIAMOND_CARD/ERR1725981/ERR1725981_diamond_card_merged.tsv.gz	825638	97dfed1398e336b3be51d1d38c30d65443d5a67d03ac2d12e5edb18dc4965839	PASS
