sample_id	source_file	source_bytes	source_lines	source_sha256	delivered_file	delivered_bytes	delivered_lines	delivered_sha256	source_columns	delivered_columns	excluded_columns	status
ERR1713346	rr-analysis/hendriksen_resistancemap_2016/stage3_5_rgi_main_contigs_PRJEB13831_batch03_global10/results/ERR1713346/ERR1713346_rgi_main_contigs.txt	445023	194	84869453ae0778eb36887566f40878e7fd0536ed9b2fecb2b6d916ea90eedb7c	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch03_global10/CARD_RGI_Main/ERR1713346/ERR1713346_rgi_main_compact.tsv	81713	194	6b81356373242b4b176819e479e06651a6b9c09792238090217872910cb6a8a2	29	26	Predicted_DNA;Predicted_Protein;CARD_Protein_Sequence	PASS
ERR1713370	rr-analysis/hendriksen_resistancemap_2016/stage3_5_rgi_main_contigs_PRJEB13831_batch03_global10/results/ERR1713370/ERR1713370_rgi_main_contigs.txt	721058	302	f1a0342e1d98e5c5e759a103c315ff359619247aa666ab96d23ed558dad1f238	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch03_global10/CARD_RGI_Main/ERR1713370/ERR1713370_rgi_main_compact.tsv	124252	302	0337727f9597de346ad09fa84c807ab9b83a8cd2176e5f272302c3008c5c9dea	29	26	Predicted_DNA;Predicted_Protein;CARD_Protein_Sequence	PASS
ERR1713382	rr-analysis/hendriksen_resistancemap_2016/stage3_5_rgi_main_contigs_PRJEB13831_batch03_global10/results/ERR1713382/ERR1713382_rgi_main_contigs.txt	529244	216	638ca048dd009abcdd2a95fb2fbc29744c9363406c7d1bc826d2b3b5efd8d8c7	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch03_global10/CARD_RGI_Main/ERR1713382/ERR1713382_rgi_main_compact.tsv	87621	216	94d75e31d03b0fe06e9d39b1c0a5f64e68565eb1a8bb4c9fbcb5dbb5e3b5fa38	29	26	Predicted_DNA;Predicted_Protein;CARD_Protein_Sequence	PASS
ERR1713385	rr-analysis/hendriksen_resistancemap_2016/stage3_5_rgi_main_contigs_PRJEB13831_batch03_global10/results/ERR1713385/ERR1713385_rgi_main_contigs.txt	536981	256	facc6c9941e2d2cea39d249fdc5dbc4d5f03f68d4be5ed3e537881e4da7c9172	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch03_global10/CARD_RGI_Main/ERR1713385/ERR1713385_rgi_main_compact.tsv	104007	256	a395da4428c4dfd4985ce680ac327b0e38e72c54fd83778a117e2063ce4164be	29	26	Predicted_DNA;Predicted_Protein;CARD_Protein_Sequence	PASS
ERR1713386	rr-analysis/hendriksen_resistancemap_2016/stage3_5_rgi_main_contigs_PRJEB13831_batch03_global10/results/ERR1713386/ERR1713386_rgi_main_contigs.txt	786900	349	cd8747e14ad5576ef972b8a3c58b2b278be6d74538d6f2b1d24a407db2c7c8fe	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch03_global10/CARD_RGI_Main/ERR1713386/ERR1713386_rgi_main_compact.tsv	149799	349	c1fc8ca4d202099c1047d066f21e24b8ac7b621b39e15ccd77876904baf7e9b8	29	26	Predicted_DNA;Predicted_Protein;CARD_Protein_Sequence	PASS
ERR1725938	rr-analysis/hendriksen_resistancemap_2016/stage3_5_rgi_main_contigs_PRJEB13831_batch03_global10/results/ERR1725938/ERR1725938_rgi_main_contigs.txt	153790	76	8ee0f92375ed74d66f2eff769999688ca540f3e64f114dfa9eaa0ff5b3f7686d	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch03_global10/CARD_RGI_Main/ERR1725938/ERR1725938_rgi_main_compact.tsv	30387	76	4294343808e55132e58de26fe4bc6663e7ebc65554c82e962e0dc0e9aa5e2ac0	29	26	Predicted_DNA;Predicted_Protein;CARD_Protein_Sequence	PASS
ERR1725952	rr-analysis/hendriksen_resistancemap_2016/stage3_5_rgi_main_contigs_PRJEB13831_batch03_global10/results/ERR1725952/ERR1725952_rgi_main_contigs.txt	16956	8	dc7049e4d436275bb7797fba5fe23a7d0fecb7f43b08fa0a038b035d4ced1e82	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch03_global10/CARD_RGI_Main/ERR1725952/ERR1725952_rgi_main_compact.tsv	3032	8	8838782c9fabfa7f4a8df71cfb263aef04044fa92c6bac8bda3032d5a8b39630	29	26	Predicted_DNA;Predicted_Protein;CARD_Protein_Sequence	PASS
ERR1725965	rr-analysis/hendriksen_resistancemap_2016/stage3_5_rgi_main_contigs_PRJEB13831_batch03_global10/results/ERR1725965/ERR1725965_rgi_main_contigs.txt	100239	50	16977cbd20e0e63a4424ecb82fb1aac5f944b9a9d40da0b7ee93c668ae19e523	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch03_global10/CARD_RGI_Main/ERR1725965/ERR1725965_rgi_main_compact.tsv	19004	50	e3fc9ced4458de62cdb81385fcebbdf5d154ecbe24d7fc113aaf48a5e47c76aa	29	26	Predicted_DNA;Predicted_Protein;CARD_Protein_Sequence	PASS
ERR1725980	rr-analysis/hendriksen_resistancemap_2016/stage3_5_rgi_main_contigs_PRJEB13831_batch03_global10/results/ERR1725980/ERR1725980_rgi_main_contigs.txt	88226	48	8e6090d8206e2afdecc179001f874d17b4962c2c9f416cbb0cbccfa7ca0ba059	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch03_global10/CARD_RGI_Main/ERR1725980/ERR1725980_rgi_main_compact.tsv	18564	48	efc9f25432f66977e9cf989f2702254f7fb3bd1b11f8d1b75c085363395a09e6	29	26	Predicted_DNA;Predicted_Protein;CARD_Protein_Sequence	PASS
ERR1725981	rr-analysis/hendriksen_resistancemap_2016/stage3_5_rgi_main_contigs_PRJEB13831_batch03_global10/results/ERR1725981/ERR1725981_rgi_main_contigs.txt	188212	100	9dffed651e1160290ce6e9194ae4e636d3ad1a9b670ea390122fc166d5397db5	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch03_global10/CARD_RGI_Main/ERR1725981/ERR1725981_rgi_main_compact.tsv	38753	100	614a24c9bacf63b980bd79d46842fbf3d13df60defbad0e6f4cc27c8c7c28ada	29	26	Predicted_DNA;Predicted_Protein;CARD_Protein_Sequence	PASS
