ARO_Term	Drug_Class	All_Mapped_Reads	Average_Percent_Coverage
OXA-212	carbapenem; penicillin beta-lactam	69.00	71.88
CARB-5	penicillin beta-lactam	14.00	46.27
msrE	macrolide antibiotic; streptogramin antibiotic	3555.00	100.00
FosA2	phosphonic acid antibiotic	3.00	42.02
AAC(3)-Ia	aminoglycoside antibiotic	12.00	90.97
CblA-1	cephalosporin	2.00	28.06
mdtP	nucleoside antibiotic; disinfecting agents and antiseptics	18.00	94.34
dfrF	diaminopyrimidine antibiotic	4.00	86.26
gadX	macrolide antibiotic; fluoroquinolone antibiotic; penicillin beta-lactam	13.00	70.79
TLA-2	monobactam; cephalosporin	2.00	31.26
mdtF	macrolide antibiotic; fluoroquinolone antibiotic; penicillin beta-lactam	53.00	82.63
catB3	phenicol antibiotic	7.00	70.62
cpxA	aminoglycoside antibiotic; aminocoumarin antibiotic	49.00	100.00
fosA5	fluoroquinolone antibiotic; aminoglycoside antibiotic; phosphonic acid antibiotic	5.00	66.90
lnuA	lincosamide antibiotic	21.00	35.80
OXA-21	cephalosporin; penicillin beta-lactam	8.00	69.69
vgaALC	lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; pleuromutilin antibiotic	3.00	2.74
adeF	fluoroquinolone antibiotic; tetracycline antibiotic	2.00	9.43
lsaE	lincosamide antibiotic; streptogramin antibiotic; pleuromutilin antibiotic	39.00	92.39
CfxA6	cephalosporin	20.00	85.44
smeD	macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic	37.00	79.16
OXA-85	penicillin beta-lactam	2.00	16.34
CfxA4	cephalosporin	10.00	72.98
aadA4	aminoglycoside antibiotic	2.00	21.67
OprN	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	14.00	66.46
GES-14	carbapenem; cephalosporin; penicillin beta-lactam	62.00	47.57
sdiA	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penicillin beta-lactam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	3.00	38.59
mdtH	fluoroquinolone antibiotic	7.00	59.80
lnuC	lincosamide antibiotic	2.00	57.37
dfrA8	diaminopyrimidine antibiotic	8.00	85.88
mtrE	macrolide antibiotic	17.00	21.01
CARB-3	penicillin beta-lactam	2.00	22.40
amrB	macrolide antibiotic; aminoglycoside antibiotic	43.00	44.89
catP	phenicol antibiotic	9.00	14.90
mdtA	aminocoumarin antibiotic	5.00	36.54
APH(2'')-IVa	aminoglycoside antibiotic	15.00	82.56
tet(B)	tetracycline antibiotic	4.00	29.85
vanXY gene in vanG cluster	glycopeptide antibiotic	6.00	10.33
macB	macrolide antibiotic	92.00	66.15
OpmD	fluoroquinolone antibiotic; disinfecting agents and antiseptics	17.00	11.68
tet(W)	tetracycline antibiotic	99.00	99.32
AAC(3)-VIIIa	aminoglycoside antibiotic	9.00	35.54
GES-9	carbapenem; cephalosporin; penicillin beta-lactam	2.00	34.14
tetA(P)	tetracycline antibiotic	8.00	15.12
OXA-32	cephalosporin; penicillin beta-lactam	2.00	30.68
clbA	lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	2.00	8.10
mphF	macrolide antibiotic	1.00	11.00
emrY	tetracycline antibiotic	21.00	70.63
OXA-211	carbapenem; penicillin beta-lactam	109.00	100.00
mdtG	phosphonic acid antibiotic	18.00	78.81
adeJ	macrolide antibiotic; fluoroquinolone antibiotic; lincosamide antibiotic; carbapenem; cephalosporin; penicillin beta-lactam; tetracycline antibiotic; rifamycin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	1236.00	87.57
smeF	macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic	56.00	83.65
aadA25	aminoglycoside antibiotic	2.00	28.03
aadA	aminoglycoside antibiotic	14.00	61.49
eptA	peptide antibiotic	22.00	87.96
emrK	tetracycline antibiotic	12.00	84.85
AcrS	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penicillin beta-lactam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	9.00	59.43
CMY-54	cephalosporin	2.00	26.22
OXA-347	penicillin beta-lactam	22.00	91.27
Erm(42)	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	6.00	10.93
cmlv	phenicol antibiotic	4.00	21.59
TUS-1	carbapenem; cephalosporin; penicillin beta-lactam	3.00	16.20
ErmF	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	67.00	100.00
AAC(3)-Id	aminoglycoside antibiotic	8.00	61.43
