truth_gene	AUS.18	sample_id	hendriksen_sample	truth_class	ALB.17	AUT.70	BGR.66	BRA.53	CAN.22	CHE.67	CHN.64
ampH_ampS	1.0	ERR1713332	AUS.18	macrolide_lincosamide_streptogramin							
ant(3'')-Ih-aac(6')-IId	166.0	ERR1713332	AUS.18	aminoglycoside							
ant(6)-Ia	1.0	ERR1713332	AUS.18	aminoglycoside							
ant(6)-Ib	1.0	ERR1713332	AUS.18	aminoglycoside							
aph(2'')-Ic	1.0	ERR1713332	AUS.18	aminoglycoside							
aph(2'')-Id_aph(2'')-Ie	15.0	ERR1713332	AUS.18	aminoglycoside							
aph(3')-Ia_aph(3')-Ic	12.0	ERR1713332	AUS.18	aminoglycoside							
aph(3')-Ib	3.0	ERR1713332	AUS.18	aminoglycoside							
aph(3')-IIa	2.0	ERR1713332	AUS.18	aminoglycoside							
aph(3')-III	2.0	ERR1713332	AUS.18	aminoglycoside							
aph(3')-VI	30.0	ERR1713332	AUS.18	aminoglycoside							
aph(3')-XV	2.0	ERR1713332	AUS.18	aminoglycoside							
ARR_clust	1.0	ERR1713332	AUS.18	rifamycin							
blaACC_clust	1.0	ERR1713332	AUS.18	beta_lactam							
blaACT-9	1.0	ERR1713332	AUS.18	beta_lactam							
blaACT_clust	1.0	ERR1713332	AUS.18	beta_lactam							
blaACT_CMG_MIR_clust	2.0	ERR1713332	AUS.18	beta_lactam							
blaADC-25	1.0	ERR1713332	AUS.18	beta_lactam							
blaAER-1	14.0	ERR1713332	AUS.18	beta_lactam							
blaB_clust1	2.0	ERR1713332	AUS.18	beta_lactam							
blaB_clust2	1.0	ERR1713332	AUS.18	beta_lactam							
blaBEL	1.0	ERR1713332	AUS.18	beta_lactam							
blaCARB_clust1	14.0	ERR1713332	AUS.18	beta_lactam							
blaCARB_clust2	60.0	ERR1713332	AUS.18	beta_lactam							
blaCARB_clust3	2.0	ERR1713332	AUS.18	beta_lactam							
blaCME	1.0	ERR1713332	AUS.18	beta_lactam							
blaCMY_blaBIL_blaLAT	10.0	ERR1713332	AUS.18	beta_lactam							
blaCMY_blaMOX	2.0	ERR1713332	AUS.18	beta_lactam							
blaEBR-1	88.0	ERR1713332	AUS.18	beta_lactam							
blaFOX_clust	1.0	ERR1713332	AUS.18	beta_lactam							
blaGES_clust	273.0	ERR1713332	AUS.18	beta_lactam							
blaIMP_clust1	1.0	ERR1713332	AUS.18	beta_lactam							
blaMIR_clust	1.0	ERR1713332	AUS.18	beta_lactam							
blaMOX_clust	2.0	ERR1713332	AUS.18	beta_lactam							
blaNPS_LCR_clust	3.0	ERR1713332	AUS.18	beta_lactam							
blaOXA-209	14.0	ERR1713332	AUS.18	beta_lactam							
blaOXA-347	9.0	ERR1713332	AUS.18	beta_lactam							
blaOXA-372	2.0	ERR1713332	AUS.18	beta_lactam							
blaOXA-9	3.0	ERR1713332	AUS.18	beta_lactam							
blaOXA_clust1	9.0	ERR1713332	AUS.18	beta_lactam							
blaOXA_clust11	4.0	ERR1713332	AUS.18	beta_lactam							
blaOXA_clust12	2.0	ERR1713332	AUS.18	beta_lactam							
blaOXA_clust15	95.0	ERR1713332	AUS.18	beta_lactam							
blaOXA_clust16	1.0	ERR1713332	AUS.18	beta_lactam							
blaOXA_clust18	9.0	ERR1713332	AUS.18	beta_lactam							
blaOXA_clust20	20.0	ERR1713332	AUS.18	beta_lactam							
blaOXA_clust21	449.0	ERR1713332	AUS.18	beta_lactam							
blaOXA_clust3	8.0	ERR1713332	AUS.18	beta_lactam							
blaOXA_clust6	97.0	ERR1713332	AUS.18	beta_lactam							
blaOXA_clust7	6.0	ERR1713332	AUS.18	beta_lactam							
blaOXA_clust8	1016.0	ERR1713332	AUS.18	beta_lactam							
blaOXY_clust1	4.0	ERR1713332	AUS.18	beta_lactam							
blaRAHN-2	1.0	ERR1713332	AUS.18	beta_lactam							
blaSHV_clust	3.0	ERR1713332	AUS.18	beta_lactam							
blaTEM_clust	17.0	ERR1713332	AUS.18	beta_lactam							
blaVEB_clust	1.0	ERR1713332	AUS.18	beta_lactam							
cat_clust	1.0	ERR1713332	AUS.18	phenicol							
catB3	7.0	ERR1713332	AUS.18	phenicol							
catB8	1.0	ERR1713332	AUS.18	phenicol							
catQ	6.0	ERR1713332	AUS.18	phenicol							
cfxA_clust	14.0	ERR1713332	AUS.18	other_or_unmapped							
cfxA6	7.0	ERR1713332	AUS.18	other_or_unmapped							
cml_clust	9.0	ERR1713332	AUS.18	phenicol							
cmx	1.0	ERR1713332	AUS.18	other_or_unmapped							
dfrA1_clust	2.0	ERR1713332	AUS.18	trimethoprim							
dfrA12	1.0	ERR1713332	AUS.18	trimethoprim							
dfrA14_clust	3.0	ERR1713332	AUS.18	trimethoprim							
dfrA15_clust	3.0	ERR1713332	AUS.18	trimethoprim							
dfrA20	4.0	ERR1713332	AUS.18	trimethoprim							
dfrA7_dfrA17	1.0	ERR1713332	AUS.18	trimethoprim							
dfrA8	1.0	ERR1713332	AUS.18	trimethoprim							
ere(A)_clust	28.0	ERR1713332	AUS.18	other_or_unmapped							
ere(A)_clust2	11.0	ERR1713332	AUS.18	other_or_unmapped							
ere(B)	1.0	ERR1713332	AUS.18	other_or_unmapped							
erm(A)_1_X03216	1.0	ERR1713332	AUS.18	macrolide_lincosamide_streptogramin							
erm(A)_2_AF002716	4.0	ERR1713332	AUS.18	macrolide_lincosamide_streptogramin							
erm(B)_clust	189.0	ERR1713332	AUS.18	macrolide_lincosamide_streptogramin							
erm(C)_clust	4.0	ERR1713332	AUS.18	macrolide_lincosamide_streptogramin							
erm(F)_clust	89.0	ERR1713332	AUS.18	macrolide_lincosamide_streptogramin							
erm(G)_clust	11.0	ERR1713332	AUS.18	macrolide_lincosamide_streptogramin							
erm(T)_4_AJ488494	1.0	ERR1713332	AUS.18	macrolide_lincosamide_streptogramin							
erm(X)_clust	1.0	ERR1713332	AUS.18	macrolide_lincosamide_streptogramin							
floR_clust	19.0	ERR1713332	AUS.18	phenicol							
fosA_clust2	4.0	ERR1713332	AUS.18	fosfomycin							
imiS_imiH_blaCEPH_clust	1.0	ERR1713332	AUS.18	beta_lactam							
lnu(B)	16.0	ERR1713332	AUS.18	macrolide_lincosamide_streptogramin							
lnu(C)	3.0	ERR1713332	AUS.18	macrolide_lincosamide_streptogramin							
lnu(D)	2.0	ERR1713332	AUS.18	macrolide_lincosamide_streptogramin							
lnu(F)	14.0	ERR1713332	AUS.18	macrolide_lincosamide_streptogramin							
lsa(C)	1.0	ERR1713332	AUS.18	macrolide_lincosamide_streptogramin							
mef(A)_10_AF376746	154.0	ERR1713332	AUS.18	macrolide_lincosamide_streptogramin							
mef(A)_3_AF227521	66.0	ERR1713332	AUS.18	macrolide_lincosamide_streptogramin							
mef(B)	30.0	ERR1713332	AUS.18	macrolide_lincosamide_streptogramin							
mph(A)	13.0	ERR1713332	AUS.18	macrolide_lincosamide_streptogramin							
mph(E)	2305.0	ERR1713332	AUS.18	macrolide_lincosamide_streptogramin							
msr(D)	375.0	ERR1713332	AUS.18	macrolide_lincosamide_streptogramin							
msr(E)	4357.0	ERR1713332	AUS.18	macrolide_lincosamide_streptogramin							
oqxA	12.0	ERR1713332	AUS.18	quinolone							
oqxB	41.0	ERR1713332	AUS.18	quinolone							
QnrB_clust1	4.0	ERR1713332	AUS.18	quinolone							
QnrB_clust3	1.0	ERR1713332	AUS.18	quinolone							
QnrD	2.0	ERR1713332	AUS.18	quinolone							
QnrS_clust1	1.0	ERR1713332	AUS.18	quinolone							
QnrS_clust2	1.0	ERR1713332	AUS.18	quinolone							
QnrVC_clust2	1.0	ERR1713332	AUS.18	quinolone							
str	1.0	ERR1713332	AUS.18	aminoglycoside							
strA	84.0	ERR1713332	AUS.18	aminoglycoside							
strB	96.0	ERR1713332	AUS.18	aminoglycoside							
sul1_sul3_clust	185.0	ERR1713332	AUS.18	sulfonamide							
sul2_clust	39.0	ERR1713332	AUS.18	sulfonamide							
tet(30)	1.0	ERR1713332	AUS.18	tetracycline							
tet(32)	48.0	ERR1713332	AUS.18	tetracycline							
tet(36)	11.0	ERR1713332	AUS.18	tetracycline							
tet(39)	349.0	ERR1713332	AUS.18	tetracycline							
tet(40)	4.0	ERR1713332	AUS.18	tetracycline							
tet(44)	9.0	ERR1713332	AUS.18	tetracycline							
tet(A)	15.0	ERR1713332	AUS.18	tetracycline							
tet(B)	7.0	ERR1713332	AUS.18	tetracycline							
tet(C)	88.0	ERR1713332	AUS.18	tetracycline							
tet(D)	7.0	ERR1713332	AUS.18	tetracycline							
tet(E)	3.0	ERR1713332	AUS.18	tetracycline							
tet(G)	51.0	ERR1713332	AUS.18	tetracycline							
tet(H)	3.0	ERR1713332	AUS.18	tetracycline							
tet(L)_clust1	1.0	ERR1713332	AUS.18	tetracycline							
tet(M)	64.0	ERR1713332	AUS.18	tetracycline							
tet(O)	58.0	ERR1713332	AUS.18	tetracycline							
tet(Q)	72.0	ERR1713332	AUS.18	tetracycline							
tet(S)	9.0	ERR1713332	AUS.18	tetracycline							
tet(T)	4.0	ERR1713332	AUS.18	tetracycline							
tet(W)	138.0	ERR1713332	AUS.18	tetracycline							
tet(X)_clust	363.0	ERR1713332	AUS.18	tetracycline							
tetA(P)	2.0	ERR1713332	AUS.18	tetracycline							
aac(3)-I_aac(3)-Ia	30.0	ERR1713332	AUS.18	aminoglycoside							
aac(3)-Ib	1.0	ERR1713332	AUS.18	aminoglycoside							
aac(3)-Ib-aac(6')-Ib	1.0	ERR1713332	AUS.18	aminoglycoside							
aac(3)-Id	9.0	ERR1713332	AUS.18	aminoglycoside							
aac(3)-II_clust	8.0	ERR1713332	AUS.18	aminoglycoside							
aac(6')-31	1.0	ERR1713332	AUS.18	aminoglycoside							
aac(6')-aph(2'')_1_M13771	9.0	ERR1713332	AUS.18	aminoglycoside							
aac(6')-IIc	3.0	ERR1713332	AUS.18	aminoglycoside							
aac(6')-Im	1.0	ERR1713332	AUS.18	aminoglycoside							
aadA_clust1	265.0	ERR1713332	AUS.18	aminoglycoside							
aadA10	15.0	ERR1713332	AUS.18	aminoglycoside							
aadA13	29.0	ERR1713332	AUS.18	aminoglycoside							
aadA16	9.0	ERR1713332	AUS.18	aminoglycoside							
aadA2	69.0	ERR1713332	AUS.18	aminoglycoside							
aadA4_aadA5	88.0	ERR1713332	AUS.18	aminoglycoside							
aadA7	21.0	ERR1713332	AUS.18	aminoglycoside							
aadB	15.0	ERR1713332	AUS.18	aminoglycoside							
aadE_1_KF421157	1.0	ERR1713332	AUS.18	aminoglycoside							
ampH_ampS		ERR1713331	ALB.17	macrolide_lincosamide_streptogramin	4.0						
ant(3'')-Ih-aac(6')-IId		ERR1713331	ALB.17	aminoglycoside	242.0						
ant(6)-Ia		ERR1713331	ALB.17	aminoglycoside	1.0						
ant(6)-Ib		ERR1713331	ALB.17	aminoglycoside	2.0						
aph(2'')-Ib		ERR1713331	ALB.17	aminoglycoside	4.0						
aph(2'')-Ic		ERR1713331	ALB.17	aminoglycoside	6.0						
aph(3')-Ia_aph(3')-Ic		ERR1713331	ALB.17	aminoglycoside	21.0						
aph(3')-Ib		ERR1713331	ALB.17	aminoglycoside	3.0						
aph(3')-IIa		ERR1713331	ALB.17	aminoglycoside	2.0						
aph(3')-III		ERR1713331	ALB.17	aminoglycoside	10.0						
aph(3')-VI		ERR1713331	ALB.17	aminoglycoside	27.0						
ARR_clust		ERR1713331	ALB.17	rifamycin	5.0						
blaACC_clust		ERR1713331	ALB.17	beta_lactam	2.0						
blaACI-1		ERR1713331	ALB.17	beta_lactam	17.0						
