sample_id	Drug Class	All Mapped Reads
ERR1713331	aminocoumarin antibiotic	3685.0
ERR1713331	aminoglycoside antibiotic	11234.0
ERR1713331	antibacterial free fatty acids	3.0
ERR1713331	antibiotic without defined classification	32.0
ERR1713331	carbapenem	17236.0
ERR1713331	cephalosporin	14978.0
ERR1713331	diaminopyrimidine antibiotic	10812.0
ERR1713331	disinfecting agents and antiseptics	4736.0
ERR1713331	fluoroquinolone antibiotic	16299.0
ERR1713331	glycopeptide antibiotic	183.0
ERR1713331	glycylcycline	1151.0
ERR1713331	isoniazid-like antibiotic	9.0
ERR1713331	lincosamide antibiotic	9622.0
ERR1713331	macrolide antibiotic	48681.0
ERR1713331	moenomycin antibiotic	4.0
ERR1713331	monobactam	2719.0
ERR1713331	mupirocin-like antibiotic	348.0
ERR1713331	nan	1211.0
ERR1713331	nitrofuran antibiotic	183.0
ERR1713331	nitroimidazole antibiotic	89.0
ERR1713331	nucleoside antibiotic	394.0
ERR1713331	oxazolidinone antibiotic	327.0
ERR1713331	penicillin beta-lactam	21054.0
ERR1713331	peptide antibiotic	1726.0
ERR1713331	phenicol antibiotic	14123.0
ERR1713331	phosphonic acid antibiotic	152.0
ERR1713331	pleuromutilin antibiotic	439.0
ERR1713331	rifamycin antibiotic	11020.0
ERR1713331	streptogramin A antibiotic	932.0
ERR1713331	streptogramin B antibiotic	815.0
ERR1713331	streptogramin antibiotic	20455.0
ERR1713331	sulfonamide antibiotic	505.0
ERR1713331	tetracycline antibiotic	27709.0
ERR1713332	aminocoumarin antibiotic	1719.0
ERR1713332	aminoglycoside antibiotic	4263.0
ERR1713332	antibiotic without defined classification	9.0
ERR1713332	carbapenem	4218.0
ERR1713332	cephalosporin	4712.0
ERR1713332	diaminopyrimidine antibiotic	2771.0
ERR1713332	disinfecting agents and antiseptics	1500.0
ERR1713332	fluoroquinolone antibiotic	5058.0
ERR1713332	fusidane antibiotic	5.0
ERR1713332	glycopeptide antibiotic	52.0
ERR1713332	glycylcycline	726.0
ERR1713332	isoniazid-like antibiotic	3.0
ERR1713332	lincosamide antibiotic	2182.0
ERR1713332	macrolide antibiotic	13227.0
ERR1713332	monobactam	1235.0
ERR1713332	mupirocin-like antibiotic	42.0
ERR1713332	nan	288.0
ERR1713332	nitrofuran antibiotic	133.0
ERR1713332	nitroimidazole antibiotic	33.0
ERR1713332	nucleoside antibiotic	82.0
ERR1713332	oxazolidinone antibiotic	98.0
ERR1713332	penicillin beta-lactam	5922.0
ERR1713332	peptide antibiotic	1958.0
ERR1713332	phenicol antibiotic	3971.0
ERR1713332	phosphonic acid antibiotic	42.0
ERR1713332	pleuromutilin antibiotic	100.0
ERR1713332	rifamycin antibiotic	2791.0
ERR1713332	streptogramin A antibiotic	126.0
ERR1713332	streptogramin B antibiotic	104.0
ERR1713332	streptogramin antibiotic	3995.0
ERR1713332	sulfonamide antibiotic	161.0
ERR1713332	tetracycline antibiotic	6943.0
ERR1713334	aminocoumarin antibiotic	2540.0
ERR1713334	aminoglycoside antibiotic	5518.0
ERR1713334	antibacterial free fatty acids	1.0
ERR1713334	bicyclomycin-like antibiotic	17.0
