sample	n_candidate_files	n_readable_files	n_strict_perfect_QRDR_calls	status
2017_SRR13208898	1	1	1	OK
2018_SRR13208892	1	1	0	OK
2019_SRR28226461	1	1	1	OK
2020_SRR33084338	1	1	0	OK
2021_SRR28226424	1	1	0	OK
2022_SRR28226418	1	1	0	OK
2023_SRR37365438	1	1	0	OK
2024_ERR17001293	1	1	0	OK
2025_ERR17359858	1	1	0	OK
ERR1713331	2	2	0	OK
ERR1713332	4	4	0	OK
ERR1713334	4	4	0	OK
ERR1713335	2	2	0	OK
ERR1713337	4	4	0	OK
ERR1713339	4	4	0	OK
ERR1713343	2	2	0	OK
ERR1713344	2	2	0	OK
ERR1713346	2	2	0	OK
ERR1713348	1	1	0	OK
ERR1713349	2	2	0	OK
ERR1713350	2	2	0	OK
ERR1713352	2	2	0	OK
ERR1713354	2	2	0	OK
ERR1713355	2	2	0	OK
ERR1713358	1	1	0	OK
ERR1713359	2	2	0	OK
ERR1713361	2	2	0	OK
ERR1713362	4	4	0	OK
ERR1713365	2	2	0	OK
ERR1713366	2	2	0	OK
ERR1713367	1	1	0	OK
ERR1713368	2	2	0	OK
ERR1713369	2	2	0	OK
ERR1713370	2	2	0	OK
ERR1713371	2	2	0	OK
ERR1713372	1	1	0	OK
ERR1713379	2	2	0	OK
ERR1713381	2	2	0	OK
ERR1713382	2	2	0	OK
ERR1713384	2	2	2	OK
ERR1713385	2	2	0	OK
ERR1713386	2	2	4	OK
ERR1713394	2	2	0	OK
ERR1713397	2	2	0	OK
ERR1713398	2	2	0	OK
ERR1713399	1	1	0	OK
ERR1713400	2	2	0	OK
ERR1713403	2	2	0	OK
ERR1713405	2	2	0	OK
ERR1713406	2	2	0	OK
ERR1713407	2	2	0	OK
ERR1713408	2	2	0	OK
ERR1713409	1	1	0	OK
ERR1713410	1	1	0	OK
ERR1725938	2	2	0	OK
ERR1725947	2	2	0	OK
ERR1725952	2	2	0	OK
ERR1725962	2	2	0	OK
ERR1725965	2	2	0	OK
ERR1725966	1	1	0	OK
ERR1725973	1	1	0	OK
ERR1725975	1	1	0	OK
ERR1725976	1	1	0	OK
ERR1725980	2	2	0	OK
ERR1725981	2	2	0	OK
ERR1725987	2	2	0	OK
ERR1725989	2	2	0	OK
ERR1725991	2	2	0	OK
ERR1725993	2	2	0	OK
ERR1725995	2	2	0	OK
ERR1725996	2	2	0	OK
ERR1725999	2	2	0	OK
ERR1726000	2	2	0	OK
ERR1726001	2	2	0	OK
ERR1726002	2	2	0	OK
ERR1726003	2	2	0	OK
ERR1726004	2	2	0	OK
ERR1726006	2	2	0	OK
ERR1726009	2	2	0	OK
ERR2729809	2	2	0	OK
ERR9855090	2	2	0	OK
E_1-2	1	1	0	OK
E_11-12	1	1	0	OK
E_3-4	1	1	0	OK
E_5-6	1	1	0	OK
E_7-8	1	1	0	OK
E_9-10	1	1	0	OK
I_1-2	1	1	0	OK
I_11-12	1	1	0	OK
I_3-4	1	1	1	OK
I_5-6	1	1	0	OK
I_7-8	1	1	0	OK
I_9-10	1	1	0	OK
RW_1	1	1	0	OK
RW_2	1	1	0	OK
RW_3	1	1	1	OK
RW_4	1	1	0	OK
RW_5	1	1	0	OK
RW_6	1	1	0	OK
SRR5007116	2	2	0	OK
SRR5007352	2	2	0	OK
