sample	common_class	ARG_loci	ARG_present	mobile_ARG_loci	mobile_ARG_fraction	plasmid_ARG_loci	plasmid_ARG_fraction	virus_ARG_loci	virus_ARG_fraction	chromosome_ARG_loci	chromosome_ARG_fraction	ARG_locus_fraction
2017_SRR13208898	Aminoglycoside	21	1	3	0.14285714285714285	3	0.14285714285714285	0	0.0	18	0.8571428571428571	0.09375
2017_SRR13208898	Beta-lactam	38	1	3	0.07894736842105263	3	0.07894736842105263	0	0.0	35	0.9210526315789473	0.16964285714285715
2017_SRR13208898	Fosfomycin	8	1	0	0.0	0	0.0	0	0.0	8	1.0	0.03571428571428571
2017_SRR13208898	MLS	33	1	9	0.2727272727272727	9	0.2727272727272727	0	0.0	24	0.7272727272727273	0.14732142857142858
2017_SRR13208898	Phenicol	10	1	0	0.0	0	0.0	0	0.0	10	1.0	0.044642857142857144
2017_SRR13208898	Quinolone	50	1	6	0.12	6	0.12	0	0.0	44	0.88	0.22321428571428573
2017_SRR13208898	Rifamycin	8	1	0	0.0	0	0.0	0	0.0	8	1.0	0.03571428571428571
2017_SRR13208898	Sulfonamide	1	1	0	0.0	0	0.0	0	0.0	1	1.0	0.004464285714285714
2017_SRR13208898	Tetracycline	47	1	5	0.10638297872340426	5	0.10638297872340426	0	0.0	42	0.8936170212765957	0.20982142857142858
2017_SRR13208898	Trimethoprim	8	1	1	0.125	1	0.125	0	0.0	7	0.875	0.03571428571428571
2018_SRR13208892	Aminoglycoside	9	1	2	0.2222222222222222	2	0.2222222222222222	0	0.0	7	0.7777777777777778	0.08108108108108109
2018_SRR13208892	Beta-lactam	18	1	3	0.16666666666666666	3	0.16666666666666666	0	0.0	15	0.8333333333333334	0.16216216216216217
2018_SRR13208892	Fosfomycin	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0.0
2018_SRR13208892	MLS	16	1	3	0.1875	3	0.1875	0	0.0	13	0.8125	0.14414414414414414
2018_SRR13208892	Phenicol	3	1	0	0.0	0	0.0	0	0.0	3	1.0	0.02702702702702703
2018_SRR13208892	Quinolone	26	1	4	0.15384615384615385	4	0.15384615384615385	0	0.0	22	0.8461538461538461	0.23423423423423423
2018_SRR13208892	Rifamycin	1	1	0	0.0	0	0.0	0	0.0	1	1.0	0.009009009009009009
2018_SRR13208892	Sulfonamide	1	1	1	1.0	1	1.0	0	0.0	0	0.0	0.009009009009009009
