sample	cohort_memberships	source_mode	total_ARG_loci	mobile_ARG_loci	mobile_ARG_fraction	plasmid_like_ARG_loci	plasmid_like_ARG_fraction	virus_like_ARG_loci	virus_like_ARG_fraction	chromosome_like_ARG_loci	chromosome_like_ARG_fraction	canonical10_unique_ARG_loci	canonical10_mobile_ARG_loci	canonical10_mobile_ARG_fraction	canonical10_plasmid_ARG_loci	canonical10_plasmid_ARG_fraction	ARG_10class_Shannon	ARG_10class_richness	ARG_loci__Aminoglycoside	ARG_loci__Beta_lactam	ARG_loci__Fosfomycin	ARG_loci__MLS	ARG_loci__Phenicol	ARG_loci__Quinolone	ARG_loci__Rifamycin	ARG_loci__Sulfonamide	ARG_loci__Tetracycline	ARG_loci__Trimethoprim	ARG_present__Aminoglycoside	ARG_present__Beta_lactam	ARG_present__Fosfomycin	ARG_present__MLS	ARG_present__Phenicol	ARG_present__Quinolone	ARG_present__Rifamycin	ARG_present__Sulfonamide	ARG_present__Tetracycline	ARG_present__Trimethoprim	ARG_locus_fraction__Aminoglycoside	ARG_locus_fraction__Beta_lactam	ARG_locus_fraction__Fosfomycin	ARG_locus_fraction__MLS	ARG_locus_fraction__Phenicol	ARG_locus_fraction__Quinolone	ARG_locus_fraction__Rifamycin	ARG_locus_fraction__Sulfonamide	ARG_locus_fraction__Tetracycline	ARG_locus_fraction__Trimethoprim	mobile_ARG_loci__Aminoglycoside	mobile_ARG_loci__Beta_lactam	mobile_ARG_loci__Fosfomycin	mobile_ARG_loci__MLS	mobile_ARG_loci__Phenicol	mobile_ARG_loci__Quinolone	mobile_ARG_loci__Rifamycin	mobile_ARG_loci__Sulfonamide	mobile_ARG_loci__Tetracycline	mobile_ARG_loci__Trimethoprim	mobile_ARG_fraction__Aminoglycoside	mobile_ARG_fraction__Beta_lactam	mobile_ARG_fraction__Fosfomycin	mobile_ARG_fraction__MLS	mobile_ARG_fraction__Phenicol	mobile_ARG_fraction__Quinolone	mobile_ARG_fraction__Rifamycin	mobile_ARG_fraction__Sulfonamide	mobile_ARG_fraction__Tetracycline	mobile_ARG_fraction__Trimethoprim	plasmid_ARG_loci__Aminoglycoside	plasmid_ARG_loci__Beta_lactam	plasmid_ARG_loci__Fosfomycin	plasmid_ARG_loci__MLS	plasmid_ARG_loci__Phenicol	plasmid_ARG_loci__Quinolone	plasmid_ARG_loci__Rifamycin	plasmid_ARG_loci__Sulfonamide	plasmid_ARG_loci__Tetracycline	plasmid_ARG_loci__Trimethoprim	plasmid_ARG_fraction__Aminoglycoside	plasmid_ARG_fraction__Beta_lactam	plasmid_ARG_fraction__Fosfomycin	plasmid_ARG_fraction__MLS	plasmid_ARG_fraction__Phenicol	plasmid_ARG_fraction__Quinolone	plasmid_ARG_fraction__Rifamycin	plasmid_ARG_fraction__Sulfonamide	plasmid_ARG_fraction__Tetracycline	plasmid_ARG_fraction__Trimethoprim
2017_SRR13208898	Annual_Wastewater_2017_2025	strict_perfect	238	26	0.1092436974789916	26	0.1092436974789916	0	0.0	212	0.8907563025210085	134	20	0.14925373134328357	20	0.14925373134328357	1.9873668988540354	10	21	38	8	33	10	50	8	1	47	8	1	1	1	1	1	1	1	1	1	1	0.09375	0.16964285714285715	0.03571428571428571	0.14732142857142858	0.044642857142857144	0.22321428571428573	0.03571428571428571	0.004464285714285714	0.20982142857142858	0.03571428571428571	3	3	0	9	0	6	0	0	5	1	0.14285714285714285	0.07894736842105263	0.0	0.2727272727272727	0.0	0.12	0.0	0.0	0.10638297872340426	0.125	3	3	0	9	0	6	0	0	5	1	0.14285714285714285	0.07894736842105263	0.0	0.2727272727272727	0.0	0.12	0.0	0.0	0.10638297872340426	0.125
2018_SRR13208892	Annual_Wastewater_2017_2025	strict_perfect	155	20	0.12903225806451613	20	0.12903225806451613	0	0.0	135	0.8709677419354839	81	15	0.18518518518518517	15	0.18518518518518517	1.7985372490572165	9	9	18	0	16	3	26	1	1	32	5	1	1	0	1	1	1	1	1	1	1	0.08108108108108109	0.16216216216216217	0.0	0.14414414414414414	0.02702702702702703	0.23423423423423423	0.009009009009009009	0.009009009009009009	0.2882882882882883	0.04504504504504504	2	3	0	3	0	4	0	1	3	1	0.2222222222222222	0.16666666666666666	0.0	0.1875	0.0	0.15384615384615385	0.0	1.0	0.09375	0.2	2	3	0	3	0	4	0	1	3	1	0.2222222222222222	0.16666666666666666	0.0	0.1875	0.0	0.15384615384615385	0.0	1.0	0.09375	0.2
2019_SRR28226461	Annual_Wastewater_2017_2025	strict_perfect	474	43	0.09071729957805907	40	0.08438818565400844	3	0.006329113924050633	431	0.9092827004219409	209	33	0.15789473684210525	32	0.15311004784688995	1.8914990148353303	10	30	49	6	33	21	95	14	1	98	11	1	1	1	1	1	1	1	1	1	1	0.08379888268156424	0.13687150837988826	0.01675977653631285	0.09217877094972067	0.05865921787709497	0.26536312849162014	0.03910614525139665	0.002793296089385475	0.2737430167597765	0.030726256983240222	6	5	0	8	2	8	0	0	8	0	0.2	0.10204081632653061	0.0	0.24242424242424243	0.09523809523809523	0.08421052631578947	0.0	0.0	0.08163265306122448	0.0	6	5	0	8	2	7	0	0	8	0	0.2	0.10204081632653061	0.0	0.24242424242424243	0.09523809523809523	0.07368421052631578	0.0	0.0	0.08163265306122448	0.0
2020_SRR33084338	Annual_Wastewater_2017_2025	strict_perfect	63	5	0.07936507936507936	5	0.07936507936507936	0	0.0	58	0.9206349206349206	23	2	0.08695652173913043	2	0.08695652173913043	1.618966953243029	7	1	0	1	4	0	9	6	1	10	0	1	0	1	1	0	1	1	1	1	0	0.03125	0.0	0.03125	0.125	0.0	0.28125	0.1875	0.03125	0.3125	0.0	0	0	0	1	0	0	0	1	0	0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	1.0	0.0	0.0	0	0	0	1	0	0	0	1	0	0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	1.0	0.0	0.0
2021_SRR28226424	Annual_Wastewater_2017_2025	strict_perfect	143	23	0.16083916083916083	23	0.16083916083916083	0	0.0	120	0.8391608391608392	74	16	0.21621621621621623	16	0.21621621621621623	1.9613000502330415	9	14	17	2	16	5	19	3	0	22	4	1	1	1	1	1	1	1	0	1	1	0.13725490196078433	0.16666666666666666	0.0196078431372549	0.1568627450980392	0.049019607843137254	0.18627450980392157	0.029411764705882353	0.0	0.21568627450980393	0.0392156862745098	4	1	0	5	0	2	0	0	4	1	0.2857142857142857	0.058823529411764705	0.0	0.3125	0.0	0.10526315789473684	0.0	0.0	0.18181818181818182	0.25	4	1	0	5	0	2	0	0	4	1	0.2857142857142857	0.058823529411764705	0.0	0.3125	0.0	0.10526315789473684	0.0	0.0	0.18181818181818182	0.25
2022_SRR28226418	Annual_Wastewater_2017_2025	strict_perfect	388	34	0.08762886597938144	33	0.08505154639175258	1	0.002577319587628866	354	0.9123711340206185	145	22	0.15172413793103448	22	0.15172413793103448	1.851299766440563	8	16	34	9	23	10	52	0	0	53	8	1	1	1	1	1	1	0	0	1	1	0.07804878048780488	0.16585365853658537	0.04390243902439024	0.11219512195121951	0.04878048780487805	0.25365853658536586	0.0	0.0	0.25853658536585367	0.03902439024390244	3	5	0	7	1	4	0	0	4	0	0.1875	0.14705882352941177	0.0	0.30434782608695654	0.1	0.07692307692307693	0.0	0.0	0.07547169811320754	0.0	3	5	0	7	1	4	0	0	4	0	0.1875	0.14705882352941177	0.0	0.30434782608695654	0.1	0.07692307692307693	0.0	0.0	0.07547169811320754	0.0
2023_SRR37365438	Annual_Wastewater_2017_2025	strict_perfect	417	64	0.15347721822541965	60	0.14388489208633093	4	0.009592326139088728	353	0.8465227817745803	203	40	0.19704433497536947	39	0.1921182266009852	1.9703093291518217	10	27	54	11	35	22	89	17	2	86	12	1	1	1	1	1	1	1	1	1	1	0.07605633802816901	0.15211267605633802	0.030985915492957747	0.09859154929577464	0.061971830985915494	0.2507042253521127	0.04788732394366197	0.005633802816901409	0.24225352112676057	0.03380281690140845	7	13	1	8	4	14	7	2	12	1	0.25925925925925924	0.24074074074074073	0.09090909090909091	0.22857142857142856	0.18181818181818182	0.15730337078651685	0.4117647058823529	1.0	0.13953488372093023	0.08333333333333333	7	13	1	8	4	13	7	2	12	1	0.25925925925925924	0.24074074074074073	0.09090909090909091	0.22857142857142856	0.18181818181818182	0.14606741573033707	0.4117647058823529	1.0	0.13953488372093023	0.08333333333333333
2024_ERR17001293	Annual_Wastewater_2017_2025	strict_perfect	330	37	0.11212121212121212	36	0.10909090909090909	1	0.0030303030303030303	293	0.8878787878787879	131	30	0.22900763358778625	29	0.22137404580152673	1.9453859618442098	10	15	35	6	24	19	55	13	2	64	4	1	1	1	1	1	1	1	1	1	1	0.06329113924050633	0.14767932489451477	0.02531645569620253	0.10126582278481013	0.08016877637130802	0.2320675105485232	0.05485232067510549	0.008438818565400843	0.270042194092827	0.016877637130801686	4	3	0	9	4	5	0	2	7	1	0.26666666666666666	0.08571428571428572	0.0	0.375	0.21052631578947367	0.09090909090909091	0.0	1.0	0.109375	0.25	4	3	0	9	4	4	0	2	6	1	0.26666666666666666	0.08571428571428572	0.0	0.375	0.21052631578947367	0.07272727272727272	0.0	1.0	0.09375	0.25
2025_ERR17359858	Annual_Wastewater_2017_2025	strict_perfect	15	3	0.2	3	0.2	0	0.0	12	0.8	10	3	0.3	3	0.3	1.3661588475692017	4	2	2	0	3	0	0	0	0	3	0	1	1	0	1	0	0	0	0	1	0	0.2	0.2	0.0	0.3	0.0	0.0	0.0	0.0	0.3	0.0	0	1	0	1	0	0	0	0	1	0	0.0	0.5	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.3333333333333333	0.0	0	1	0	1	0	0	0	0	1	0	0.0	0.5	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.3333333333333333	0.0
ERR1713331	Hendriksen_Sensitivity_Aggregate;Pilot8	strict_perfect	223	223	1.0	107	0.4798206278026906	4	0.017937219730941704	112	0.5022421524663677	101	101	1.0	69	0.6831683168316832	1.9550290908783161	9	16	37	2	24	16	32	14	0	37	2	1	1	1	1	1	1	1	0	1	1	0.08888888888888889	0.20555555555555555	0.011111111111111112	0.13333333333333333	0.08888888888888889	0.17777777777777778	0.07777777777777778	0.0	0.20555555555555555	0.011111111111111112	16	37	2	24	16	32	14	0	37	2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	11	27	1	17	10	18	9	0	22	1	0.6875	0.7297297297297297	0.5	0.7083333333333334	0.625	0.5625	0.6428571428571429	0.0	0.5945945945945946	0.5
