sample	Best_Hit_ARO	ARO	ARG_loci	mobile_ARG_loci	mobile_ARG_fraction	plasmid_ARG_loci	plasmid_ARG_fraction
2017_SRR13208898	AAC(6')-Ib9	3002580	1	0	0.0	0	0.0
2017_SRR13208898	ACI-1	3004359	1	0	0.0	0	0.0
2017_SRR13208898	ACT-8	3001831	1	0	0.0	0	0.0
2017_SRR13208898	ANT(3'')-IIc	3004091	1	0	0.0	0	0.0
2017_SRR13208898	APH(3'')-Ib	3002639	1	0	0.0	0	0.0
2017_SRR13208898	APH(6)-Id	3002660	1	0	0.0	0	0.0
2017_SRR13208898	ArnT	3005053	4	0	0.0	0	0.0
2017_SRR13208898	CMY-48	3002059	1	0	0.0	0	0.0
2017_SRR13208898	CRP	3000518	5	0	0.0	0	0.0
2017_SRR13208898	CblA-1	3002999	1	0	0.0	0	0.0
2017_SRR13208898	CfxA2	3003002	1	1	1.0	1	1.0
2017_SRR13208898	CfxA6	3003097	1	0	0.0	0	0.0
2017_SRR13208898	EC-15	3006876	1	0	0.0	0	0.0
2017_SRR13208898	EreA2	3002826	1	0	0.0	0	0.0
2017_SRR13208898	EreD	3004608	2	0	0.0	0	0.0
2017_SRR13208898	ErmB	3000375	1	0	0.0	0	0.0
2017_SRR13208898	ErmF	3000498	1	1	1.0	1	1.0
2017_SRR13208898	ErmG	3000522	1	1	1.0	1	1.0
2017_SRR13208898	Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline	3003378	2	0	0.0	0	0.0
2017_SRR13208898	Escherichia coli gyrA conferring resistance to fluoroquinolones	3003294	1	0	0.0	0	0.0
2017_SRR13208898	Escherichia coli soxS with mutation conferring antibiotic resistance	3003511	1	0	0.0	0	0.0
2017_SRR13208898	FosA2	3002804	1	0	0.0	0	0.0
2017_SRR13208898	FosA8	3007371	3	0	0.0	0	0.0
2017_SRR13208898	FosG	3007368	1	0	0.0	0	0.0
2017_SRR13208898	FosI	3007370	3	0	0.0	0	0.0
2017_SRR13208898	GES-5	3002334	1	0	0.0	0	0.0
2017_SRR13208898	H-NS	3000676	1	0	0.0	0	0.0
2017_SRR13208898	Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics	3004446	1	0	0.0	0	0.0
2017_SRR13208898	ICR-Mo	3004569	1	0	0.0	0	0.0
2017_SRR13208898	Klebsiella pneumoniae KpnE	3004580	2	0	0.0	0	0.0
2017_SRR13208898	Klebsiella pneumoniae KpnF	3004583	1	0	0.0	0	0.0
2017_SRR13208898	Klebsiella pneumoniae KpnH	3004597	4	1	0.25	1	0.25
2017_SRR13208898	LnuH	3004600	3	1	0.3333333333333333	1	0.3333333333333333
2017_SRR13208898	MOX-9	3002191	1	0	0.0	0	0.0
2017_SRR13208898	Mef(En2)	3004659	1	1	1.0	1	1.0
2017_SRR13208898	Mrx	3003839	1	1	1.0	1	1.0
