sample	Resistance_Mechanism	ARG_loci	mobile_ARG_loci	mobile_ARG_fraction	plasmid_ARG_loci	plasmid_ARG_fraction
2017_SRR13208898	antibiotic efflux	99	14	0.1414141414141414	14	0.1414141414141414
2017_SRR13208898	antibiotic inactivation	56	8	0.14285714285714285	8	0.14285714285714285
2017_SRR13208898	antibiotic target alteration	70	2	0.02857142857142857	2	0.02857142857142857
2017_SRR13208898	antibiotic target protection	12	2	0.16666666666666666	2	0.16666666666666666
2017_SRR13208898	antibiotic target replacement	4	0	0.0	0	0.0
2017_SRR13208898	reduced permeability to antibiotic	2	0	0.0	0	0.0
2018_SRR13208892	antibiotic efflux	57	8	0.14035087719298245	8	0.14035087719298245
2018_SRR13208892	antibiotic inactivation	34	7	0.20588235294117646	7	0.20588235294117646
2018_SRR13208892	antibiotic target alteration	49	1	0.02040816326530612	1	0.02040816326530612
2018_SRR13208892	antibiotic target protection	12	2	0.16666666666666666	2	0.16666666666666666
2018_SRR13208892	antibiotic target replacement	3	2	0.6666666666666666	2	0.6666666666666666
2019_SRR28226461	antibiotic efflux	159	13	0.08176100628930817	13	0.08176100628930817
2019_SRR28226461	antibiotic inactivation	72	19	0.2638888888888889	19	0.2638888888888889
2019_SRR28226461	antibiotic target alteration	224	7	0.03125	4	0.017857142857142856
2019_SRR28226461	antibiotic target protection	23	4	0.17391304347826086	4	0.17391304347826086
2019_SRR28226461	antibiotic target replacement	4	0	0.0	0	0.0
2019_SRR28226461	reduced permeability to antibiotic	5	0	0.0	0	0.0
2020_SRR33084338	antibiotic efflux	17	3	0.17647058823529413	3	0.17647058823529413
2020_SRR33084338	antibiotic inactivation	4	1	0.25	1	0.25
2020_SRR33084338	antibiotic target alteration	35	0	0.0	0	0.0
2020_SRR33084338	antibiotic target protection	6	0	0.0	0	0.0
2020_SRR33084338	antibiotic target replacement	1	1	1.0	1	1.0
2021_SRR28226424	antibiotic efflux	54	10	0.18518518518518517	10	0.18518518518518517
2021_SRR28226424	antibiotic inactivation	39	9	0.23076923076923078	9	0.23076923076923078
2021_SRR28226424	antibiotic target alteration	40	1	0.025	1	0.025
2021_SRR28226424	antibiotic target protection	9	2	0.2222222222222222	2	0.2222222222222222
2021_SRR28226424	antibiotic target replacement	2	1	0.5	1	0.5
2021_SRR28226424	reduced permeability to antibiotic	1	0	0.0	0	0.0
