sample	cohort_memberships	source_mode	total_ARG_loci	mobile_ARG_loci	mobile_ARG_fraction	plasmid_like_ARG_loci	plasmid_like_ARG_fraction	virus_like_ARG_loci	virus_like_ARG_fraction	chromosome_like_ARG_loci	chromosome_like_ARG_fraction	canonical10_unique_ARG_loci	canonical10_mobile_ARG_loci	canonical10_mobile_ARG_fraction	canonical10_plasmid_ARG_loci	canonical10_plasmid_ARG_fraction	ARG_10class_Shannon	ARG_10class_richness
2017_SRR13208898	Annual_Wastewater_2017_2025	strict_perfect	238	26	0.1092436974789916	26	0.1092436974789916	0	0.0	212	0.8907563025210085	134	20	0.14925373134328357	20	0.14925373134328357	1.9873668988540354	10
2018_SRR13208892	Annual_Wastewater_2017_2025	strict_perfect	155	20	0.12903225806451613	20	0.12903225806451613	0	0.0	135	0.8709677419354839	81	15	0.18518518518518517	15	0.18518518518518517	1.7985372490572165	9
2019_SRR28226461	Annual_Wastewater_2017_2025	strict_perfect	474	43	0.09071729957805907	40	0.08438818565400844	3	0.006329113924050633	431	0.9092827004219409	209	33	0.15789473684210525	32	0.15311004784688995	1.8914990148353303	10
2020_SRR33084338	Annual_Wastewater_2017_2025	strict_perfect	63	5	0.07936507936507936	5	0.07936507936507936	0	0.0	58	0.9206349206349206	23	2	0.08695652173913043	2	0.08695652173913043	1.618966953243029	7
2021_SRR28226424	Annual_Wastewater_2017_2025	strict_perfect	143	23	0.16083916083916083	23	0.16083916083916083	0	0.0	120	0.8391608391608392	74	16	0.21621621621621623	16	0.21621621621621623	1.9613000502330415	9
2022_SRR28226418	Annual_Wastewater_2017_2025	strict_perfect	388	34	0.08762886597938144	33	0.08505154639175258	1	0.002577319587628866	354	0.9123711340206185	145	22	0.15172413793103448	22	0.15172413793103448	1.851299766440563	8
2023_SRR37365438	Annual_Wastewater_2017_2025	strict_perfect	417	64	0.15347721822541965	60	0.14388489208633093	4	0.009592326139088728	353	0.8465227817745803	203	40	0.19704433497536947	39	0.1921182266009852	1.9703093291518217	10
2024_ERR17001293	Annual_Wastewater_2017_2025	strict_perfect	330	37	0.11212121212121212	36	0.10909090909090909	1	0.0030303030303030303	293	0.8878787878787879	131	30	0.22900763358778625	29	0.22137404580152673	1.9453859618442098	10
2025_ERR17359858	Annual_Wastewater_2017_2025	strict_perfect	15	3	0.2	3	0.2	0	0.0	12	0.8	10	3	0.3	3	0.3	1.3661588475692017	4
ERR1713331	Hendriksen_Sensitivity_Aggregate;Pilot8	strict_perfect	223	223	1.0	107	0.4798206278026906	4	0.017937219730941704	112	0.5022421524663677	101	101	1.0	69	0.6831683168316832	1.9550290908783161	9
ERR1713332	Batch02_10countries_USA11;Hendriksen_Sensitivity_Aggregate;Pilot8	strict_perfect	83	83	1.0	36	0.43373493975903615	1	0.012048192771084338	46	0.5542168674698795	33	33	1.0	21	0.6363636363636364	1.5754793067010895	6
ERR1713334	Batch02_10countries_USA11;Hendriksen_Sensitivity_Aggregate;Pilot8	strict_perfect	179	179	1.0	92	0.5139664804469274	6	0.0335195530726257	81	0.45251396648044695	67	67	1.0	51	0.7611940298507462	1.8740047404925566	8
ERR1713335	Batch02_10countries_USA11	strict_perfect	142	142	1.0	73	0.5140845070422535	8	0.056338028169014086	61	0.4295774647887324	72	72	1.0	51	0.7083333333333334	1.9531785338053183	9
ERR1713337	Batch02_10countries_USA11;Hendriksen_Sensitivity_Aggregate;Pilot8	strict_perfect	211	211	1.0	66	0.3127962085308057	6	0.02843601895734597	139	0.6587677725118484	87	87	1.0	41	0.47126436781609193	1.8443831471114673	10
ERR1713339	Batch02_10countries_USA11;Hendriksen_Sensitivity_Aggregate;Pilot8	strict_perfect	16	16	1.0	8	0.5	1	0.0625	7	0.4375	7	7	1.0	6	0.8571428571428571	0.410116318288409	2
ERR1713343	Batch02_10countries_USA11	strict_perfect	55	55	1.0	27	0.4909090909090909	1	0.01818181818181818	27	0.4909090909090909	22	22	1.0	17	0.7727272727272727	1.6275675167401704	6
ERR1713344	Hendriksen_Sensitivity_Aggregate;Pilot8	strict_perfect	207	207	1.0	74	0.357487922705314	10	0.04830917874396135	123	0.5942028985507246	99	99	1.0	66	0.6666666666666666	1.8548159354483555	10
ERR1713346	Batch03_Global10	strict_perfect	193	21	0.10880829015544041	20	0.10362694300518134	1	0.0051813471502590676	172	0.8911917098445595	82	16	0.1951219512195122	15	0.18292682926829268	1.9887756946232642	10
ERR1713348	Batch01_Clean21_USA_Chicago11	strict_perfect	80	7	0.0875	7	0.0875	0	0.0	73	0.9125	37	5	0.13513513513513514	5	0.13513513513513514	1.8482838291795163	8
ERR1713349	Batch02_10countries_USA11	strict_perfect	278	278	1.0	115	0.4136690647482014	10	0.03597122302158273	153	0.5503597122302158	95	95	1.0	63	0.6631578947368421	1.9758191973758277	9
ERR1713350	Hendriksen_Sensitivity_Aggregate;Selected8	strict_perfect	383	383	1.0	168	0.4386422976501306	20	0.05221932114882506	195	0.5091383812010444	120	120	1.0	78	0.65	1.979337315953822	9
ERR1713352	Batch02_10countries_USA11	strict_perfect	215	215	1.0	72	0.33488372093023255	6	0.027906976744186046	137	0.6372093023255814	91	91	1.0	45	0.4945054945054945	1.9572905156863858	9
ERR1713354	Hendriksen_Sensitivity_Aggregate;Selected8	strict_perfect	119	119	1.0	63	0.5294117647058824	4	0.03361344537815126	52	0.4369747899159664	59	59	1.0	44	0.7457627118644068	1.992358498391468	9
ERR1713355	Hendriksen_Sensitivity_Aggregate;Selected8	strict_perfect	345	345	1.0	141	0.40869565217391307	19	0.05507246376811594	185	0.5362318840579711	126	126	1.0	78	0.6190476190476191	2.013828095352382	9
ERR1713358	Batch01_Clean21_USA_Chicago11	strict_perfect	242	16	0.06611570247933884	16	0.06611570247933884	0	0.0	226	0.9338842975206612	76	15	0.19736842105263158	15	0.19736842105263158	1.8076029971138756	8
ERR1713359	Hendriksen_Sensitivity_Aggregate;Selected8	strict_perfect	80	80	1.0	39	0.4875	2	0.025	39	0.4875	45	45	1.0	26	0.5777777777777777	1.3851271854259215	7
ERR1713361	Hendriksen_Sensitivity_Aggregate;Selected8	strict_perfect	19	19	1.0	10	0.5263157894736842	0	0.0	9	0.47368421052631576	12	12	1.0	8	0.6666666666666666	1.2202821662722372	4
ERR1713362	Batch02_10countries_USA11;Hendriksen_Sensitivity_Aggregate;Selected8	strict_perfect	410	410	1.0	177	0.4317073170731707	18	0.04390243902439024	215	0.524390243902439	178	178	1.0	119	0.6685393258426966	2.070696849689219	10
ERR1713365	Hendriksen_Sensitivity_Aggregate;Selected8	strict_perfect	86	86	1.0	45	0.5232558139534884	1	0.011627906976744186	40	0.46511627906976744	42	42	1.0	30	0.7142857142857143	1.754454705595334	7
ERR1713366	Batch04A_NewCountries	strict_perfect	15	0	0.0	0	0.0	0	0.0	15	1.0	11	0	0.0	0	0.0	1.4377014436429412	5
ERR1713367	Batch01_Clean21_USA_Chicago11	strict_perfect	214	23	0.10747663551401869	23	0.10747663551401869	0	0.0	191	0.8925233644859814	83	20	0.24096385542168675	20	0.24096385542168675	1.9049361261444062	9
ERR1713368	Batch04A_NewCountries	strict_perfect	260	33	0.12692307692307692	33	0.12692307692307692	0	0.0	227	0.8730769230769231	121	26	0.21487603305785125	26	0.21487603305785125	1.9997842047782761	10
ERR1713369	Hendriksen_Sensitivity_Aggregate;Selected8	strict_perfect	278	278	1.0	133	0.4784172661870504	8	0.02877697841726619	137	0.49280575539568344	137	137	1.0	93	0.6788321167883211	2.086695627911045	10
ERR1713370	Batch03_Global10	strict_perfect	301	41	0.1362126245847176	39	0.12956810631229235	2	0.006644518272425249	260	0.8637873754152824	131	34	0.2595419847328244	32	0.24427480916030533	1.9262058616236912	9
ERR1713371	Batch04B_NewCountries	strict_perfect	215	38	0.17674418604651163	38	0.17674418604651163	0	0.0	177	0.8232558139534883	146	32	0.2191780821917808	32	0.2191780821917808	1.9343307654114745	9
ERR1713372	Batch01_Clean21_USA_Chicago11	strict_perfect	235	32	0.13617021276595745	29	0.12340425531914893	3	0.01276595744680851	203	0.8638297872340426	93	22	0.23655913978494625	21	0.22580645161290322	2.0129498821290794	9
ERR1713379	Batch02_10countries_USA11	strict_perfect	9	9	1.0	4	0.4444444444444444	0	0.0	5	0.5555555555555556	5	5	1.0	4	0.8	0.6730116670092565	2
ERR1713381	Batch04A_NewCountries	strict_perfect	428	36	0.08411214953271028	34	0.0794392523364486	2	0.004672897196261682	392	0.9158878504672897	104	29	0.27884615384615385	28	0.2692307692307692	1.8205217485148601	10
ERR1713382	Batch03_Global10	strict_perfect	215	24	0.11162790697674418	24	0.11162790697674418	0	0.0	191	0.8883720930232558	86	12	0.13953488372093023	12	0.13953488372093023	1.8347679255019114	9
ERR1713384	Batch04B_NewCountries	strict_perfect	425	50	0.11764705882352941	49	0.11529411764705882	1	0.002352941176470588	375	0.8823529411764706	182	39	0.21428571428571427	38	0.2087912087912088	2.0095732512155924	10
ERR1713385	Batch03_Global10	strict_perfect	255	34	0.13333333333333333	32	0.12549019607843137	2	0.00784313725490196	221	0.8666666666666667	117	26	0.2222222222222222	25	0.21367521367521367	2.019158682970314	10
ERR1713386	Batch03_Global10	strict_perfect	348	57	0.16379310344827586	56	0.16091954022988506	1	0.0028735632183908046	291	0.8362068965517241	214	45	0.2102803738317757	44	0.205607476635514	1.9750498704268717	10
ERR1713394	Batch04A_NewCountries	strict_perfect	410	24	0.05853658536585366	23	0.05609756097560976	1	0.0024390243902439024	386	0.9414634146341463	156	21	0.1346153846153846	20	0.1282051282051282	1.843196766109579	10
ERR1713397	USA_CrossStudy8	strict_perfect	263	20	0.07604562737642585	20	0.07604562737642585	0	0.0	243	0.9239543726235742	80	10	0.125	10	0.125	1.8359556560784236	9
ERR1713398	USA_CrossStudy8	strict_perfect	147	15	0.10204081632653061	15	0.10204081632653061	0	0.0	132	0.8979591836734694	39	6	0.15384615384615385	6	0.15384615384615385	1.8040423259378824	9
ERR1713399	Batch01_Clean21_USA_Chicago11	strict_perfect	78	6	0.07692307692307693	6	0.07692307692307693	0	0.0	72	0.9230769230769231	24	5	0.20833333333333334	5	0.20833333333333334	1.4302848576741605	5
ERR1713400	USA_CrossStudy8	strict_perfect	215	25	0.11627906976744186	25	0.11627906976744186	0	0.0	190	0.8837209302325582	86	17	0.19767441860465115	17	0.19767441860465115	1.9482264669071343	9
ERR1713403	Batch02_10countries_USA11	strict_perfect	48	48	1.0	16	0.3333333333333333	4	0.08333333333333333	28	0.5833333333333334	19	19	1.0	13	0.6842105263157895	1.6333960726341687	7
ERR1713405	USA_CrossStudy8	strict_perfect	373	34	0.09115281501340483	34	0.09115281501340483	0	0.0	339	0.9088471849865952	148	24	0.16216216216216217	24	0.16216216216216217	2.0257603159427213	9
