sample	cohort_memberships	mode	source_file
2017_SRR13208898	Annual_Wastewater_2017_2025	strict_perfect	rr-analysis/annual_wastewater_2017_2025/dataset_inputs_annual_wastewater_2017_2025/2017_SRR13208898/ARG_mobility_overlap/2017_SRR13208898_strict_perfect_overlap.tsv
2018_SRR13208892	Annual_Wastewater_2017_2025	strict_perfect	rr-analysis/annual_wastewater_2017_2025/dataset_inputs_annual_wastewater_2017_2025/2018_SRR13208892/ARG_mobility_overlap/2018_SRR13208892_strict_perfect_overlap.tsv
2019_SRR28226461	Annual_Wastewater_2017_2025	strict_perfect	rr-analysis/annual_wastewater_2017_2025/dataset_inputs_annual_wastewater_2017_2025/2019_SRR28226461/ARG_mobility_overlap/2019_SRR28226461_strict_perfect_overlap.tsv
2020_SRR33084338	Annual_Wastewater_2017_2025	strict_perfect	rr-analysis/annual_wastewater_2017_2025/dataset_inputs_annual_wastewater_2017_2025/2020_SRR33084338/ARG_mobility_overlap/2020_SRR33084338_strict_perfect_overlap.tsv
2021_SRR28226424	Annual_Wastewater_2017_2025	strict_perfect	rr-analysis/annual_wastewater_2017_2025/dataset_inputs_annual_wastewater_2017_2025/2021_SRR28226424/ARG_mobility_overlap/2021_SRR28226424_strict_perfect_overlap.tsv
2022_SRR28226418	Annual_Wastewater_2017_2025	strict_perfect	rr-analysis/annual_wastewater_2017_2025/dataset_inputs_annual_wastewater_2017_2025/2022_SRR28226418/ARG_mobility_overlap/2022_SRR28226418_strict_perfect_overlap.tsv
2023_SRR37365438	Annual_Wastewater_2017_2025	strict_perfect	rr-analysis/annual_wastewater_2017_2025/dataset_inputs_annual_wastewater_2017_2025/2023_SRR37365438/ARG_mobility_overlap/2023_SRR37365438_strict_perfect_overlap.tsv
2024_ERR17001293	Annual_Wastewater_2017_2025	strict_perfect	rr-analysis/annual_wastewater_2017_2025/dataset_inputs_annual_wastewater_2017_2025/2024_ERR17001293/ARG_mobility_overlap/2024_ERR17001293_strict_perfect_overlap.tsv
2025_ERR17359858	Annual_Wastewater_2017_2025	strict_perfect	rr-analysis/annual_wastewater_2017_2025/dataset_inputs_annual_wastewater_2017_2025/2025_ERR17359858/ARG_mobility_overlap/2025_ERR17359858_strict_perfect_overlap.tsv
ERR1713331	Hendriksen_Sensitivity_Aggregate;Pilot8	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_pilot8/ARG_Mobility_Overlap/ERR1713331/ERR1713331_strict_perfect_overlap.tsv
ERR1713332	Batch02_10countries_USA11;Hendriksen_Sensitivity_Aggregate;Pilot8	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch02_10countries_plus_USA_alt11/ARG_Mobility_Overlap/ERR1713332/ERR1713332_strict_perfect_overlap.tsv
ERR1713334	Batch02_10countries_USA11;Hendriksen_Sensitivity_Aggregate;Pilot8	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch02_10countries_plus_USA_alt11/ARG_Mobility_Overlap/ERR1713334/ERR1713334_strict_perfect_overlap.tsv
ERR1713335	Batch02_10countries_USA11	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch02_10countries_plus_USA_alt11/ARG_Mobility_Overlap/ERR1713335/ERR1713335_strict_perfect_overlap.tsv
ERR1713337	Batch02_10countries_USA11;Hendriksen_Sensitivity_Aggregate;Pilot8	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch02_10countries_plus_USA_alt11/ARG_Mobility_Overlap/ERR1713337/ERR1713337_strict_perfect_overlap.tsv
ERR1713339	Batch02_10countries_USA11;Hendriksen_Sensitivity_Aggregate;Pilot8	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch02_10countries_plus_USA_alt11/ARG_Mobility_Overlap/ERR1713339/ERR1713339_strict_perfect_overlap.tsv
ERR1713343	Batch02_10countries_USA11	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch02_10countries_plus_USA_alt11/ARG_Mobility_Overlap/ERR1713343/ERR1713343_strict_perfect_overlap.tsv
ERR1713344	Hendriksen_Sensitivity_Aggregate;Pilot8	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_pilot8/ARG_Mobility_Overlap/ERR1713344/ERR1713344_strict_perfect_overlap.tsv
ERR1713346	Batch03_Global10	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch03_global10/ARG_Mobility_Overlap/ERR1713346/ERR1713346_strict_perfect_overlap.tsv
ERR1713348	Batch01_Clean21_USA_Chicago11	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_clean21_plus_USA_chicago_11/ARG_Mobility_Overlap/ERR1713348/ERR1713348_strict_perfect_overlap.tsv
ERR1713349	Batch02_10countries_USA11	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch02_10countries_plus_USA_alt11/ARG_Mobility_Overlap/ERR1713349/ERR1713349_strict_perfect_overlap.tsv
