seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k141_17022	2357	No terminal repeats	2	11	0.9964	NA	2	3.4366	MOBP1	NA
k141_21322	2443	No terminal repeats	2	11	0.9962	NA	2	3.4366	MOBP1	NA
k141_4860	2690	No terminal repeats	3	11	0.9961	NA	2	4.9556	MOBQ	NA
k141_20135	1434	No terminal repeats	2	11	0.9953	NA	1	3.2077	MOBQ	NA
k141_19224	1025	No terminal repeats	2	11	0.9953	NA	2	3.1408	MOBP1	NA
k141_23200	3417	No terminal repeats	5	11	0.9952	NA	1	2.9947	MOBQ	NA
k141_4471	1257	No terminal repeats	2	11	0.9951	NA	1	3.2077	MOBQ	NA
k141_25401	2806	No terminal repeats	5	11	0.9948	NA	0	5.1548	NA	NA
k141_27194	4952	No terminal repeats	7	11	0.9947	NA	2	4.0850	MOBV	NA
k141_27395	2639	No terminal repeats	4	11	0.9947	NA	0	3.4366	NA	NA
k141_29669	2185	No terminal repeats	5	11	0.9946	NA	1	4.7687	NA	NA
k141_10218	3165	No terminal repeats	4	11	0.9945	NA	0	2.7867	NA	NA
k141_32065	1158	No terminal repeats	2	11	0.9945	NA	2	3.1506	NA	NA
k141_362	1630	No terminal repeats	2	11	0.9944	NA	1	2.2083	NA	NA
k141_27417	2048	No terminal repeats	2	11	0.9941	NA	1	2.6203	NA	NA
k141_16860	1335	No terminal repeats	1	11	0.9941	NA	1	1.7183	NA	NA
k141_22741	4287	DTR	9	11	0.9937	NA	1	6.4809	NA	NA
k141_18024	1740	No terminal repeats	3	11	0.9936	NA	1	3.2636	NA	NA
k141_13418	2214	No terminal repeats	6	11	0.9935	NA	1	4.4878	NA	NA
k141_15538	4209	No terminal repeats	6	11	0.9935	NA	0	5.0908	NA	NA
k141_4510	1620	No terminal repeats	2	11	0.9934	NA	1	1.7183	NA	NA
k141_19245	5554	No terminal repeats	9	11	0.9932	NA	0	2.8899	NA	NA
k141_20193	2315	No terminal repeats	4	11	0.9931	NA	1	3.2636	NA	NA
k141_14650	1938	No terminal repeats	3	11	0.9929	NA	2	3.1408	MOBP1	NA
k141_25583	1044	No terminal repeats	1	11	0.9926	NA	1	1.7183	MOBP1	NA
k141_30966	1035	No terminal repeats	2	11	0.9924	NA	1	1.7183	NA	NA
k141_27498	2119	No terminal repeats	4	11	0.9923	NA	2	3.2261	MOBQ	NA
k141_18268	1476	No terminal repeats	3	11	0.9920	NA	1	1.9139	NA	NA
k141_15142	1637	No terminal repeats	2	11	0.9920	NA	1	2.2604	NA	NA
k141_6179	1007	No terminal repeats	1	11	0.9916	NA	1	1.7183	NA	NA
k141_16740	3220	No terminal repeats	5	11	0.9913	NA	2	3.2261	MOBQ	NA
k141_28106	1490	No terminal repeats	2	11	0.9913	NA	1	1.3621	NA	NA
k141_4727	1285	No terminal repeats	1	11	0.9906	NA	1	0.9293	NA	NA
k141_20032	1022	No terminal repeats	1	11	0.9903	NA	1	1.2389	NA	NA
k141_10523	2778	No terminal repeats	3	11	0.9899	NA	0	1.7183	NA	NA
k141_3818	4574	No terminal repeats	5	11	0.9899	NA	0	3.8003	NA	NA
k141_9250	1236	No terminal repeats	2	11	0.9899	NA	1	3.2077	MOBQ	NA
k141_11013	1254	No terminal repeats	3	11	0.9896	NA	2	3.3289	MOBQ	NA
k141_2093	1031	No terminal repeats	3	11	0.9895	NA	1	1.7183	NA	NA
k141_15529	1470	No terminal repeats	2	11	0.9892	NA	1	1.7183	NA	NA
k141_1039	3800	No terminal repeats	5	11	0.9877	NA	0	1.7183	NA	NA
k141_7355	4116	No terminal repeats	4	11	0.9869	NA	1	0.9020	NA	NA
k141_29750	4460	No terminal repeats	6	11	0.9855	NA	0	1.7183	NA	NA
k141_26796	1641	No terminal repeats	3	11	0.9854	NA	1	2.8338	MOBQ	NA
k141_1024	4040	No terminal repeats	7	11	0.9851	NA	0	1.3444	NA	NA
k141_10066	3181	No terminal repeats	4	11	0.9849	NA	1	3.3446	NA	NA
k141_17326	1192	No terminal repeats	2	11	0.9842	NA	1	1.4894	MOBQ	NA
k141_19206	2892	DTR	3	11	0.9838	NA	2	1.1874	NA	NA
k141_1844	1042	No terminal repeats	3	11	0.9836	NA	2	2.9571	MOBP1	NA
k141_27250	2933	No terminal repeats	6	11	0.9828	NA	0	1.5273	NA	NA
k141_7832	2538	No terminal repeats	4	11	0.9804	NA	0	1.0827	NA	NA
k141_19563	2540	No terminal repeats	3	11	0.9791	NA	0	1.3058	NA	NA
k141_3876	2950	No terminal repeats	3	11	0.9780	NA	0	1.2113	NA	NA
k141_30408	2722	No terminal repeats	5	11	0.9779	NA	0	0.4378	NA	NA
k141_21925	2911	No terminal repeats	3	11	0.9765	NA	0	1.7848	NA	NA
k141_25726	2741	No terminal repeats	3	11	0.9753	NA	1	1.5023	NA	NA
k141_13558	1026	No terminal repeats	2	11	0.9725	NA	1	1.7183	NA	NA
k141_17331	2748	No terminal repeats	2	11	0.9717	NA	0	1.4689	NA	NA
k141_16117	4376	No terminal repeats	5	11	0.9714	NA	0	1.1625	NA	NA
k141_30344	1026	No terminal repeats	2	11	0.9705	NA	1	2.7372	NA	NA
k141_18327	2012	No terminal repeats	1	11	0.9705	NA	1	0.2748	NA	NA
k141_17327	1301	No terminal repeats	2	11	0.9657	NA	1	0.8688	NA	NA
k141_26668	1388	No terminal repeats	1	11	0.9646	NA	1	0.2748	NA	NA
k141_19281	3937	No terminal repeats	2	11	0.9631	NA	0	1.6258	NA	NA
k141_32250	1996	No terminal repeats	3	11	0.9589	NA	1	1.4569	FA_orf13	NA
k141_6463	2574	No terminal repeats	5	11	0.9551	NA	0	1.6307	NA	NA
k141_24147	1680	No terminal repeats	4	11	0.9551	NA	1	1.4636	F_traE	NA
k141_22077	1196	No terminal repeats	1	11	0.9545	NA	1	1.4636	F_traE	NA
k141_32112	5089	No terminal repeats	5	11	0.9518	NA	0	1.6167	NA	NA
k141_6784	1768	No terminal repeats	2	11	0.9515	NA	1	1.7133	NA	NA
k141_23867	1022	No terminal repeats	3	11	0.9503	NA	1	0.5482	MOBT	NA
k141_30906	1632	No terminal repeats	2	11	0.9481	NA	1	1.4636	F_traE	NA
k141_6021	1962	No terminal repeats	2	11	0.9473	NA	1	1.2722	MOBQ	NA
k141_26251	1167	No terminal repeats	1	11	0.9434	NA	1	1.4636	F_traE	NA
k141_1960	2524	No terminal repeats	4	11	0.9429	NA	0	1.7115	NA	NA
k141_26024	9054	No terminal repeats	7	11	0.9415	NA	0	0.9659	NA	NA
k141_18480	1580	No terminal repeats	2	11	0.9406	NA	1	1.1540	NA	NA
k141_895	1514	No terminal repeats	2	11	0.9379	NA	1	1.0833	NA	NA
k141_5204	1109	No terminal repeats	1	11	0.9377	NA	1	1.6808	MOBQ	NA
k141_19502	2749	No terminal repeats	2	11	0.9363	NA	0	1.6258	NA	NA
