seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
k141_870708	6366	No terminal repeats	NA	13	11	0.9835	NA	4	20.2525	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_505247	9147	No terminal repeats	NA	10	11	0.9834	NA	2	16.8612	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1332390	6625	No terminal repeats	NA	7	11	0.9834	NA	3	11.7368	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1327528	7602	No terminal repeats	NA	10	11	0.9833	NA	4	15.2345	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_393386	5557	No terminal repeats	NA	5	11	0.9833	NA	2	7.6500	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_691435	10052	No terminal repeats	NA	13	11	0.9833	NA	8	21.3786	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_423881	6363	No terminal repeats	NA	6	11	0.9832	NA	0	10.0999	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_279664	4913	No terminal repeats	NA	7	11	0.9832	NA	3	11.0655	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1057512	5583	No terminal repeats	NA	8	11	0.9832	NA	4	12.8430	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_309929	27123	No terminal repeats	NA	39	11	0.9831	NA	5	54.9795	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Autographiviridae
k141_655817	2591	No terminal repeats	NA	4	15	0.9831	NA	2	6.5308	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
