seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k141_1269511	3043	No terminal repeats	3	11	0.9965	NA	2	4.5193	MOBP1	NA
k141_326760	3383	No terminal repeats	3	11	0.9965	NA	2	4.0576	MOBQ	NA
k141_233632	2242	No terminal repeats	3	11	0.9964	NA	2	3.8825	MOBQ	NA
k141_1363226	5502	No terminal repeats	4	11	0.9964	NA	0	6.8349	NA	NA
k141_1093123	1544	No terminal repeats	3	11	0.9963	NA	2	3.6894	MOBP1	NA
k141_1664483	2939	No terminal repeats	4	11	0.9963	NA	0	4.5509	NA	NA
k141_319538	2808	No terminal repeats	2	11	0.9963	NA	0	2.8010	NA	NA
k141_2053109	1805	No terminal repeats	3	11	0.9963	NA	1	4.1134	NA	NA
k141_1659530	2713	No terminal repeats	3	11	0.9963	NA	1	4.4667	MOBP1	NA
k141_1694413	3885	No terminal repeats	9	11	0.9963	NA	5	12.8296	F_traF;F_traN	NA
k141_891677	1811	No terminal repeats	3	11	0.9963	NA	2	2.8577	MOBP1	NA
k141_548929	1094	No terminal repeats	2	11	0.9962	NA	2	3.4366	MOBP1	NA
k141_1695312	1847	No terminal repeats	2	11	0.9962	NA	2	3.4366	MOBP1	NA
k141_1712072	1480	No terminal repeats	3	11	0.9962	NA	3	4.5830	MOBQ	NA
k141_1101586	3005	No terminal repeats	4	11	0.9962	NA	0	5.5922	NA	NA
k141_959357	2069	No terminal repeats	2	11	0.9962	NA	1	2.5612	NA	NA
k141_18406	2371	No terminal repeats	4	11	0.9961	NA	2	5.4681	MOBQ	NA
k141_805300	1801	No terminal repeats	3	11	0.9961	NA	2	4.2755	MOBP1	NA
k141_567385	5757	No terminal repeats	7	11	0.9961	NA	2	10.0808	MOBQ	NA
k141_84937	2441	No terminal repeats	2	11	0.9961	NA	2	2.9571	MOBP1	NA
k141_2052743	1225	No terminal repeats	2	11	0.9961	NA	1	2.2669	NA	NA
k141_164249	3645	No terminal repeats	3	11	0.9961	NA	1	5.1532	MOBV	NA
k141_1388935	1660	No terminal repeats	2	15	0.9961	NA	2	3.4267	NA	NA
k141_1689821	2505	No terminal repeats	2	11	0.9961	NA	1	3.2077	MOBQ	NA
k141_889801	1284	No terminal repeats	3	11	0.9960	NA	2	4.9444	MOBQ	NA
k141_976392	1649	No terminal repeats	3	11	0.9960	NA	2	3.0740	NA	NA
k141_838326	3364	DTR	6	11	0.9960	NA	4	7.7346	MOBP1	NA
k141_1093333	1126	No terminal repeats	2	11	0.9960	NA	2	3.3991	MOBQ	NA
k141_200222	3926	No terminal repeats	5	11	0.9960	NA	2	5.8609	MOBQ	NA
k141_1717244	1663	No terminal repeats	3	11	0.9960	NA	1	4.8049	NA	NA
k141_9418	12143	No terminal repeats	15	11	0.9960	NA	0	14.6214	NA	NA
k141_1672174	1339	No terminal repeats	2	11	0.9960	NA	2	2.9571	MOBP1	NA
k141_1734873	2409	No terminal repeats	2	11	0.9959	NA	1	3.1729	NA	NA
k141_508627	2290	No terminal repeats	2	11	0.9959	NA	2	2.3676	NA	NA
k141_84370	3596	No terminal repeats	6	11	0.9959	NA	1	8.3625	MOBQ	NA
k141_1891293	1991	No terminal repeats	3	11	0.9959	NA	1	4.0309	NA	NA
k141_531479	1204	No terminal repeats	2	11	0.9959	NA	2	3.1408	MOBP1	NA
k141_147383	1834	No terminal repeats	2	11	0.9959	NA	2	3.4366	MOBP1	NA
k141_332281	1397	No terminal repeats	2	11	0.9958	NA	2	2.9571	MOBP1	NA
k141_2114194	1278	No terminal repeats	2	11	0.9958	NA	1	2.7470	NA	NA
k141_1096236	1698	No terminal repeats	1	11	0.9958	NA	1	1.7183	NA	NA
k141_1396680	1096	No terminal repeats	3	11	0.9958	NA	1	4.1134	NA	NA
k141_508696	2886	No terminal repeats	5	11	0.9958	NA	0	3.6423	NA	NA
k141_1166117	10448	No terminal repeats	14	11	0.9958	NA	0	18.5134	NA	NA
k141_340397	2968	No terminal repeats	5	11	0.9958	NA	3	6.8207	NA	NA
k141_1377501	1318	No terminal repeats	2	11	0.9958	NA	2	2.9571	MOBP1	NA
k141_877266	9605	No terminal repeats	12	11	0.9958	NA	8	14.9604	F_trbC;F_traN;F_traF;F_traH;F_traG	NA
k141_1634125	1586	No terminal repeats	2	11	0.9958	NA	2	3.3991	MOBQ	NA
k141_1893636	1692	No terminal repeats	3	11	0.9958	NA	2	3.5624	MOBP1	NA
k141_125899	2113	No terminal repeats	1	11	0.9958	NA	1	1.7183	NA	NA
k141_1115697	1016	No terminal repeats	2	11	0.9958	NA	2	2.9571	MOBP1	NA
k141_1726497	1385	No terminal repeats	2	11	0.9957	NA	1	2.6203	NA	NA
k141_1417458	1219	No terminal repeats	2	11	0.9957	NA	2	3.4302	MOBP1	NA
k141_1202794	1679	No terminal repeats	2	11	0.9957	NA	1	2.3861	NA	NA
k141_2099052	2203	No terminal repeats	4	11	0.9957	NA	1	4.5304	NA	NA
k141_1792998	3991	No terminal repeats	4	11	0.9957	NA	2	4.5193	MOBP1	NA
k141_846783	10869	No terminal repeats	14	11	0.9957	NA	4	19.3701	B_traO	NA
k141_307883	6837	No terminal repeats	13	11	0.9957	NA	7	14.8597	virb4;F_traV;F_traB;F_traK;F_traE;F_traL	NA
k141_414810	1272	No terminal repeats	2	11	0.9957	NA	2	3.1408	MOBP1	NA
k141_1213815	2165	No terminal repeats	2	11	0.9957	NA	1	2.7941	NA	NA
k141_1321735	3166	No terminal repeats	4	11	0.9957	NA	0	3.7306	NA	NA
k141_852248	2623	No terminal repeats	3	11	0.9957	NA	0	3.5031	NA	NA
k141_1811633	3045	No terminal repeats	5	11	0.9956	NA	3	5.0806	NA	NA
