card_subject_id	total_read_hits	R1_read_hits	R2_read_hits	mean_percent_identity	maximum_alignment_length	minimum_evalue	maximum_bitscore
gb|BAB38333.1|ARO:3003288|Ecol_rpoB_RIF	28707	14681	14026	88.5172	52	6.36e-32	112.0000
gb|AAA50993.1|ARO:3003368|Ecol_EFTu_KIR	27415	13960	13455	86.3241	50	2.61e-32	111.0000
gb|AJF82744.1|ARO:3003817|Abau_gyrA_FLO	17177	8706	8471	88.7973	51	6.37e-32	112.0000
gb|AAX14802.1|ARO:3000781|adeJ	15174	7659	7515	87.1431	51	7.67e-31	108.0000
gb|WP_000202252.1|ARO:3003818|Abau_parC_FLO	13704	6919	6785	89.4586	50	8.64e-32	111.0000
gb|AJP09758.1|ARO:3004681|Cdif_rpoC_VAN	12099	6115	5984	85.2383	50	9.84e-33	114.0000
gb|BAE77595.1|ARO:3003303|Ecol_gyrB_AMU	12040	6080	5960	88.4034	51	3.87e-33	115.0000
gb|AAG08352.1|ARO:3003685|Paer_parE_FLO	10128	5198	4930	87.0372	51	9.89e-31	108.0000
gb|WP_011079201.1|ARO:3007794|Vvul_rpoB_RIF	9316	4747	4569	86.9376	51	1.05e-30	108.0000
gb|AAG07064.1|ARO:3003693|MexK	9055	4605	4450	86.1274	52	1.35e-27	99.8000
gb|AXU66539.1|ARO:3003357|Cdif_EFTu_ELF	7692	3843	3849	91.6372	55	1.99e-31	108.0000
gb|CAG39569.1|ARO:3003291|Saur_rpoC_DAP	6524	3317	3207	84.8436	50	4.11e-31	109.0000
gb|AFK57679.1|ARO:3003438|Efac_EFTu_GE2A	5741	2924	2817	85.5617	55	1.9e-30	106.0000
gb|AAD08242.1|ARO:3007051|Hpyl_rpoB_RIF	5541	2840	2701	83.9331	51	1.04e-30	108.0000
gb|BAA37152.1|ARO:3003702|Paer_ParC_FLO	5470	2796	2674	88.4833	50	6.34e-32	112.0000
gb|AAG05882.1|ARO:3000804|MexF	5388	2724	2664	89.8646	52	5.98e-29	103.0000
gb|AJF83452.1|ARO:3003574|LpxC	5361	2679	2682	90.2994	50	9.85e-31	105.0000
gb|NP_215182.1|ARO:3004994|Mtub_rpoC_RIF	5356	2651	2705	85.8291	50	2.5e-32	113.0000
gb|AAX14803.1|ARO:3000782|adeK	5063	2516	2547	86.4086	52	7.64e-29	102.0000
gb|AAA74437.1|ARO:3000378|MexB	4689	2409	2280	85.5907	54	2.51e-27	99.0000
gb|EEK14408.1|ARO:3003931|Cgin_gyrA_FLO	4335	2217	2118	84.7982	50	8.18e-29	103.0000
gb|AAG06556.1|ARO:3003684|Paer_gyrA_FLO	4166	2092	2074	90.2992	51	3.42e-32	112.0000
gb|CAA67349.1|ARO:3003359|Scin_EFTu_ELF	4163	2196	1967	88.9327	50	3.92e-30	105.0000
gb|BAE77086.1|ARO:3003316|Ecol_parE_FLO	3873	1950	1923	84.5295	50	1.83e-33	116.0000
gb|AGG29535.1|ARO:3003306|Mmor_gyrB_FLO	3860	1944	1916	87.1885	50	9.25e-30	105.0000
gb|ADK17136.1|ARO:3004563|Cdif_rpoB_RIF	3747	1881	1866	86.9455	50	4.11e-31	109.0000
gb|NP_215196.1|ARO:3003395|Mtub_rpsL_STR	3675	1913	1762	83.0321	50	1.03e-30	100.0000
gb|AAG03548.1|ARO:3003681|TriC	3533	1796	1737	86.0279	50	5.99e-29	103.0000
gb|ACJ41739.1|ARO:3000780|adeI	3504	1771	1733	86.0353	51	6.6e-29	102.0000
gb|AAC16242.1|ARO:3005069|rsmA	3469	1770	1699	87.2271	50	1.42e-28	93.6000
gb|AJY14066.1|ARO:3004860|Bdol_gyrA_FLO	3219	1653	1566	85.7699	51	1.34e-32	114.0000
gb|QFQ03949.1|ARO:3005051|LpsB	3156	1630	1526	86.5271	50	1.39e-30	106.0000
gb|BAD89844.2|ARO:3000753|abeM	3120	1580	1540	85.6931	50	3.21e-29	103.0000
gb|NP_217280.1|ARO:3004153|Mtub_thyA_PAS	2831	1416	1415	84.4610	50	3.46e-31	105.0000
gb|YP_177995.1|ARO:3004957|Mtub_clpC1_PZA	2645	1393	1252	82.5883	50	2.35e-29	104.0000
gb|CAG39573.1|ARO:3003735|Saur_fusA_FA	2552	1277	1275	83.5129	50	3.19e-29	104.0000
gb|ADZ12699.1|ARO:3005091|RanA	2544	1299	1245	84.7746	50	1.23e-30	104.0000
gb|AJF82049.1|ARO:3003573|LpxA	2521	1268	1253	85.5704	50	1.04e-29	102.0000
gb|ADZ12700.1|ARO:3005090|RanB	2514	1266	1248	87.1439	50	6.8e-29	99.8000
gb|AAG05915.1|ARO:3004074|MuxB	2513	1245	1268	84.4224	50	5e-25	92.4000
gb|CNT74515.1|ARO:3004859|Ngon_gyrB_ZOL	2416	1216	1200	85.5397	52	1.72e-29	105.0000
gb|AAL22694.1|ARO:3003307|Sser_gyrB_FLO	1947	1026	921	83.6431	50	3.64e-30	107.0000
gb|AHB92962.1|ARO:3003809|Abau_OprD_IPM	1927	1032	895	84.2660	51	2.16e-31	109.0000
gb|AAG07763.1|ARO:3003031|MexW	1825	920	905	87.2565	50	4.68e-27	98.2000
gb|AAG06942.1|ARO:3002985|arnA	1817	899	918	86.9829	51	5.45e-31	109.0000
gb|BAE06006.1|ARO:3003705|mexN	1816	961	855	83.9723	50	1.44e-25	94.0000
gb|AAV85982.1|ARO:3000535|macB	1812	918	894	82.7063	50	1.66e-24	90.9000
gb|CAG39568.1|ARO:3003285|Saur_rpoB_RIF	1635	801	834	87.1083	50	1.26e-29	105.0000
gb|ENU21024.1|ARO:3001751|OXA-296	1584	794	790	95.8464	50	2.21e-33	112.0000
gb|AAC75136.1|ARO:3000793|mdtB	1567	803	764	85.6151	51	7.82e-29	103.0000
gb|NP_216424.1|ARO:3003392|Mtub_katG_INH	1565	821	744	82.4367	50	3.63e-30	107.0000
gb|AAG08359.1|ARO:3003682|OpmH	1559	796	763	84.6991	51	1.75e-26	96.3000
gb|CAB11883.2|ARO:3007073|Bsub_rpoB_RIF	1507	733	774	87.8790	50	1.43e-30	108.0000
gb|AJF82051.1|ARO:3003575|LpxD	1424	731	693	86.8404	50	9.04e-30	103.0000
gb|AAL22048.1|ARO:3003939|Sent_parC_FLO	1408	678	730	90.0685	50	5.61e-31	109.0000
gb|AAC74370.1|ARO:3004045|Ecol_fabI_MULT	1312	671	641	82.9884	50	3.39e-31	105.0000
gb|AAL14440.1|ARO:3000775|adeB	1304	638	666	88.2355	51	2.66e-30	107.0000
gb|AAG05880.1|ARO:3000814|MexT	1243	651	592	86.4072	50	1.2e-27	98.2000
gb|AAG04568.1|ARO:3003895|Paer_PhoP_CST	1239	636	603	88.0525	50	3.39e-30	102.0000
gb|SIP52035.1|ARO:3004054|Paer_CpxR	1216	619	597	87.8485	50	3.02e-31	105.0000
gb|AAG05883.1|ARO:3000805|OprN	1197	630	567	83.6244	50	1.15e-25	94.0000
gb|AAC75089.1|ARO:3003577|ugd	1188	644	544	84.3258	50	4.7e-32	110.0000
gb|AAB39605.1|ARO:3003361|Pros_EFTu_GE2A	1168	600	568	82.8447	51	7.6e-30	104.0000
gb|WP_004025678.1|ARO:3003305|Uure_gyrB_FLO	1156	573	583	86.2121	50	2.75e-23	87.4000
gb|AAW90462.1|ARO:3003930|rpsJ	1144	591	553	85.2816	50	1.71e-32	104.0000
gb|ACJ41547.2|ARO:3004574|Abau_AbaQ	1081	526	555	86.6330	51	2.94e-31	108.0000
gb|AAC73564.1|ARO:3000216|acrB	1077	540	537	87.7275	51	4.66e-32	112.0000
