set	sample_id	contig_id	ORF_ID	Best_Hit_ARO	ARO	Cut_Off	Best_Identities	Percentage_Length_of_Reference_Sequence	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Antibiotic	matched_to_genomad	genomad_context	chromosome_score	plasmid_score	virus_score
annual_wastewater_2017_2025	2024_ERR17001293	k141_291890	k141_291890_1 # 29 # 1213 # -1 # ID=323_1;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.376	vanW gene in vanI cluster	3003724	Strict	35.76	105.63	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	vancomycin; teicoplanin	False	chromosome_like	1		
annual_wastewater_2017_2025	2024_ERR17001293	k141_584343	k141_584343_2 # 1770 # 2579 # 1 # ID=1348_2;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.415	vanY gene in vanB cluster	3002956	Strict	39.9	100.37	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	vancomycin	False	chromosome_like	1		
annual_wastewater_2017_2025	2024_ERR17001293	k141_850	k141_850_2 # 441 # 1223 # 1 # ID=1350_2;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.415	ANT(3'')-IIc	3004091	Strict	48.24	100.39	aminoglycoside antibiotic	antibiotic inactivation	ANT(3'')	spectinomycin; streptomycin	False	chromosome_like	1		
annual_wastewater_2017_2025	2024_ERR17001293	k141_146898	k141_146898_10 # 14307 # 15293 # -1 # ID=1423_10;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.573	vanH gene in vanO cluster	3002948	Strict	41.14	93.71	glycopeptide antibiotic	antibiotic target alteration	vanH; glycopeptide resistance gene cluster	vancomycin	False	chromosome_like	1		
annual_wastewater_2017_2025	2024_ERR17001293	k141_584488	k141_584488_3 # 2030 # 2854 # -1 # ID=1551_3;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.469	OXA-644	3005864	Strict	97.45	100.0	carbapenem; cephalosporin; penam	antibiotic inactivation	OXA beta-lactamase	cloxacillin; oxacillin; cefalotin	True	plasmid_like		0.8743	
annual_wastewater_2017_2025	2024_ERR17001293	k141_584708	k141_584708_3 # 2074 # 5175 # -1 # ID=1817_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.604	adeF	3000777	Strict	43.56	97.54	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline	False	chromosome_like	1		
annual_wastewater_2017_2025	2024_ERR17001293	k141_293474	k141_293474_1 # 272 # 1492 # 1 # ID=2819_1;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.565	tet(40)	3000567	Strict	99.01	100.0	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline	True	plasmid_like		0.9504	
annual_wastewater_2017_2025	2024_ERR17001293	k141_1023139	k141_1023139_18 # 19088 # 20560 # -1 # ID=3319_18;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.458	vanW gene in vanI cluster	3003724	Strict	33.33	131.37	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	vancomycin; teicoplanin	False	chromosome_like	1		
annual_wastewater_2017_2025	2024_ERR17001293	k141_1024199	k141_1024199_1 # 1 # 1923 # 1 # ID=4946_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.605	adeF	3000777	Strict	66.3	60.53	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline	False	chromosome_like	1		
annual_wastewater_2017_2025	2024_ERR17001293	k141_732221	k141_732221_2 # 812 # 1663 # 1 # ID=4947_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.478	vanY gene in vanB cluster	3002956	Strict	37.93	105.6	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	vancomycin	False	chromosome_like	1		
annual_wastewater_2017_2025	2024_ERR17001293	k141_1024292	k141_1024292_6 # 4549 # 5112 # 1 # ID=5097_6;partial=00;start_type=TTG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.530	vanY gene in vanF cluster	3002958	Strict	37.14	63.82	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	vancomycin	False	chromosome_like	1		
annual_wastewater_2017_2025	2024_ERR17001293	k141_295038	k141_295038_2 # 1200 # 3665 # 1 # ID=5516_2;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=14bp;gc_cont=0.483	vanT gene in vanG cluster	3002972	Strict	34.54	115.31	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	vancomycin	False	chromosome_like	1		
annual_wastewater_2017_2025	2024_ERR17001293	k141_441353	k141_441353_2 # 1194 # 2396 # -1 # ID=5929_2;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.636	vanT gene in vanG cluster	3002972	Strict	35.37	56.18	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	vancomycin	False	chromosome_like	1		
