ARO Term	ARO Accession	Reference Model Type	Reference DB	Alleles with Mapped Reads	Reference Allele(s) Identity to CARD Reference Protein (%)	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Average Percent Coverage	Average Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Number of Mapped Baits	Number of Mapped Baits with Reads	Average Number of reads per Bait	Number of reads per Bait Coefficient of Variation (%)	Number of reads mapping to baits and mapping to complete gene	Number of reads mapping to baits and mapping to complete gene (%)	Mate Pair Linkage (# reads)	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism	sample_id
OXA-212	3001711	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter johnsonii	306.0	0.0	306.0	100.0	825.0	190.5	0	0	0	0				825	OXA beta-lactamase; OXA-211-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation	ERR1713331
SHV-52	3001109	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	2.0	0.0	2.0	28.57	246.0	191.5	0	0	0	0				861	SHV beta-lactamase	cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713331
CblA-1	3002999	protein homolog model	CARD	1	100.0	no data	no data	mixed culture	6.0	0.0	6.0	55.44	494.0	143.0	0	0	0	0				891	CblA beta-lactamase	cephalosporin	antibiotic inactivation	ERR1713331
dfrF	3002867	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecalis	27.0	0.0	27.0	100.0	495.0	189.81	0	0	0	0				495	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement	ERR1713331
CARB-5	3002244	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter calcoaceticus	14.0	0.0	14.0	52.4	470.0	200.64	0	0	0	0				897	CARB beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713331
msrE	3003109	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	18765.0	0.0	18765.0	100.0	1476.0	196.04	0	0	0	0				1476	msr-type ABC-F protein	macrolide antibiotic; streptogramin antibiotic	antibiotic target protection	ERR1713331
OXA-45	3001794	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	3.0	0.0	3.0	33.33	265.0	173.0	0	0	0	0				795	OXA beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713331
AAC(3)-Ia	3002528	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	161.0	0.0	161.0	100.0	465.0	168.35	0	0	0	0				465	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation	ERR1713331
lnuA	3002835	protein homolog model	CARD	1	100.0	no data	no data	Staphylococcus haemolyticus	74.0	0.0	74.0	84.98	413.0	69.8	0	0	0	0				486	lincosamide nucleotidyltransferase (LNU)	lincosamide antibiotic	antibiotic inactivation	ERR1713331
mdtP	3003550	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	57.0	0.0	57.0	100.0	1467.0	194.56	0	0	0	0				1467	major facilitator superfamily (MFS) antibiotic efflux pump	nucleoside antibiotic; disinfecting agents and antiseptics	antibiotic efflux	ERR1713331
OXA-60	3001808	protein homolog model	CARD	1	100.0	no data	no data	Ralstonia pickettii	5.0	0.0	5.0	17.16	140.0	67.0	0	0	0	0				816	OXA beta-lactamase; OXA-60-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation	ERR1713331
FosA2	3002804	protein homolog model	CARD	1	100.0	no data	no data	Enterobacter cloacae	2.0	0.0	2.0	41.78	178.0	154.5	0	0	0	0				426	fosfomycin thiol transferase	phosphonic acid antibiotic	antibiotic inactivation	ERR1713331
AAC(6')-Ib	3002546	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	12.0	0.0	12.0	46.31	257.0	180.42	0	0	0	0				555	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	ERR1713331
gadX	3000508	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	27.0	0.0	27.0	100.0	825.0	175.26	0	0	0	0				825	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; penicillin beta-lactam	antibiotic efflux	ERR1713331
