seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
k141_171212	6907	No terminal repeats	NA	10	11	0.9835	NA	2	16.8655	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_584998	5129	No terminal repeats	NA	6	11	0.9835	NA	3	10.3097	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1014282	7787	No terminal repeats	NA	10	11	0.9835	NA	2	17.1828	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Zobellviridae
k141_462423	3612	No terminal repeats	NA	8	11	0.9835	NA	3	13.5094	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_862097	9618	No terminal repeats	NA	10	11	0.9833	NA	2	16.7912	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Schitoviridae
k141_232946	6109	No terminal repeats	NA	10	11	0.9833	NA	2	14.4601	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_200070	5280	No terminal repeats	NA	8	11	0.9833	NA	3	13.5700	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_503493	6286	No terminal repeats	NA	4	11	0.9833	NA	0	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Zobellviridae
k141_922244	3404	No terminal repeats	NA	5	11	0.9832	NA	0	8.5881	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_783514	4480	No terminal repeats	NA	6	11	0.9832	NA	2	9.6677	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_108925	5895	No terminal repeats	NA	8	11	0.9832	NA	1	9.8174	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_594555	7996	No terminal repeats	NA	8	11	0.9831	NA	3	13.2929	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Schitoviridae
k141_974749	9812	No terminal repeats	NA	9	11	0.9831	NA	2	15.0565	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Schitoviridae
k141_3731	13293	No terminal repeats	NA	17	11	0.9831	NA	5	24.9068	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_470187	5020	No terminal repeats	NA	8	11	0.9831	NA	3	12.0280	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_22770	7897	No terminal repeats	NA	7	11	0.9831	NA	5	10.6556	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_721749	3956	No terminal repeats	NA	8	11	0.9831	NA	5	11.6467	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_207220	6039	No terminal repeats	NA	7	11	0.9830	NA	2	9.8512	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_744391	1826	No terminal repeats	NA	5	11	0.9830	NA	1	8.4976	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_179717	11621	No terminal repeats	NA	12	11	0.9830	NA	2	17.1828	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
k141_478251	7287	No terminal repeats	NA	8	11	0.9830	NA	2	9.7052	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Chaseviridae
k141_930224	4012	No terminal repeats	NA	5	11	0.9830	NA	2	8.2929	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1101786	7087	No terminal repeats	NA	11	11	0.9830	NA	0	15.3784	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_246224	5939	No terminal repeats	NA	4	11	0.9829	NA	2	6.2502	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Stanwilliamsviridae
k141_577571	4865	No terminal repeats	NA	4	11	0.9829	NA	1	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_761826	7949	No terminal repeats	NA	13	11	0.9829	NA	3	17.6129	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_240050	8128	No terminal repeats	NA	13	11	0.9829	NA	5	15.3176	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1084385	11676	No terminal repeats	NA	15	11	0.9829	NA	7	23.2975	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_890431	3895	No terminal repeats	NA	5	15	0.9829	NA	1	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_736114	4226	No terminal repeats	NA	4	11	0.9829	NA	2	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_587254	4626	No terminal repeats	NA	6	11	0.9829	NA	3	8.5797	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_346434	3717	No terminal repeats	NA	5	11	0.9829	NA	0	6.5152	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_155089	9027	No terminal repeats	NA	8	11	0.9829	NA	3	13.2929	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Schitoviridae
k141_314130	16280	No terminal repeats	NA	28	11	0.9829	NA	2	33.3473	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_978328	6947	No terminal repeats	NA	8	11	0.9828	NA	3	10.0944	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1051340	8167	No terminal repeats	NA	6	11	0.9828	NA	3	8.5914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
k141_594742	1595	No terminal repeats	NA	4	11	0.9828	NA	1	6.6600	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_611962	4067	No terminal repeats	NA	3	11	0.9828	NA	0	5.1548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_790238	7340	No terminal repeats	NA	10	11	0.9828	NA	3	11.9566	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Autographiviridae
k141_18332	4678	No terminal repeats	NA	4	11	0.9828	NA	0	6.1224	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_942236	3835	No terminal repeats	NA	4	11	0.9828	NA	2	6.6247	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_310818	4511	No terminal repeats	NA	10	11	0.9828	NA	0	15.4645	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_183040	7833	No terminal repeats	NA	6	11	0.9828	NA	0	8.5914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Schitoviridae
k141_225409	3812	No terminal repeats	NA	4	11	0.9827	NA	0	6.6365	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
k141_983923	4793	No terminal repeats	NA	4	11	0.9827	NA	3	6.5684	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_136279	4811	No terminal repeats	NA	4	11	0.9827	NA	1	6.4198	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Schitoviridae
k141_329273	4264	No terminal repeats	NA	5	11	0.9827	NA	1	8.5914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
