seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
k141_619130	5115	No terminal repeats	NA	9	11	0.9837	NA	2	14.7757	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_858939	7562	No terminal repeats	NA	9	11	0.9836	NA	3	14.0707	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_556517	6082	No terminal repeats	NA	6	11	0.9835	NA	2	9.9630	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_352181	3930	No terminal repeats	NA	6	15	0.9834	NA	4	9.8916	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_446398	7075	No terminal repeats	NA	9	11	0.9834	NA	7	13.5632	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_721629	4227	No terminal repeats	NA	9	11	0.9834	NA	5	15.4645	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_541548	5513	No terminal repeats	NA	8	11	0.9834	NA	4	11.5567	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_761695	3676	No terminal repeats	NA	4	11	0.9833	NA	0	6.7454	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_462339	4938	No terminal repeats	NA	9	15	0.9833	NA	0	14.8451	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_244694	5164	No terminal repeats	NA	6	11	0.9832	NA	3	10.2985	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_841088	4637	No terminal repeats	NA	7	11	0.9832	NA	2	11.4503	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Straboviridae
k141_991384	2186	No terminal repeats	NA	4	11	0.9832	NA	3	6.8668	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_732216	4826	No terminal repeats	NA	6	11	0.9832	NA	2	10.2640	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_759590	18097	No terminal repeats	NA	22	11	0.9832	NA	4	32.6636	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Chaseviridae
k141_851911	6758	No terminal repeats	NA	8	11	0.9831	NA	3	10.2403	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_135650	7074	No terminal repeats	NA	16	11	0.9831	NA	0	24.0559	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_456704	5472	No terminal repeats	NA	8	11	0.9831	NA	4	11.5162	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_694351	6036	No terminal repeats	NA	5	11	0.9831	NA	0	8.5914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
k141_716824	2933	No terminal repeats	NA	7	11	0.9831	NA	1	10.3097	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_628142	2843	No terminal repeats	NA	5	11	0.9831	NA	1	8.3277	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Suoliviridae
k141_871000	5876	No terminal repeats	NA	3	11	0.9830	NA	2	5.1548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
k141_928546	6519	No terminal repeats	NA	7	11	0.9830	NA	0	10.1820	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_939161	4752	No terminal repeats	NA	8	11	0.9830	NA	0	13.3496	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_937939	5622	No terminal repeats	NA	5	11	0.9830	NA	2	8.3042	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_155102	7236	No terminal repeats	NA	9	11	0.9830	NA	2	9.5789	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_241305	4270	No terminal repeats	NA	5	11	0.9829	NA	1	7.8658	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
k141_512020	4138	No terminal repeats	NA	9	11	0.9829	NA	4	14.6596	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_809421	7886	No terminal repeats	NA	4	11	0.9829	NA	0	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
k141_929481	5566	No terminal repeats	NA	9	11	0.9829	NA	1	9.9173	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_213822	7687	No terminal repeats	NA	11	11	0.9829	NA	6	14.5663	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_590827	5533	No terminal repeats	NA	9	11	0.9829	NA	5	12.6062	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_298184	5297	No terminal repeats	NA	6	11	0.9829	NA	3	8.2615	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_295969	7058	No terminal repeats	NA	7	11	0.9828	NA	1	9.8429	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Schitoviridae
k141_567512	2811	No terminal repeats	NA	5	11	0.9828	NA	1	8.1953	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_442516	2741	No terminal repeats	NA	4	11	0.9828	NA	1	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_177079	4187	No terminal repeats	NA	4	11	0.9828	NA	2	6.4523	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_952433	5106	No terminal repeats	NA	8	11	0.9828	NA	1	9.8013	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_651341	3632	No terminal repeats	NA	5	11	0.9828	NA	1	8.4298	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_292023	5619	No terminal repeats	NA	6	11	0.9828	NA	3	8.2404	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1019824	10177	No terminal repeats	NA	16	11	0.9828	NA	6	23.4019	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_435395	1923	No terminal repeats	NA	5	11	0.9827	NA	3	8.5914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_147780	6135	No terminal repeats	NA	7	15	0.9827	NA	0	8.5914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_826318	5746	No terminal repeats	NA	8	11	0.9827	NA	3	12.0280	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_100623	5246	No terminal repeats	NA	9	11	0.9827	NA	2	13.0462	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_799847	4806	No terminal repeats	NA	11	11	0.9827	NA	0	17.1828	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_561249	10620	No terminal repeats	NA	11	11	0.9827	NA	4	13.1050	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_994413	8214	No terminal repeats	NA	6	11	0.9827	NA	1	10.3040	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_6328	18144	No terminal repeats	NA	16	11	0.9827	NA	3	19.4366	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Schitoviridae
k141_585835	16999	No terminal repeats	NA	12	11	0.9827	NA	2	15.1378	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_291254	2281	No terminal repeats	NA	4	11	0.9827	NA	1	6.6362	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_799055	5527	DTR	NA	7	11	0.9827	NA	2	10.3097	Viruses;Monodnaviria;Sangervirae;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae
k141_857397	7160	No terminal repeats	NA	13	11	0.9827	NA	6	15.1757	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_425190	7023	No terminal repeats	NA	7	11	0.9827	NA	2	11.4529	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_563602	1498	No terminal repeats	NA	5	11	0.9827	NA	1	8.2320	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_490487	4565	No terminal repeats	NA	5	11	0.9826	NA	1	7.5218	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_988332	7883	No terminal repeats	NA	10	11	0.9826	NA	4	15.2702	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_688452	2078	No terminal repeats	NA	3	11	0.9826	NA	1	5.1519	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_732569	4693	No terminal repeats	NA	5	11	0.9826	NA	0	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
k141_313028	4835	No terminal repeats	NA	5	11	0.9826	NA	2	7.9642	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_882485	4413	No terminal repeats	NA	9	11	0.9826	NA	6	14.1173	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_225577	3209	No terminal repeats	NA	5	11	0.9826	NA	2	7.7373	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_890079	7326	No terminal repeats	NA	9	11	0.9826	NA	3	13.7345	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_929128	5860	No terminal repeats	NA	9	11	0.9826	NA	0	10.9400	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_709974	4622	No terminal repeats	NA	8	11	0.9826	NA	4	12.6130	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_723483	1082	No terminal repeats	NA	3	15	0.9826	NA	1	5.1548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
k141_119090	12787	No terminal repeats	NA	5	11	0.9825	NA	0	6.1437	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Schitoviridae
k141_555273	8635	No terminal repeats	NA	8	11	0.9825	NA	3	12.5237	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_267929	5035	No terminal repeats	NA	6	11	0.9825	NA	3	8.3971	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_285655	16062	No terminal repeats	NA	16	11	0.9825	NA	6	23.7209	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_625562	2579	No terminal repeats	NA	4	11	0.9825	NA	0	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
