set	sample_id	contig_id	ORF_ID	Best_Hit_ARO	ARO	Cut_Off	Best_Identities	Percentage_Length_of_Reference_Sequence	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Antibiotic	matched_to_genomad	genomad_context	chromosome_score	plasmid_score	virus_score
annual_wastewater_2017_2025	2022_SRR28226418	k141_272571	k141_272571_1 # 148 # 1002 # -1 # ID=349_1;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.535	aadA11	3002611	Strict	99.64	101.07	aminoglycoside antibiotic	antibiotic inactivation	ANT(3'')	spectinomycin; streptomycin	False	chromosome_like	1		
annual_wastewater_2017_2025	2022_SRR28226418	k141_817643	k141_817643_1 # 440 # 1660 # -1 # ID=964_1;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.566	tet(40)	3000567	Strict	98.77	100.0	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline	False	chromosome_like	1		
annual_wastewater_2017_2025	2022_SRR28226418	k141_1362393	k141_1362393_2 # 377 # 1444 # -1 # ID=1434_2;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.581	vanT gene in vanG cluster	3002972	Strict	33.72	49.86	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	vancomycin	False	chromosome_like	1		
annual_wastewater_2017_2025	2022_SRR28226418	k141_1362775	k141_1362775_8 # 8599 # 11712 # -1 # ID=1922_8;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.316	adeF	3000777	Strict	41.21	97.92	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline	False	chromosome_like	1		
annual_wastewater_2017_2025	2022_SRR28226418	k141_818546	k141_818546_15 # 17231 # 18961 # 1 # ID=2024_15;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.670	vanW gene in vanI cluster	3003724	Strict	35.4	154.42	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	vancomycin; teicoplanin	False	chromosome_like	1		
annual_wastewater_2017_2025	2022_SRR28226418	k141_273721	k141_273721_7 # 3431 # 3832 # -1 # ID=2049_7;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.600	FosG	3007368	Strict	57.25	100.76	phosphonic acid antibiotic	antibiotic inactivation	fosfomycin thiol transferase	fosfomycin	False	chromosome_like	1		
annual_wastewater_2017_2025	2022_SRR28226418	k141_1910151	k141_1910151_7 # 8270 # 10642 # 1 # ID=5576_7;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.610	vanT gene in vanG cluster	3002972	Strict	38.07	110.96	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	vancomycin	False	chromosome_like	1		
annual_wastewater_2017_2025	2022_SRR28226418	k141_1365740	k141_1365740_8 # 3574 # 4665 # 1 # ID=5681_8;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.615	vanG	3002909	Strict	38.38	104.01	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; Van ligase	vancomycin	False	chromosome_like	1		
annual_wastewater_2017_2025	2022_SRR28226418	k141_821714	k141_821714_1 # 2 # 1492 # 1 # ID=6348_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.560	Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics	3004446	Strict	54.73	81.48	cephalosporin; cephamycin; penam	antibiotic target alteration	Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics	ceftriaxone; ampicillin; cefaclor; cefotaxime; cefditoren; cefdinir	False	chromosome_like	1		
annual_wastewater_2017_2025	2022_SRR28226418	k141_548493	k141_548493_21 # 14606 # 16390 # -1 # ID=6385_21;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.385	patB	3000025	Strict	67.68	101.02	fluoroquinolone antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	ciprofloxacin; norfloxacin	False	chromosome_like	1		
annual_wastewater_2017_2025	2022_SRR28226418	k141_276644	k141_276644_3 # 580 # 909 # 1 # ID=6539_3;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.555	qacJ	3007014	Strict	37.86	101.87	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride	False	chromosome_like	1		
annual_wastewater_2017_2025	2022_SRR28226418	k141_821940	k141_821940_4 # 1977 # 4619 # -1 # ID=6661_4;partial=00;start_type=ATG;rbs_motif=AAAAA;rbs_spacer=7bp;gc_cont=0.402	tet(Q)	3000191	Strict	31.06	133.94	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	tetracycline; doxycycline; minocycline; chlortetracycline; demeclocycline; oxytetracycline	False	chromosome_like	1		
annual_wastewater_2017_2025	2022_SRR28226418	k141_277261	k141_277261_1 # 120 # 1382 # -1 # ID=7411_1;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.346	vanY gene in vanB cluster	3002956	Strict	27.74	156.72	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	vancomycin	False	chromosome_like	1		
annual_wastewater_2017_2025	2022_SRR28226418	k141_5395	k141_5395_1 # 2 # 550 # -1 # ID=8356_1;partial=10;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.545	AAC(6')-Ib9	3002580	Strict	100.0	90.15	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')	amikacin; kanamycin A; tobramycin	False	chromosome_like	1		
annual_wastewater_2017_2025	2022_SRR28226418	k141_5395	k141_5395_2 # 633 # 1289 # -1 # ID=8356_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.381	QnrVC4	3002801	Perfect	100.0	100.0	fluoroquinolone antibiotic	antibiotic target protection	quinolone resistance protein (qnr)	ciprofloxacin; levofloxacin; moxifloxacin; gatifloxacin; nalidixic acid; norfloxacin; sparfloxacin	False	chromosome_like	1		
