set	sample_id	contig_id	ORF_ID	Best_Hit_ARO	ARO	Cut_Off	Best_Identities	Percentage_Length_of_Reference_Sequence	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Antibiotic	matched_to_genomad	genomad_context	chromosome_score	plasmid_score	virus_score
RM2016_batch03_global10	ERR1725938	k141_278444	k141_278444_2 # 41 # 883 # 1 # ID=1107_2;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=11bp;gc_cont=0.374	OXA-58	3001611	Perfect	100.0	100.0	carbapenem; cephalosporin; penam	antibiotic inactivation	OXA beta-lactamase	cloxacillin; oxacillin; cefalotin	False	chromosome_like	1		
RM2016_batch03_global10	ERR1725938	k141_280296	k141_280296_11 # 13153 # 13950 # -1 # ID=3621_11;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.477	vanY gene in vanB cluster	3002956	Strict	37.44	98.88	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	vancomycin	False	chromosome_like	1		
RM2016_batch03_global10	ERR1725938	k141_3033	k141_3033_5 # 4044 # 4781 # -1 # ID=4110_5;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.332	ErmB	3000375	Strict	97.96	98.79	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase	erythromycin; roxithromycin; lincomycin; telithromycin; clarithromycin; clindamycin; tylosin; spiramycin; azithromycin; dirithromycin; pristinamycin IA; quinupristin; virginiamycin M1; madumycin II; griseoviridin; dalfopristin; pristinamycin IB; virginiamycin S2; pristinamycin IC; vernamycin C; patricin A; patricin B; ostreogrycin B3; oleandomycin	True	plasmid_like		0.9777	
RM2016_batch03_global10	ERR1725938	k141_49651	k141_49651_1 # 1 # 2184 # 1 # ID=4594_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.337	vanT gene in vanG cluster	3002972	Strict	34.89	102.11	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	vancomycin	False	chromosome_like	1		
RM2016_batch03_global10	ERR1725938	k141_50646	k141_50646_1 # 1 # 405 # -1 # ID=5869_1;partial=10;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.323	vanW gene in vanB cluster	3002964	Strict	37.5	49.09	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	vancomycin	False	chromosome_like	1		
RM2016_batch03_global10	ERR1725938	k141_4743	k141_4743_5 # 3072 # 3437 # 1 # ID=6610_5;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.383	qacJ	3007014	Strict	44.34	113.08	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride	True	plasmid_like		0.8251	
RM2016_batch03_global10	ERR1725938	k141_97461	k141_97461_3 # 3094 # 3882 # 1 # ID=6616_3;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.444	aadA27	3004682	Perfect	100.0	100.0	aminoglycoside antibiotic	antibiotic inactivation	ANT(3'')	spectinomycin; streptomycin	True	plasmid_like		0.9948	
RM2016_batch03_global10	ERR1725938	k141_4981	k141_4981_5 # 2522 # 4441 # -1 # ID=6849_5;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.531	tet(W)	3000194	Perfect	100.0	100.0	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	tetracycline; doxycycline; minocycline; chlortetracycline; demeclocycline; oxytetracycline	True	plasmid_like		0.9928	
RM2016_batch03_global10	ERR1725938	k141_99265	k141_99265_1 # 1 # 1308 # 1 # ID=8959_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.409	tet(O)	3000190	Strict	49.88	68.08	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	tetracycline; doxycycline; minocycline; chlortetracycline; demeclocycline; oxytetracycline	False	chromosome_like	1		
RM2016_batch03_global10	ERR1725938	k141_193198	k141_193198_1 # 1 # 297 # 1 # ID=10436_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.559	qacJ	3007014	Strict	44.57	91.59	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride	False	chromosome_like	1		
RM2016_batch03_global10	ERR1725938	k141_8448	k141_8448_2 # 1094 # 1516 # 1 # ID=11286_2;partial=01;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.426	vanW gene in vanG cluster	3002965	Strict	33.09	50.18	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	vancomycin	False	chromosome_like	1		
RM2016_batch03_global10	ERR1725938	k141_240375	k141_240375_2 # 3102 # 3446 # 1 # ID=11746_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.394	qacG	3007015	Strict	50.0	106.54	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride	False	chromosome_like	1		
RM2016_batch03_global10	ERR1725938	k141_286793	k141_286793_3 # 3800 # 5212 # -1 # ID=11838_3;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.398	tet(Q)	3000191	Strict	97.02	71.54	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	tetracycline; doxycycline; minocycline; chlortetracycline; demeclocycline; oxytetracycline	False	chromosome_like	1		
RM2016_batch03_global10	ERR1725938	k141_195175	k141_195175_2 # 578 # 1033 # -1 # ID=12988_2;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.504	emrR	3000516	Strict	99.34	85.8	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	nalidixic acid	False	chromosome_like	1		
RM2016_batch03_global10	ERR1725938	k141_56130	k141_56130_26 # 24070 # 24813 # 1 # ID=13474_26;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.524	vanW gene in vanG cluster	3002965	Strict	33.58	87.9	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	vancomycin	False	chromosome_like	1		
RM2016_batch03_global10	ERR1725938	k141_288830	k141_288830_2 # 155 # 484 # 1 # ID=14288_2;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.394	qacJ	3007014	Strict	36.79	101.87	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride	False	chromosome_like	1		
RM2016_batch03_global10	ERR1725938	k141_289420	k141_289420_4 # 2738 # 3073 # 1 # ID=14988_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.577	qacG	3007015	Strict	42.31	103.74	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride	False	chromosome_like	1		
RM2016_batch03_global10	ERR1725938	k141_12356	k141_12356_1 # 89 # 1255 # 1 # ID=16353_1;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.373	tet(X)	3000205	Strict	99.48	100.0	glycylcycline; tetracycline antibiotic	antibiotic inactivation	tetracycline inactivation enzyme	tigecycline; tetracycline; doxycycline; minocycline; chlortetracycline; demeclocycline; oxytetracycline	False	chromosome_like	1		
RM2016_batch03_global10	ERR1725938	k141_336619	k141_336619_5 # 4466 # 4798 # 1 # ID=16643_5;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.438	qacJ	3007014	Strict	43.27	102.8	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride	False	chromosome_like	1		
