card_subject_id	total_read_hits	R1_read_hits	R2_read_hits	mean_percent_identity	maximum_alignment_length	minimum_evalue	maximum_bitscore
gb|AAA50993.1|ARO:3003368|Ecol_EFTu_KIR	3281	1621	1660	88.1075	85	4.5e-57	177.0000
gb|BAB38333.1|ARO:3003288|Ecol_rpoB_RIF	2465	1205	1260	89.3105	85	2.24e-54	177.0000
gb|AAD08242.1|ARO:3007051|Hpyl_rpoB_RIF	1828	925	903	85.2836	84	7.22e-51	167.0000
gb|ACB05808.1|ARO:3003109|msrE	1740	859	881	99.4680	83	1.45e-54	173.0000
gb|CAA79727.1|ARO:3000191|tet(Q)	1185	594	591	95.7262	83	4.3e-55	177.0000
gb|ABI20451.1|ARO:3003741|mphE	1063	536	527	99.7355	83	1.76e-58	178.0000
gb|AJP09758.1|ARO:3004681|Cdif_rpoC_VAN	1010	498	512	84.7302	84	1.63e-54	178.0000
gb|AFK57679.1|ARO:3003438|Efac_EFTu_GE2A	831	411	420	85.6717	84	6.94e-52	164.0000
gb|BAE77595.1|ARO:3003303|Ecol_gyrB_AMU	819	400	419	89.9381	84	1.74e-57	185.0000
gb|WP_011079201.1|ARO:3007794|Vvul_rpoB_RIF	812	417	395	87.3411	84	2.07e-51	169.0000
gb|AJY14066.1|ARO:3004860|Bdol_gyrA_FLO	729	353	376	86.2579	83	1.75e-52	172.0000
gb|AXU66539.1|ARO:3003357|Cdif_EFTu_ELF	619	314	305	88.4444	85	4.21e-55	172.0000
gb|AJF82744.1|ARO:3003817|Abau_gyrA_FLO	582	289	293	91.7256	84	4.98e-52	171.0000
gb|CAG39569.1|ARO:3003291|Saur_rpoC_DAP	568	268	300	83.7282	83	2.67e-53	174.0000
gb|CNT74515.1|ARO:3004859|Ngon_gyrB_ZOL	558	276	282	84.3461	83	2.98e-50	165.0000
gb|WP_000202252.1|ARO:3003818|Abau_parC_FLO	557	280	277	91.8767	83	9.62e-55	177.0000
gb|AAC75089.1|ARO:3003577|ugd	546	268	278	83.7048	83	1.36e-54	171.0000
gb|ADK17136.1|ARO:3004563|Cdif_rpoB_RIF	522	258	264	85.4579	86	4.38e-52	171.0000
gb|AAX14802.1|ARO:3000781|adeJ	516	254	262	88.1473	84	1.09e-51	170.0000
gb|AAC73564.1|ARO:3000216|acrB	470	236	234	89.9530	84	1.23e-52	172.0000
gb|BAE77086.1|ARO:3003316|Ecol_parE_FLO	454	234	220	88.9383	83	8.22e-56	179.0000
gb|NP_215182.1|ARO:3004994|Mtub_rpoC_RIF	399	189	210	84.9088	83	2.35e-52	172.0000
gb|CAG39573.1|ARO:3003735|Saur_fusA_FA	394	191	203	84.2135	83	2.95e-49	162.0000
gb|BAE77933.1|ARO:3000518|CRP	376	186	190	90.8965	83	1.43e-57	173.0000
gb|AAW90462.1|ARO:3003930|rpsJ	364	182	182	85.9673	83	4.61e-55	163.0000
gb|BAL43360.1|ARO:3003745|mef(C)	357	178	179	96.8711	83	7.01e-52	164.0000
gb|NP_215196.1|ARO:3003395|Mtub_rpsL_STR	347	178	169	82.6597	83	3.47e-52	156.0000
gb|AAG07064.1|ARO:3003693|MexK	340	168	172	85.3079	83	1.66e-47	158.0000
gb|AAC75136.1|ARO:3000793|mdtB	330	158	172	87.8461	83	4e-49	162.0000
gb|AAA88675.1|ARO:3000498|ErmF	327	157	170	97.8266	83	2.99e-56	171.0000
gb|CDJ72759.1|ARO:3003899|Ecol_PtsI_FOF	327	159	168	91.5526	83	4.11e-54	173.0000
gb|AIL15701.1|ARO:3003775|Ecol_murA_FOF	321	157	164	89.4402	83	7.51e-54	169.0000
gb|AGG29535.1|ARO:3003306|Mmor_gyrB_FLO	307	144	163	88.1160	83	6.25e-51	167.0000
gb|AAL22694.1|ARO:3003307|Sser_gyrB_FLO	304	150	154	86.9072	84	5.17e-53	173.0000
gb|AJF83452.1|ARO:3003574|LpxC	304	150	154	90.2569	83	2.45e-54	167.0000
gb|BAL43359.1|ARO:3003742|mphG	288	147	141	96.4344	83	6.75e-61	184.0000
gb|BAA16344.1|ARO:3000491|acrD	283	133	150	91.5014	83	2.91e-54	177.0000
gb|AAC16242.1|ARO:3005069|rsmA	281	144	137	89.1580	61	2.28e-36	114.0000
gb|CDJ73082.1|ARO:3003900|Ecol_cyaA_FOF	273	139	134	94.0443	84	2.98e-56	182.0000
gb|AAL73129.1|ARO:3000616|mel	271	137	134	92.8753	83	2.64e-51	162.0000
gb|ADZ12699.1|ARO:3005091|RanA	263	133	130	86.1099	83	1.32e-50	157.0000
gb|WP_082741435.1|ARO:3004569|ICR-Mo	263	128	135	97.3061	83	1e-57	182.0000
gb|AAW66497.1|ARO:3000566|tet(39)	254	127	127	99.6236	83	1.82e-56	176.0000
gb|CAL35145.1|ARO:3003789|Cjej_gyrA_FLO	252	127	125	83.9373	83	4.66e-46	154.0000
gb|ADZ12700.1|ARO:3005090|RanB	250	126	124	85.0920	83	1.86e-49	154.0000
gb|CAA67349.1|ARO:3003359|Scin_EFTu_ELF	250	127	123	88.7200	83	2.65e-51	162.0000
gb|AAZ42322.1|ARO:3005098|qacL	245	120	125	94.1265	83	4.71e-54	160.0000
gb|AAC75291.1|ARO:3003294|Ecol_gyrA_FLO	243	115	128	91.3095	83	1.95e-53	174.0000
gb|EEK14408.1|ARO:3003931|Cgin_gyrA_FLO	234	121	113	84.6179	83	1.92e-47	157.0000
gb|AAX14803.1|ARO:3000782|adeK	232	122	110	86.2970	85	2.63e-48	156.0000
gb|AKN19287.1|ARO:3002578|AAC(6')-Ib7	227	113	114	97.0194	83	1.13e-57	175.0000
gb|AAC74177.1|ARO:3004049|Ecol_fabG_TRC	225	121	104	87.0276	83	3.41e-53	163.0000
gb|AAC75137.1|ARO:3000794|mdtC	223	114	109	91.3857	83	2.42e-50	166.0000
gb|AAW89918.1|ARO:3003929|Ngon_parC_FLO	217	111	106	86.9751	83	7.57e-52	169.0000
gb|AAG06556.1|ARO:3003684|Paer_gyrA_FLO	216	109	107	88.0023	87	1.07e-52	172.0000
gb|WP_001182024.1|ARO:3007053|Hpyl_gyrB_FLO	216	104	112	83.2139	83	2.91e-43	145.0000
gb|AAG08352.1|ARO:3003685|Paer_parE_FLO	213	102	111	85.6131	83	6.15e-53	171.0000
gb|CDJ73208.1|ARO:3003890|Ecol_UhpT_FOF	210	103	107	92.3924	83	1.83e-53	169.0000
gb|AAD23513.1|ARO:3003002|CfxA2	208	101	107	97.3120	84	6.63e-56	172.0000
gb|AAN82549.1|ARO:3003369|Ecol_EFTu_PLV	203	101	102	87.8300	83	1.2e-53	169.0000
gb|CAB11883.2|ARO:3007073|Bsub_rpoB_RIF	202	102	100	84.7208	85	4.6e-50	165.0000
gb|ACT97371.1|ARO:3003097|CfxA6	197	102	95	97.8310	83	1.37e-54	169.0000
gb|WP_001153763.1|ARO:3007052|Hpyl_gyrA_FLO	191	93	98	85.1487	83	1.71e-46	155.0000
gb|BAA37152.1|ARO:3003702|Paer_ParC_FLO	185	90	95	87.4508	83	3.96e-54	176.0000
gb|AAG05915.1|ARO:3004074|MuxB	184	88	96	83.7179	83	5.68e-42	142.0000
gb|AAL22055.1|ARO:3003317|Sser_parE_FLO	182	93	89	87.3170	83	1.68e-52	170.0000
gb|BAD89844.2|ARO:3000753|abeM	176	89	87	86.0659	83	9.43e-50	159.0000
gb|AAL21173.1|ARO:3003926|Sent_gyrA_FLO	171	88	83	91.2556	83	5.1e-53	173.0000
gb|AAA27471.1|ARO:3000205|tet(X)	169	86	83	99.1467	83	3.51e-58	180.0000
gb|AAF74725.1|ARO:3004659|Mef(En2)	167	82	85	99.2892	83	2.95e-56	175.0000
gb|BAB38260.1|ARO:3000830|cpxA	166	85	81	95.1681	83	1.27e-56	177.0000
gb|AAC76055.1|ARO:3003308|Ecol_parC_FLO	164	74	90	93.1280	83	3.9e-54	176.0000
gb|AAC76298.1|ARO:3000502|AcrF	162	82	80	89.7506	84	1.22e-52	172.0000
gb|AAA27459.1|ARO:3004683|aadS	157	81	76	97.5943	83	1.57e-60	183.0000
