set	sample_id	contig_id	ORF_ID	Best_Hit_ARO	ARO	Cut_Off	Best_Identities	Percentage_Length_of_Reference_Sequence	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Antibiotic	matched_to_genomad	genomad_context	chromosome_score	plasmid_score	virus_score
batch02	ERR1713337	k141_89400	k141_89400_4 # 2214 # 2549 # 1 # ID=51_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.571	qacG	3007015	Strict	42.31	103.74	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride	yes	plasmid_like	0.3119	0.6376	0.0504
batch02	ERR1713337	k141_536291	k141_536291_5 # 2433 # 3542 # 1 # ID=71_5;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.611	vanT gene in vanG cluster	3002972	Strict	35.23	51.83	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	vancomycin	yes	chromosome_like	0.9541	0.0331	0.0128
batch02	ERR1713337	k141_447586	k141_447586_4 # 1591 # 2382 # -1 # ID=990_4;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=6bp;gc_cont=0.388	vanY gene in vanG cluster	3002959	Strict	32.12	94.27	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	vancomycin	yes	virus_like	0.3206	0.2068	0.4726
batch02	ERR1713337	k141_626863	k141_626863_2 # 148 # 927 # 1 # ID=1766_2;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.519	aadA2	3002602	Perfect	100.0	100.00	aminoglycoside antibiotic	antibiotic inactivation	ANT(3'')	spectinomycin; streptomycin	yes	plasmid_like	0.0380	0.9328	0.0292
batch02	ERR1713337	k141_626863	k141_626863_5 # 1929 # 2420 # -1 # ID=1766_5;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.504	nimA	3007104	Strict	53.09	92.61	nitroimidazole antibiotic	antibiotic inactivation	nitroimidazole reductase	metronidazole	yes	plasmid_like	0.0380	0.9328	0.0292
batch02	ERR1713337	k141_626863	k141_626863_8 # 4440 # 4772 # 1 # ID=1766_8;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.471	qacG	3007015	Strict	41.9	102.80	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride	yes	plasmid_like	0.0380	0.9328	0.0292
batch02	ERR1713337	k141_179983	k141_179983_1 # 259 # 1089 # -1 # ID=1900_1;partial=00;start_type=ATG;rbs_motif=ATA;rbs_spacer=6bp;gc_cont=0.339	OXA-392	3001578	Perfect	100.0	100.00	carbapenem; cephalosporin; penam	antibiotic inactivation	OXA beta-lactamase	cloxacillin; oxacillin; cefalotin	yes	plasmid_like	0.0823	0.8800	0.0377
batch02	ERR1713337	k141_180000	k141_180000_2 # 159 # 632 # 1 # ID=1974_2;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.405	dfrA15b	3004640	Strict	99.36	100.00	diaminopyrimidine antibiotic	antibiotic target replacement	trimethoprim resistant dihydrofolate reductase dfr	trimethoprim	yes	plasmid_like	0.2756	0.5748	0.1496
batch02	ERR1713337	k141_180000	k141_180000_3 # 931 # 2190 # 1 # ID=1974_3;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.557	cmlA4	3002694	Strict	99.52	100.00	phenicol antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	chloramphenicol	yes	plasmid_like	0.2756	0.5748	0.1496
batch02	ERR1713337	k141_627653	k141_627653_2 # 606 # 1070 # -1 # ID=3072_2;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.671	vanY gene in vanM cluster	3002961	Strict	42.86	66.09	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	vancomycin; teicoplanin	yes	plasmid_like	0.3181	0.4767	0.2052
