seq_name	chromosome_score	plasmid_score	virus_score
k141_634389	0.9474	0.0376	0.0149
k141_8	0.1466	0.4652	0.3882
k141_317204	0.0244	0.2520	0.7236
k141_528667	0.1742	0.7681	0.0577
k141_422937	0.7811	0.1707	0.0482
k141_10	0.2310	0.2760	0.4930
k141_634393	0.4990	0.3957	0.1052
k141_528670	0.7597	0.2076	0.0328
k141_211472	0.5131	0.2861	0.2008
k141_422942	0.6840	0.2077	0.1083
k141_528671	0.4474	0.3036	0.2490
k141_740133	0.3484	0.1613	0.4902
k141_528672	0.1334	0.4678	0.3988
k141_422946	0.6776	0.1828	0.1396
k141_740136	0.5726	0.2898	0.1376
k141_634402	0.4977	0.3390	0.1634
k141_20	0.9736	0.0186	0.0078
k141_740138	0.1358	0.0851	0.7791
k141_21	0.0171	0.0202	0.9627
k141_634405	0.0290	0.0542	0.9168
k141_528679	0.9331	0.0492	0.0177
k141_317234	0.3477	0.3485	0.3038
k141_24	0.4138	0.5042	0.0820
k141_317235	0.4925	0.2849	0.2226
k141_634409	0.2582	0.5013	0.2405
k141_317236	0.7088	0.2273	0.0638
k141_317237	0.5154	0.2759	0.2087
k141_528690	0.0485	0.8861	0.0654
k141_105756	0.2724	0.3480	0.3796
k141_28	0.7725	0.1588	0.0687
k141_211482	0.9335	0.0525	0.0140
k141_740152	0.6389	0.1974	0.1637
k141_422962	0.9322	0.0488	0.0190
k141_211484	0.5872	0.3114	0.1014
k141_422968	0.2316	0.4854	0.2830
k141_634426	0.4384	0.3454	0.2163
k141_38	0.4002	0.1914	0.4084
k141_634429	0.5306	0.4290	0.0404
k141_211485	0.6307	0.2221	0.1472
k141_528703	0.2240	0.5316	0.2444
k141_422970	0.2275	0.2978	0.4747
k141_44	0.0936	0.4275	0.4788
k141_740163	0.7966	0.1276	0.0758
k141_317258	0.3376	0.4628	0.1996
k141_634431	0.4725	0.2859	0.2416
k141_528709	0.1446	0.2147	0.6408
k141_48	0.8585	0.0787	0.0628
k141_211490	0.8530	0.1101	0.0369
k141_317260	0.3631	0.4275	0.2093
k141_422975	0.7898	0.1410	0.0692
k141_317262	0.5588	0.2327	0.2084
k141_740177	0.0882	0.1251	0.7867
k141_317264	0.5511	0.2743	0.1746
k141_105772	0.1894	0.1404	0.6702
k141_211496	0.8572	0.1075	0.0353
k141_634444	0.7001	0.2327	0.0672
k141_56	0.8056	0.1555	0.0389
k141_57	0.5718	0.2579	0.1703
k141_422990	0.8023	0.0870	0.1107
k141_211503	0.1344	0.1474	0.7182
k141_317268	0.3452	0.5377	0.1171
k141_317272	0.0803	0.8203	0.0994
k141_66	0.2556	0.1336	0.6108
k141_634459	0.7372	0.2337	0.0291
k141_423000	0.0082	0.9850	0.0068
k141_740201	0.7971	0.1634	0.0395
k141_68	0.1275	0.3000	0.5725
k141_317282	0.1532	0.4755	0.3712
k141_70	0.3750	0.5070	0.1180
k141_423005	0.5962	0.2569	0.1470
k141_317287	0.4347	0.4420	0.1234
k141_73	0.5903	0.2847	0.1251
k141_528733	0.5337	0.3991	0.0672
k141_317295	0.7142	0.1296	0.1562
k141_740219	0.1877	0.5900	0.2223
k141_528739	0.3349	0.5922	0.0729
k141_423015	0.2093	0.5906	0.2001
k141_634485	0.9347	0.0484	0.0170
k141_211521	0.2872	0.5830	0.1298
k141_740223	0.8822	0.0803	0.0374
k141_88	0.2862	0.2740	0.4398
k141_634489	0.7424	0.1076	0.1500
k141_423022	0.2092	0.5022	0.2886
k141_740224	0.1530	0.1188	0.7281
k141_91	0.3428	0.4513	0.2059
k141_528753	0.8818	0.0844	0.0337
k141_105811	0.9181	0.0622	0.0197
k141_211529	0.3156	0.4563	0.2281
k141_317319	0.7633	0.1412	0.0955
k141_740234	0.0097	0.9807	0.0096
k141_634495	0.5891	0.1670	0.2439
k141_100	0.1244	0.1016	0.7740
k141_740242	0.9013	0.0558	0.0429
k141_528758	0.4702	0.4523	0.0775
k141_423040	0.8814	0.0835	0.0351
k141_317332	0.3643	0.3904	0.2452
