seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k141_921220	2809	No terminal repeats	2	11	0.9962	NA	2	2.9571	MOBP1	NA
k141_46745	2405	No terminal repeats	2	11	0.9961	NA	1	2.7441	NA	NA
k141_325727	2583	No terminal repeats	2	11	0.9961	NA	0	2.6532	NA	NA
k141_954094	1724	No terminal repeats	3	11	0.9961	NA	2	3.9363	NA	NA
k141_1008659	1635	No terminal repeats	1	11	0.9960	NA	1	1.7183	MOBV	NA
k141_1062753	5227	DTR	6	11	0.9960	NA	2	6.1172	NA	NA
k141_284212	1402	No terminal repeats	1	11	0.9959	NA	1	1.7183	MOBV	NA
k141_748090	1569	No terminal repeats	1	11	0.9959	NA	1	1.7183	MOBV	NA
k141_992164	1476	No terminal repeats	1	11	0.9959	NA	1	1.7183	NA	NA
k141_651952	1029	No terminal repeats	2	11	0.9958	NA	2	3.2261	MOBQ	NA
k141_531129	1412	No terminal repeats	1	11	0.9958	NA	1	1.7183	NA	NA
k141_161918	1651	No terminal repeats	1	11	0.9958	NA	1	1.7183	NA	NA
k141_496879	2264	No terminal repeats	2	11	0.9957	NA	2	2.6407	NA	NA
k141_497235	1247	No terminal repeats	2	11	0.9957	NA	2	3.2077	MOBQ	NA
k141_173197	2964	No terminal repeats	4	11	0.9957	NA	0	5.1038	NA	NA
k141_221760	3966	No terminal repeats	5	11	0.9957	NA	0	8.4784	NA	NA
k141_300372	1764	No terminal repeats	3	11	0.9956	NA	1	4.1134	NA	NA
k141_635276	3432	No terminal repeats	4	11	0.9955	NA	3	3.8496	MOBQ	NA
k141_647897	1736	No terminal repeats	1	11	0.9955	NA	1	1.7183	NA	NA
k141_35920	1904	No terminal repeats	4	11	0.9954	NA	1	4.9260	MOBQ	NA
k141_371127	1857	No terminal repeats	4	11	0.9954	NA	1	4.0574	NA	NA
k141_1051057	1638	No terminal repeats	2	11	0.9954	NA	2	2.9963	MOBP1	NA
k141_250052	1239	No terminal repeats	2	11	0.9954	NA	2	3.2077	MOBQ	NA
k141_951144	1922	No terminal repeats	5	11	0.9953	NA	1	6.4809	NA	NA
k141_97954	1151	No terminal repeats	2	11	0.9953	NA	2	3.3988	MOBP1	NA
k141_447220	4307	DTR	5	11	0.9953	NA	2	3.8708	NA	NA
k141_89383	1680	No terminal repeats	2	11	0.9953	NA	2	3.4199	MOBP1	NA
k141_494912	2902	No terminal repeats	6	11	0.9951	NA	1	5.9704	NA	NA
k141_74808	1910	No terminal repeats	3	11	0.9951	NA	2	2.9571	MOBP1	NA
k141_733986	2914	No terminal repeats	5	11	0.9951	NA	1	3.2265	NA	NA
k141_248937	1268	No terminal repeats	2	11	0.9951	NA	2	3.4366	MOBP1	NA
k141_355472	1420	No terminal repeats	2	11	0.9950	NA	2	2.9394	MOBQ	NA
k141_864218	3323	No terminal repeats	7	4	0.9949	NA	0	6.2932	NA	NA
k141_932751	3646	No terminal repeats	6	11	0.9949	NA	1	5.8906	NA	NA
k141_694052	3066	No terminal repeats	3	11	0.9949	NA	1	3.4366	NA	NA
k141_129589	1306	No terminal repeats	2	11	0.9948	NA	1	3.2077	MOBQ	NA
k141_97526	4616	No terminal repeats	7	11	0.9948	NA	1	4.9180	NA	NA
k141_495735	1207	No terminal repeats	2	11	0.9947	NA	1	2.7441	NA	NA
k141_306929	1097	No terminal repeats	2	11	0.9947	NA	1	2.3745	NA	NA
k141_239392	1437	No terminal repeats	2	11	0.9947	NA	1	3.2077	MOBQ	NA
k141_987092	1419	No terminal repeats	2	11	0.9946	NA	1	2.0958	NA	NA
k141_860726	1117	No terminal repeats	3	11	0.9946	NA	1	3.4366	NA	NA
k141_734960	3465	No terminal repeats	6	11	0.9946	NA	1	4.0107	NA	NA
k141_156614	2051	No terminal repeats	3	11	0.9946	NA	2	3.4366	MOBP1	NA
k141_109021	1138	No terminal repeats	2	11	0.9945	NA	1	3.1729	NA	NA
k141_48653	4842	No terminal repeats	6	11	0.9945	NA	1	4.4901	MOBV	NA
k141_846008	2941	No terminal repeats	6	11	0.9945	NA	1	3.8628	NA	NA
k141_427902	3145	No terminal repeats	5	11	0.9945	NA	0	6.8731	NA	NA
k141_154024	2652	No terminal repeats	3	11	0.9945	NA	0	3.9663	NA	NA
k141_583688	1625	No terminal repeats	4	11	0.9945	NA	2	4.9444	MOBQ	NA
k141_860436	1402	No terminal repeats	2	11	0.9945	NA	1	1.7761	MOBQ	NA
k141_1092021	13847	No terminal repeats	17	11	0.9944	NA	5	11.2800	T_virB5;virb4;T_virB3;T_virB2;T_virB11;t4cp2	NA
k141_496684	3088	No terminal repeats	6	11	0.9944	NA	0	4.3346	NA	NA
k141_522939	1904	No terminal repeats	3	11	0.9944	NA	1	3.4366	MOBV	NA
k141_875693	7561	No terminal repeats	9	11	0.9944	NA	1	2.7967	NA	NA
k141_529057	1485	No terminal repeats	3	11	0.9944	NA	2	3.3749	MOBQ	NA
k141_834552	4356	No terminal repeats	7	11	0.9944	NA	0	6.8731	NA	NA
k141_301017	6515	DTR	10	11	0.9943	NA	2	3.9774	MOBV	NA
k141_792909	5683	No terminal repeats	4	11	0.9943	NA	0	5.5684	NA	NA
k141_490368	3100	No terminal repeats	4	11	0.9942	NA	2	3.4366	MOBP1	NA
k141_620647	3701	No terminal repeats	6	11	0.9942	NA	0	4.1509	NA	NA
k141_179971	5734	No terminal repeats	7	11	0.9941	NA	1	4.2323	NA	NA
k141_1013828	4473	No terminal repeats	8	11	0.9941	NA	2	4.0760	MOBQ	NA
k141_643502	7138	No terminal repeats	11	11	0.9941	NA	2	3.0152	MOBQ	NA
k141_710413	2944	No terminal repeats	5	11	0.9940	NA	1	3.4366	NA	NA
k141_1029651	4733	No terminal repeats	6	11	0.9940	NA	1	4.0418	NA	NA
k141_1114217	3778	DTR	4	11	0.9940	NA	1	3.4366	NA	NA
k141_938913	1793	No terminal repeats	2	11	0.9940	NA	1	3.4006	MOBQ	NA
k141_13454	4402	DTR	6	11	0.9939	NA	1	2.3067	NA	NA
k141_859430	5020	No terminal repeats	6	11	0.9939	NA	2	2.2591	MOBV	NA
k141_928642	1201	No terminal repeats	2	11	0.9939	NA	2	3.4366	MOBP1	NA
k141_69399	2542	No terminal repeats	4	11	0.9939	NA	0	3.4366	NA	NA
k141_178625	1986	No terminal repeats	2	11	0.9939	NA	1	1.7183	NA	NA
k141_42151	3067	No terminal repeats	2	11	0.9939	NA	1	1.7183	MOBV	NA
k141_79575	1669	No terminal repeats	3	11	0.9939	NA	1	3.4366	NA	NA
k141_108145	1693	No terminal repeats	2	11	0.9938	NA	1	1.7183	MOBV	NA
k141_1053109	1583	No terminal repeats	3	11	0.9938	NA	1	3.9143	NA	NA
k141_846936	4399	No terminal repeats	4	11	0.9937	NA	1	3.4270	FATA_trsD;FATA_trsC	NA
k141_732852	6568	No terminal repeats	10	11	0.9937	NA	0	6.5143	NA	NA
k141_183563	2009	No terminal repeats	2	11	0.9937	NA	1	2.9406	MOBQ	NA
