set	sample_id	contig_id	ORF_ID	Best_Hit_ARO	ARO	Cut_Off	Best_Identities	Percentage_Length_of_Reference_Sequence	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Antibiotic	matched_to_genomad	genomad_context	chromosome_score	plasmid_score	virus_score
RM2016_batch04B_newcountries12	ERR1726006	k141_179091	k141_179091_2 # 679 # 1044 # 1 # ID=463_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.385	qacJ	3007014	Strict	44.34	113.08	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride	True	plasmid_like		0.8036	
RM2016_batch04B_newcountries12	ERR1726006	k141_26576	k141_26576_3 # 2080 # 2424 # -1 # ID=1656_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.403	qacG	3007015	Strict	45.19	106.54	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride	True	plasmid_like		0.7184	
RM2016_batch04B_newcountries12	ERR1726006	k141_154598	k141_154598_1 # 57 # 1841 # 1 # ID=2077_1;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.385	patB	3000025	Strict	67.68	101.02	fluoroquinolone antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	ciprofloxacin; norfloxacin	False	chromosome_like	1		
RM2016_batch04B_newcountries12	ERR1726006	k141_27512	k141_27512_1 # 424 # 1617 # 1 # ID=2960_1;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.350	mefJ	3007049	Strict	99.24	100.0	macrolide antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump		False	chromosome_like	1		
RM2016_batch04B_newcountries12	ERR1726006	k141_79343	k141_79343_3 # 1854 # 2189 # -1 # ID=3987_3;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.574	qacG	3007015	Strict	42.31	103.74	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride	False	chromosome_like	1		
RM2016_batch04B_newcountries12	ERR1726006	k141_28784	k141_28784_1 # 88 # 1941 # -1 # ID=4771_1;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.365	vanT gene in vanG cluster	3002972	Strict	35.15	86.66	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	vancomycin	False	chromosome_like	1		
RM2016_batch04B_newcountries12	ERR1726006	k141_156462	k141_156462_16 # 17607 # 18389 # -1 # ID=4987_16;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=14bp;gc_cont=0.336	APH(3')-IXa	3004087	Strict	56.54	97.74	aminoglycoside antibiotic	antibiotic inactivation	APH(3')	amikacin; kanamycin A	False	chromosome_like	1		
RM2016_batch04B_newcountries12	ERR1726006	k141_54952	k141_54952_2 # 1041 # 1733 # -1 # ID=5848_2;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=7bp;gc_cont=0.307	vanW gene in vanG cluster	3002965	Strict	36.08	81.85	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	vancomycin	False	chromosome_like	1		
RM2016_batch04B_newcountries12	ERR1726006	k141_183784	k141_183784_2 # 684 # 1028 # 1 # ID=7378_2;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.406	qacG	3007015	Strict	45.19	106.54	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride	False	chromosome_like	1		
RM2016_batch04B_newcountries12	ERR1726006	k141_184252	k141_184252_2 # 577 # 1461 # -1 # ID=8149_2;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=12bp;gc_cont=0.365	mphE	3003741	Perfect	100.0	100.0	macrolide antibiotic	antibiotic inactivation	macrolide phosphotransferase (MPH)	erythromycin	False	chromosome_like	1		
