set	sample_id	contig_id	ORF_ID	Best_Hit_ARO	ARO	Cut_Off	Best_Identities	Percentage_Length_of_Reference_Sequence	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Antibiotic	matched_to_genomad	genomad_context	chromosome_score	plasmid_score	virus_score
RM2016_USA_crossstudy_additional8	ERR1713398	k141_463621	k141_463621_1 # 3 # 1271 # 1 # ID=1932_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.314	tet(44)	3000556	Strict	98.58	65.94	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	tetracycline; doxycycline; minocycline; chlortetracycline; demeclocycline; oxytetracycline	False	chromosome_like	1		
RM2016_USA_crossstudy_additional8	ERR1713398	k141_463621	k141_463621_2 # 1586 # 2443 # 1 # ID=1932_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.277	ANT(6)-Ib	3002629	Perfect	100.0	100.0	aminoglycoside antibiotic	antibiotic inactivation	ANT(6)	streptomycin	False	chromosome_like	1		
RM2016_USA_crossstudy_additional8	ERR1713398	k141_232633	k141_232633_1 # 12 # 1178 # 1 # ID=2103_1;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.374	tet(X)	3000205	Strict	99.74	100.0	glycylcycline; tetracycline antibiotic	antibiotic inactivation	tetracycline inactivation enzyme	tigecycline; tetracycline; doxycycline; minocycline; chlortetracycline; demeclocycline; oxytetracycline	False	chromosome_like	1		
RM2016_USA_crossstudy_additional8	ERR1713398	k141_386624	k141_386624_9 # 9174 # 10973 # 1 # ID=2109_9;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.424	vanW gene in vanI cluster	3003724	Strict	33.33	160.59	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	vancomycin; teicoplanin	False	chromosome_like	1		
RM2016_USA_crossstudy_additional8	ERR1713398	k141_541091	k141_541091_5 # 4021 # 5121 # -1 # ID=2405_5;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.642	vanG	3002909	Strict	38.29	104.87	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; Van ligase	vancomycin	False	chromosome_like	1		
RM2016_USA_crossstudy_additional8	ERR1713398	k141_387111	k141_387111_3 # 888 # 1718 # -1 # ID=2804_3;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.625	vanY gene in vanB cluster	3002956	Strict	30.92	102.99	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	vancomycin	False	chromosome_like	1		
RM2016_USA_crossstudy_additional8	ERR1713398	k141_79344	k141_79344_2 # 238 # 1299 # 1 # ID=2997_2;partial=01;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.588	vanT gene in vanG cluster	3002972	Strict	37.22	49.72	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	vancomycin	False	chromosome_like	1		
RM2016_USA_crossstudy_additional8	ERR1713398	k141_156155	k141_156155_1 # 273 # 605 # -1 # ID=3179_1;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.459	qacE	3005009	Strict	98.18	100.0	disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump		False	chromosome_like	1		
RM2016_USA_crossstudy_additional8	ERR1713398	k141_233812	k141_233812_2 # 759 # 1493 # -1 # ID=3822_2;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=12bp;gc_cont=0.261	ErmG	3000522	Strict	99.18	100.0	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase	erythromycin; roxithromycin; lincomycin; telithromycin; clarithromycin; clindamycin; tylosin; spiramycin; azithromycin; dirithromycin; pristinamycin IA; quinupristin; virginiamycin M1; madumycin II; griseoviridin; dalfopristin; pristinamycin IB; virginiamycin S2; pristinamycin IC; vernamycin C; patricin A; patricin B; ostreogrycin B3; oleandomycin	False	chromosome_like	1		
RM2016_USA_crossstudy_additional8	ERR1713398	k141_80362	k141_80362_1 # 137 # 2359 # 1 # ID=4403_1;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.641	vanW gene in vanI cluster	3003724	Strict	30.6	198.39	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	vancomycin; teicoplanin	False	chromosome_like	1		
RM2016_USA_crossstudy_additional8	ERR1713398	k141_80383	k141_80383_1 # 2 # 2419 # 1 # ID=4432_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.633	vanW gene in vanI cluster	3003724	Strict	29.74	215.82	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	vancomycin; teicoplanin	False	chromosome_like	1		
RM2016_USA_crossstudy_additional8	ERR1713398	k141_81150	k141_81150_1 # 3 # 1361 # -1 # ID=5577_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.614	vanT gene in vanG cluster	3002972	Strict	46.02	63.62	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	vancomycin	False	chromosome_like	1		
RM2016_USA_crossstudy_additional8	ERR1713398	k141_467150	k141_467150_3 # 2170 # 2505 # 1 # ID=6978_3;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.565	qacG	3007015	Strict	42.31	103.74	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride	False	chromosome_like	1		
RM2016_USA_crossstudy_additional8	ERR1713398	k141_313328	k141_313328_3 # 1931 # 2794 # -1 # ID=7115_3;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.316	aadS	3004683	Perfect	100.0	100.0	aminoglycoside antibiotic	antibiotic inactivation	ANT(6)	streptomycin	False	chromosome_like	1		
RM2016_USA_crossstudy_additional8	ERR1713398	k141_83166	k141_83166_2 # 1544 # 2428 # 1 # ID=8261_2;partial=00;start_type=ATG;rbs_motif=AAAA;rbs_spacer=11bp;gc_cont=0.368	mphG	3003742	Strict	89.12	100.0	macrolide antibiotic	antibiotic inactivation	macrolide phosphotransferase (MPH)	erythromycin; clarithromycin; azithromycin	False	chromosome_like	1		
