ORF_ID	Contig	Start	Stop	Orientation	Cut_Off	Pass_Bitscore	Best_Hit_Bitscore	Best_Hit_ARO	Best_Identities	ARO	Model_type	SNPs_in_Best_Hit_ARO	Other_SNPs	Drug Class	Resistance Mechanism	AMR Gene Family	Percentage Length of Reference Sequence	ID	Model_ID	Nudged	Note	Hit_Start	Hit_End	Antibiotic	AST_Source
k141_145_1 # 2 # 478 # 1 # ID=178_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.470	k141_145	2	478	+	Strict	50	110.5	vanY gene in vanG cluster	44.44	3002959	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	56.63	gnl|BL_ORD_ID|4731|hsp_num:0	298			459	816	vancomycin	
k141_149_1 # 1 # 501 # 1 # ID=185_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.477	k141_149	1	501	+	Strict	50	114.0	vanY gene in vanB cluster	42.48	3002956	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	61.94	gnl|BL_ORD_ID|603|hsp_num:0	556			366	792	vancomycin	
k141_681138_4 # 4020 # 5723 # 1 # ID=779_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.435	k141_681138	4020	5723	+	Strict	50	93.2	vanW gene in vanI cluster	39.06	3003724	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	152.01	gnl|BL_ORD_ID|4747|hsp_num:0	2242			666	1047	vancomycin; teicoplanin	
k141_171204_3 # 1487 # 2338 # 1 # ID=1447_3;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.459	k141_171204	1487	2338	+	Strict	50	139.8	vanY gene in vanG cluster	40.31	3002959	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	101.43	gnl|BL_ORD_ID|4731|hsp_num:0	298			297	834	vancomycin	
k141_681724_2 # 619 # 1383 # -1 # ID=1603_2;partial=00;start_type=ATG;rbs_motif=AAAA;rbs_spacer=4bp;gc_cont=0.361	k141_681724	619	1383	-	Strict	300	452.6	tet(36)	92.13	3000197	protein homolog model	n/a	n/a	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	39.69	gnl|BL_ORD_ID|1676|hsp_num:0	1708			0	762	tetracycline; doxycycline; minocycline; chlortetracycline; demeclocycline; oxytetracycline	
k141_341651_3 # 3434 # 4837 # 1 # ID=2457_3;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.537	k141_341651	3434	4837	+	Strict	850	924.9	baeS	99.79	3000829	protein homolog model	n/a	n/a	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	gnl|BL_ORD_ID|914|hsp_num:0	986			0	1401	novobiocin	
k141_341651_4 # 4834 # 5556 # 1 # ID=2457_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.538	k141_341651	4834	5556	+	Strict	450	481.5	baeR	99.58	3000828	protein homolog model	n/a	n/a	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	gnl|BL_ORD_ID|1232|hsp_num:0	1337			0	720	novobiocin	
k141_1193501_11 # 8872 # 9204 # 1 # ID=3391_11;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.610	k141_1193501	8872	9204	+	Strict	75	83.2	qacG	38.1	3007015	protein homolog model	n/a	n/a	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	102.80	gnl|BL_ORD_ID|4662|hsp_num:0	5731			3	318	benzalkonium chloride	
k141_172760_2 # 384 # 1265 # 1 # ID=3915_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.429	k141_172760	384	1265	+	Strict	50	145.2	vanW gene in vanG cluster	31.97	3002965	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	104.27	gnl|BL_ORD_ID|4742|hsp_num:0	1622			15	747	vancomycin	
k141_342644_2 # 1176 # 1538 # 1 # ID=4300_2;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.444	k141_342644	1176	1538	+	Strict	150	177.2	Klebsiella pneumoniae KpnE	80.0	3004580	protein homolog model	n/a	n/a	macrolide antibiotic; aminoglycoside antibiotic; cephalosporin; tetracycline antibiotic; peptide antibiotic; rifamycin antibiotic; disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	100.00	gnl|BL_ORD_ID|2720|hsp_num:0	3283			0	360	erythromycin; streptomycin; tetracycline; cefepime; ceftriaxone; rifampin; colistin A; colistin B; triclosan; benzalkonium chloride; chlorhexidine	
k141_342644_3 # 1525 # 1854 # 1 # ID=4300_3;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.509	k141_342644	1525	1854	+	Strict	150	194.9	Klebsiella pneumoniae KpnF	87.16	3004583	protein homolog model	n/a	n/a	macrolide antibiotic; aminoglycoside antibiotic; cephalosporin; tetracycline antibiotic; peptide antibiotic; rifamycin antibiotic; disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	100.00	gnl|BL_ORD_ID|2722|hsp_num:0	3286			0	327	erythromycin; streptomycin; tetracycline; cefepime; ceftriaxone; rifampin; colistin A; colistin B; triclosan; benzalkonium chloride; chlorhexidine	
k141_175211_5 # 5373 # 7838 # -1 # ID=7660_5;partial=00;start_type=ATG;rbs_motif=AAAAA;rbs_spacer=12bp;gc_cont=0.433	k141_175211	5373	7838	-	Strict	175	204.1	vanT gene in vanG cluster	36.93	3002972	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	115.31	gnl|BL_ORD_ID|1523|hsp_num:0	1561			1038	2127	vancomycin	
