seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
k141_159082	6698	No terminal repeats	NA	7	15	0.9835	NA	0	11.5432	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_134431	6467	No terminal repeats	NA	15	11	0.9833	NA	0	22.3377	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_76633	4792	No terminal repeats	NA	10	11	0.9832	NA	0	15.3909	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_142003	3918	No terminal repeats	NA	6	11	0.9832	NA	0	10.3097	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_2192	30406	No terminal repeats	NA	6	15	0.9831	NA	0	10.0873	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Suoliviridae
k141_45807	5371	No terminal repeats	NA	9	11	0.9831	NA	3	12.7838	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_141632	2893	No terminal repeats	NA	4	11	0.9830	NA	2	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Schitoviridae
k141_137919	11500	No terminal repeats	NA	16	15	0.9830	NA	0	23.8664	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_76658	3647	No terminal repeats	NA	8	11	0.9830	NA	0	13.6726	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_90729	2973	No terminal repeats	NA	7	11	0.9829	NA	0	12.0280	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_87452	5945	No terminal repeats	NA	7	11	0.9829	NA	0	10.0477	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_160586	3749	No terminal repeats	NA	6	11	0.9828	NA	0	10.3097	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
k141_135932	6216	No terminal repeats	NA	10	11	0.9828	NA	0	13.6601	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_146296	13994	No terminal repeats	NA	16	11	0.9828	NA	2	20.3294	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_69039	4336	No terminal repeats	NA	4	11	0.9828	NA	2	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
k141_142948	2970	No terminal repeats	NA	4	11	0.9828	NA	0	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
k141_114498	2866	No terminal repeats	NA	4	15	0.9827	NA	0	6.6967	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_117646	2734	No terminal repeats	NA	8	11	0.9827	NA	0	13.7463	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_51310	4716	No terminal repeats	NA	5	11	0.9826	NA	2	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
k141_93221	12655	No terminal repeats	NA	12	11	0.9826	NA	2	14.4093	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
