seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
k141_601984	6640	No terminal repeats	NA	7	11	0.9831	NA	2	9.5411	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_37824	5711	No terminal repeats	NA	8	11	0.9831	NA	3	11.3678	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_627198	4898	No terminal repeats	NA	10	11	0.9830	NA	0	13.1770	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_55594	4632	No terminal repeats	NA	9	11	0.9829	NA	4	15.2576	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_670136	8397	No terminal repeats	NA	9	11	0.9829	NA	1	11.8923	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_261675	6636	No terminal repeats	NA	13	11	0.9829	NA	0	17.1828	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_879353	4167	No terminal repeats	NA	8	11	0.9828	NA	2	11.6088	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_11260	10802	No terminal repeats	NA	9	11	0.9828	NA	1	13.6185	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_294	3535	No terminal repeats	NA	8	11	0.9828	NA	5	11.5132	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_220605	6861	No terminal repeats	NA	12	11	0.9828	NA	6	14.9076	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_855762	5086	No terminal repeats	NA	4	11	0.9827	NA	3	6.5898	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
