seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
k141_936616	5838	No terminal repeats	NA	6	11	0.9834	NA	1	10.3097	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_811118	6282	No terminal repeats	NA	4	15	0.9834	NA	0	6.6508	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Suoliviridae
k141_774982	7244	No terminal repeats	NA	9	11	0.9834	NA	3	12.8829	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_907127	5382	No terminal repeats	NA	5	11	0.9834	NA	2	8.0816	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_870299	5154	No terminal repeats	NA	7	11	0.9833	NA	3	11.3015	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_178432	2759	No terminal repeats	NA	4	11	0.9833	NA	2	6.5780	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_682647	5635	No terminal repeats	NA	7	15	0.9833	NA	2	11.9738	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
k141_798662	5659	No terminal repeats	NA	7	11	0.9832	NA	1	11.3023	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_970927	8421	No terminal repeats	NA	11	15	0.9832	NA	2	18.9011	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
k141_669942	7555	No terminal repeats	NA	9	15	0.9832	NA	1	13.7463	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_270647	6653	No terminal repeats	NA	10	15	0.9832	NA	0	15.2815	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Suoliviridae
k141_210233	4090	No terminal repeats	NA	6	11	0.9832	NA	1	9.8596	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
k141_20596	4490	No terminal repeats	NA	5	11	0.9832	NA	1	8.5914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_169475	3864	No terminal repeats	NA	4	15	0.9832	NA	3	6.3151	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_570184	3436	No terminal repeats	NA	7	11	0.9832	NA	1	10.3032	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Zobellviridae
k141_577790	13044	No terminal repeats	NA	13	11	0.9832	NA	3	18.9011	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1021347	5776	No terminal repeats	NA	8	11	0.9831	NA	2	11.6255	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
k141_136066	6480	No terminal repeats	NA	7	11	0.9831	NA	1	11.3023	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
k141_800352	5745	No terminal repeats	NA	10	11	0.9831	NA	1	15.4362	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
k141_191001	4675	No terminal repeats	NA	5	15	0.9831	NA	1	8.5914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_826627	2693	No terminal repeats	NA	7	11	0.9831	NA	0	10.2360	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_169259	12660	No terminal repeats	NA	11	15	0.9831	NA	3	15.4645	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_140007	6414	No terminal repeats	NA	4	11	0.9831	NA	2	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
k141_210430	6982	No terminal repeats	NA	11	11	0.9831	NA	0	15.3046	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1040880	5140	No terminal repeats	NA	10	11	0.9831	NA	2	15.1546	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_584396	4629	No terminal repeats	NA	10	11	0.9831	NA	4	15.0571	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_820210	4867	No terminal repeats	NA	5	11	0.9831	NA	2	8.5914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Suoliviridae
k141_403135	6788	No terminal repeats	NA	10	15	0.9830	NA	2	13.6920	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
k141_971530	3825	No terminal repeats	NA	7	11	0.9830	NA	2	10.1068	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_673141	6299	No terminal repeats	NA	8	11	0.9830	NA	2	13.5519	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_581853	21913	No terminal repeats	NA	15	15	0.9830	NA	3	23.0194	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
k141_947299	11059	No terminal repeats	NA	11	11	0.9830	NA	6	15.1812	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_839124	5118	No terminal repeats	NA	6	15	0.9830	NA	1	8.5914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_8155	4780	No terminal repeats	NA	6	11	0.9830	NA	1	9.3394	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_512047	5720	No terminal repeats	NA	10	11	0.9830	NA	6	15.6425	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1030303	6823	No terminal repeats	NA	3	15	0.9830	NA	2	5.1548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Suoliviridae
k141_957503	4285	No terminal repeats	NA	6	11	0.9830	NA	1	8.1117	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_170475	4102	No terminal repeats	NA	8	11	0.9830	NA	1	11.6338	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_947602	14725	No terminal repeats	NA	14	11	0.9830	NA	6	23.7564	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_669086	6016	No terminal repeats	NA	4	11	0.9830	NA	0	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Schitoviridae
k141_977350	5376	No terminal repeats	NA	12	11	0.9829	NA	0	17.1828	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_842315	3811	No terminal repeats	NA	6	15	0.9829	NA	0	8.4150	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_491325	5166	No terminal repeats	NA	10	11	0.9829	NA	1	17.1800	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_547479	7518	No terminal repeats	NA	7	15	0.9829	NA	3	8.5914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
k141_776979	8414	No terminal repeats	NA	12	11	0.9829	NA	1	16.1359	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_458117	2813	No terminal repeats	NA	4	11	0.9829	NA	0	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_813130	5997	No terminal repeats	NA	7	11	0.9829	NA	1	10.3097	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_232788	5345	No terminal repeats	NA	5	11	0.9829	NA	3	8.0731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
