card_subject_id	total_read_hits	R1_read_hits	R2_read_hits	mean_percent_identity	maximum_alignment_length	minimum_evalue	maximum_bitscore
gb|AAA50993.1|ARO:3003368|Ecol_EFTu_KIR	5501	2780	2721	86.9667	52	1.34e-32	112.0000
gb|BAB38333.1|ARO:3003288|Ecol_rpoB_RIF	4361	2187	2174	88.8656	50	1.83e-32	113.0000
gb|AJP09758.1|ARO:3004681|Cdif_rpoC_VAN	4015	2003	2012	87.2104	52	9.84e-33	114.0000
gb|ACB05808.1|ARO:3003109|msrE	3173	1595	1578	99.2056	50	1.73e-31	110.0000
gb|AAX14802.1|ARO:3000781|adeJ	2866	1445	1421	88.4140	52	1.43e-30	108.0000
gb|CAG39569.1|ARO:3003291|Saur_rpoC_DAP	2703	1383	1320	86.0134	50	3.42e-32	112.0000
gb|ADK17136.1|ARO:3004563|Cdif_rpoB_RIF	2656	1333	1323	86.9021	52	4.11e-31	109.0000
gb|AJF82744.1|ARO:3003817|Abau_gyrA_FLO	2583	1308	1275	91.2192	50	1.62e-31	110.0000
gb|WP_000202252.1|ARO:3003818|Abau_parC_FLO	2272	1159	1113	90.1581	51	9.75e-33	114.0000
gb|AJY14066.1|ARO:3004860|Bdol_gyrA_FLO	2022	1038	984	85.5417	50	1.84e-32	113.0000
gb|AFK57679.1|ARO:3003438|Efac_EFTu_GE2A	1996	1026	970	87.4690	55	1.9e-30	106.0000
gb|BAE77595.1|ARO:3003303|Ecol_gyrB_AMU	1892	968	924	89.8779	50	1.34e-32	114.0000
gb|AXU66539.1|ARO:3003357|Cdif_EFTu_ELF	1780	881	899	90.2283	52	5.26e-32	110.0000
gb|AAG07064.1|ARO:3003693|MexK	1766	876	890	85.9753	50	2.51e-27	99.0000
gb|ABI20451.1|ARO:3003741|mphE	1716	847	869	99.4183	50	1.91e-33	112.0000
gb|NP_215182.1|ARO:3004994|Mtub_rpoC_RIF	1675	854	821	86.6553	50	8.17e-34	117.0000
gb|WP_011079201.1|ARO:3007794|Vvul_rpoB_RIF	1556	744	812	85.4632	50	7.66e-31	108.0000
gb|CAG39573.1|ARO:3003735|Saur_fusA_FA	1492	733	759	84.6879	50	3.19e-29	104.0000
gb|CAB11883.2|ARO:3007073|Bsub_rpoB_RIF	1470	754	716	88.8604	50	5.62e-31	109.0000
gb|CNT74515.1|ARO:3004859|Ngon_gyrB_ZOL	1365	671	694	85.7338	51	4.97e-30	106.0000
gb|AJF83452.1|ARO:3003574|LpxC	1362	679	683	90.7888	50	9.85e-31	105.0000
gb|CAA10975.1|ARO:3000194|tet(W)	1351	694	657	99.2542	50	3.17e-32	112.0000
gb|NP_215196.1|ARO:3003395|Mtub_rpsL_STR	1346	681	665	83.2799	50	2.95e-30	99.8000
gb|AAD08242.1|ARO:3007051|Hpyl_rpoB_RIF	1303	649	654	85.0290	51	2.66e-30	107.0000
gb|YP_177995.1|ARO:3004957|Mtub_clpC1_PZA	1278	661	617	83.6268	50	2.67e-30	107.0000
gb|AAG08352.1|ARO:3003685|Paer_parE_FLO	1258	628	630	87.5754	50	1.85e-30	107.0000
gb|AAX14803.1|ARO:3000782|adeK	1101	571	530	87.2356	52	7.64e-29	102.0000
gb|CAA67349.1|ARO:3003359|Scin_EFTu_ELF	958	498	460	89.2418	50	5.46e-30	105.0000
gb|WP_041777404.1|ARO:3004480|Bado_rpoB_RIF	798	402	396	91.1830	51	4.66e-32	112.0000
