seq_name	chromosome_score	plasmid_score	virus_score
k141_420728	0.4016	0.0363	0.5620
k141_490849	0.0487	0.0568	0.8945
k141_350607	0.8944	0.0818	0.0238
k141_70122	0.6748	0.2433	0.0818
k141_280489	0.5157	0.2969	0.1873
k141_140244	0.1469	0.6834	0.1696
k141_210370	0.8558	0.0893	0.0549
k141_350610	0.2553	0.1843	0.5603
k141_70125	0.5966	0.2191	0.1843
k141_420734	0.8903	0.0844	0.0253
k141_280492	0.5098	0.2805	0.2097
k141_350611	0.9550	0.0309	0.0141
k141_210373	0.9078	0.0677	0.0245
k141_280493	0.0310	0.0393	0.9298
k141_140248	0.8041	0.0904	0.1055
k141_0	0.0350	0.8944	0.0705
k141_210374	0.2349	0.3547	0.4104
k141_70127	0.1269	0.7498	0.1232
k141_350612	0.9558	0.0326	0.0117
k141_140250	0.0264	0.9509	0.0227
k141_210375	0.8591	0.1101	0.0307
k141_490858	0.1093	0.5032	0.3876
k141_280494	0.8929	0.0817	0.0254
k141_420736	0.9170	0.0703	0.0127
k141_140251	0.6934	0.2013	0.1053
k141_350615	0.8683	0.0960	0.0357
k141_210376	0.7542	0.2017	0.0441
k141_490860	0.5793	0.2350	0.1857
k141_70133	0.6599	0.1960	0.1442
k141_210380	0.5360	0.3064	0.1576
k141_280499	0.9201	0.0593	0.0206
k141_3	0.9635	0.0272	0.0094
k141_210381	0.3151	0.4420	0.2428
k141_70136	0.4639	0.2469	0.2892
k141_350621	0.7248	0.2042	0.0710
k141_280500	0.8978	0.0800	0.0222
k141_5	0.5851	0.1961	0.2188
k141_140256	0.9250	0.0541	0.0210
k141_6	0.6469	0.1659	0.1872
k141_280502	0.2892	0.4510	0.2599
k141_350624	0.7837	0.1152	0.1012
k141_210382	0.8615	0.1095	0.0290
k141_70137	0.9544	0.0308	0.0148
k141_140259	0.2439	0.4229	0.3332
k141_7	0.7686	0.1966	0.0348
k141_490864	0.4893	0.4067	0.1040
k141_280505	0.0610	0.0395	0.8995
k141_490865	0.6012	0.2494	0.1494
k141_210386	0.7086	0.1908	0.1006
k141_10	0.7373	0.2178	0.0448
k141_70143	0.8318	0.1370	0.0311
k141_280507	0.2893	0.3440	0.3667
k141_210390	0.4528	0.3204	0.2268
k141_70144	0.4524	0.2411	0.3065
k141_14	0.6279	0.2694	0.1027
k141_490866	0.9581	0.0294	0.0125
k141_210392	0.9345	0.0418	0.0237
k141_350637	0.9010	0.0683	0.0307
k141_280513	0.1153	0.7396	0.1451
k141_280515	0.7340	0.1701	0.0959
k141_210397	0.7135	0.1921	0.0945
