ORF_ID	Contig	Start	Stop	Orientation	Cut_Off	Pass_Bitscore	Best_Hit_Bitscore	Best_Hit_ARO	Best_Identities	ARO	Model_type	SNPs_in_Best_Hit_ARO	Other_SNPs	Drug Class	Resistance Mechanism	AMR Gene Family	Percentage Length of Reference Sequence	ID	Model_ID	Nudged	Note	Hit_Start	Hit_End	Antibiotic	AST_Source
k141_811289_1 # 19 # 1881 # -1 # ID=2042_1;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=6bp;gc_cont=0.455	k141_811289	19	1881	-	Strict	50	83.6	vanW gene in vanI cluster	29.23	3003724	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	166.22	gnl|BL_ORD_ID|4747|hsp_num:0	2242			465	1002	vancomycin; teicoplanin	
k141_1061_1 # 232 # 1461 # 1 # ID=2071_1;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.495	k141_1061	232	1461	+	Strict	50	114.4	vanW gene in vanI cluster	27.63	3003724	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	109.65	gnl|BL_ORD_ID|4747|hsp_num:0	2242			126	1047	vancomycin; teicoplanin	
k141_348638_4 # 2449 # 4287 # 1 # ID=2568_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.618	k141_348638	2449	4287	+	Strict	50	91.7	vanW gene in vanI cluster	30.77	3003724	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	164.08	gnl|BL_ORD_ID|4747|hsp_num:0	2242			462	1002	vancomycin; teicoplanin	
k141_579868_2 # 718 # 1047 # 1 # ID=2675_2;partial=01;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.555	k141_579868	718	1047	+	Strict	75	92.8	qacJ	38.1	3007014	protein homolog model	n/a	n/a	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	102.80	gnl|BL_ORD_ID|4661|hsp_num:0	5730			6	321	benzalkonium chloride	
k141_696600_7 # 8464 # 10311 # -1 # ID=4113_7;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.403	k141_696600	8464	10311	-	Strict	50	94.7	vanW gene in vanI cluster	27.48	3003724	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	164.88	gnl|BL_ORD_ID|4747|hsp_num:0	2242			357	1056	vancomycin; teicoplanin	
k141_117947_141 # 161330 # 162439 # -1 # ID=4253_141;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.430	k141_117947	161330	162439	-	Strict	175	194.1	vanT gene in vanG cluster	32.97	3002972	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	51.83	gnl|BL_ORD_ID|1523|hsp_num:0	1561			1029	2118	vancomycin	
k141_118047_9 # 7062 # 8177 # -1 # ID=4433_9;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.331	k141_118047	7062	8177	-	Strict	175	188.3	vanT gene in vanG cluster	33.24	3002972	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	52.11	gnl|BL_ORD_ID|1523|hsp_num:0	1561			1041	2118	vancomycin	
k141_464890_70 # 89019 # 90131 # 1 # ID=4835_70;partial=00;start_type=ATG;rbs_motif=AAA;rbs_spacer=3bp;gc_cont=0.518	k141_464890	89019	90131	+	Strict	175	189.5	vanT gene in vanG cluster	33.04	3002972	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	51.97	gnl|BL_ORD_ID|1523|hsp_num:0	1561			1101	2118	vancomycin	
k141_350672_2 # 537 # 1160 # -1 # ID=6224_2;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.556	k141_350672	537	1160	-	Strict	50	84.3	vanY gene in vanM cluster	31.09	3002961	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	88.84	gnl|BL_ORD_ID|1674|hsp_num:0	1713			18	531	vancomycin; teicoplanin	
k141_3749_1 # 1 # 1275 # -1 # ID=7119_1;partial=10;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.656	k141_3749	1	1275	-	Strict	50	84.0	vanW gene in vanI cluster	34.29	3003724	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	113.94	gnl|BL_ORD_ID|4747|hsp_num:0	2242			393	918	vancomycin; teicoplanin	
k141_581693_111 # 150128 # 152029 # -1 # ID=7552_111;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.529	k141_581693	150128	152029	-	Strict	175	190.7	vanT gene in vanG cluster	31.79	3002972	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	88.90	gnl|BL_ORD_ID|1523|hsp_num:0	1561			1026	2115	vancomycin	
k141_699550_10 # 11074 # 13542 # 1 # ID=9526_10;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.475	k141_699550	11074	13542	+	Strict	175	199.1	vanT gene in vanG cluster	33.33	3002972	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	115.45	gnl|BL_ORD_ID|1523|hsp_num:0	1561			1029	2127	vancomycin	
