seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k141_482204	2287	No terminal repeats	3	11	0.9962	NA	1	4.7415	NA	NA
k141_430721	7973	No terminal repeats	6	11	0.9955	NA	0	5.5287	NA	NA
k141_440503	3464	No terminal repeats	4	11	0.9953	NA	2	4.7146	MOBP1	NA
k141_371178	2600	No terminal repeats	2	11	0.9952	NA	1	3.2322	NA	NA
k141_57232	2750	No terminal repeats	4	11	0.9949	NA	0	4.1131	NA	NA
k141_474048	4873	No terminal repeats	11	11	0.9948	NA	0	6.8050	NA	NA
k141_136094	1542	No terminal repeats	4	11	0.9945	NA	2	3.9867	MOBP1	NA
k141_101859	7153	No terminal repeats	12	11	0.9944	NA	2	8.7646	MOBQ	NA
k141_69353	2584	No terminal repeats	2	11	0.9944	NA	0	3.4366	NA	NA
k141_29030	1316	No terminal repeats	3	11	0.9943	NA	2	4.4475	T_virB5	NA
k141_247422	2750	No terminal repeats	5	11	0.9942	NA	1	3.4366	MOBQ	NA
k141_376224	5487	No terminal repeats	5	11	0.9942	NA	0	4.2634	NA	NA
k141_351512	1497	No terminal repeats	2	11	0.9939	NA	2	3.4366	MOBP1	NA
k141_266660	1182	No terminal repeats	1	11	0.9938	NA	1	1.7183	NA	NA
k141_34732	5569	No terminal repeats	6	11	0.9937	NA	0	4.6082	NA	NA
k141_311675	12250	No terminal repeats	9	11	0.9937	NA	0	7.2470	NA	NA
k141_471954	6799	No terminal repeats	8	11	0.9937	NA	0	5.8313	NA	NA
k141_485410	1138	No terminal repeats	3	11	0.9936	NA	1	5.1503	NA	NA
k141_310273	1311	No terminal repeats	2	11	0.9936	NA	2	2.9387	MOBP1	NA
k141_92528	1991	No terminal repeats	4	11	0.9935	NA	1	2.2230	NA	NA
k141_160185	58122	No terminal repeats	48	11	0.9934	NA	1	21.7571	NA	NA
k141_560314	9649	DTR	14	11	0.9932	NA	0	6.8064	NA	NA
k141_529393	1498	No terminal repeats	2	11	0.9932	NA	1	1.7183	NA	NA
k141_313429	5119	No terminal repeats	11	11	0.9930	NA	0	5.6044	NA	NA
k141_52618	19931	No terminal repeats	20	11	0.9929	NA	0	15.6694	NA	NA
k141_432312	1157	No terminal repeats	1	11	0.9929	NA	1	1.7183	NA	NA
k141_87563	9036	No terminal repeats	10	11	0.9929	NA	0	7.6025	NA	NA
k141_163436	8024	No terminal repeats	12	11	0.9928	NA	1	2.3115	NA	NA
k141_136756	2837	No terminal repeats	3	11	0.9925	NA	0	3.9785	NA	NA
k141_325384	1091	No terminal repeats	2	11	0.9925	NA	2	2.3555	MOBQ	NA
k141_313925	1134	No terminal repeats	2	11	0.9925	NA	1	2.6481	NA	NA
k141_108880	10537	No terminal repeats	11	11	0.9924	NA	4	9.4434	G_tfc19;G_tfc18;G_tfc22;G_tfc23;G_tfc24;virb4;G_tfc15;G_tfc14	NA
k141_336668	11736	No terminal repeats	13	11	0.9923	NA	1	3.1226	NA	NA
k141_238369	2390	No terminal repeats	2	11	0.9923	NA	1	3.0615	NA	NA
k141_16274	24265	No terminal repeats	30	11	0.9922	NA	0	13.2000	NA	NA
k141_276953	2962	No terminal repeats	4	11	0.9922	NA	0	2.6549	NA	NA
k141_356444	1387	No terminal repeats	4	11	0.9920	NA	2	3.2261	MOBQ	NA
k141_26912	2744	No terminal repeats	5	11	0.9919	NA	0	2.6069	NA	NA
k141_209588	1364	No terminal repeats	3	11	0.9919	NA	2	2.8230	MOBQ	NA
k141_487908	4760	No terminal repeats	10	11	0.9919	NA	0	1.8914	NA	NA
k141_287240	5127	No terminal repeats	10	11	0.9918	NA	0	3.7624	NA	NA
k141_329118	2726	No terminal repeats	3	11	0.9918	NA	1	2.8723	NA	NA
k141_202931	1774	No terminal repeats	2	11	0.9917	NA	1	2.4254	NA	NA
k141_87703	27008	No terminal repeats	23	11	0.9916	NA	1	10.5229	NA	NA
k141_4480	20693	No terminal repeats	17	11	0.9915	NA	0	9.5591	NA	NA
k141_381491	1842	No terminal repeats	4	11	0.9914	NA	1	2.3952	NA	NA
k141_151411	8238	No terminal repeats	11	11	0.9914	NA	1	4.9887	MOBQ	NA
k141_189264	1123	No terminal repeats	1	11	0.9913	NA	1	1.3356	NA	NA
k141_154661	1063	No terminal repeats	3	11	0.9912	NA	1	3.4366	NA	NA
k141_539288	3956	No terminal repeats	5	11	0.9911	NA	1	3.4366	NA	NA
k141_81453	4056	No terminal repeats	4	11	0.9911	NA	0	1.3345	NA	NA
k141_260067	1710	No terminal repeats	2	11	0.9909	NA	1	2.2598	MOBP1	NA
k141_191385	1137	No terminal repeats	2	11	0.9908	NA	1	2.6481	NA	NA
k141_226496	1458	No terminal repeats	3	11	0.9907	NA	2	2.3555	MOBQ	NA
k141_157074	3357	DTR	6	11	0.9906	NA	1	1.6920	MOBQ	NA
k141_411325	1293	No terminal repeats	3	11	0.9906	NA	2	4.3842	MOBP1	NA
k141_144101	1065	No terminal repeats	2	11	0.9905	NA	2	2.4690	T_virB5;T_virB10	NA
k141_202211	1026	No terminal repeats	2	11	0.9905	NA	1	1.7183	MOBT	NA
k141_514796	2791	No terminal repeats	5	11	0.9903	NA	2	3.6838	MOBP1	NA
k141_560317	2600	DTR	6	11	0.9902	NA	0	2.2800	NA	NA
k141_154239	8739	No terminal repeats	8	11	0.9899	NA	0	5.1346	NA	NA
k141_230613	9699	No terminal repeats	11	11	0.9899	NA	1	8.0400	G_tfc19;MOBH	NA
k141_560356	3364	DTR	3	11	0.9899	NA	0	1.2731	NA	NA
k141_348383	3711	No terminal repeats	3	11	0.9897	NA	0	2.0921	NA	NA
k141_265509	1759	No terminal repeats	3	11	0.9896	NA	2	2.9387	MOBP1	NA
k141_502785	3069	No terminal repeats	3	11	0.9895	NA	0	1.7183	NA	NA
k141_185755	2027	No terminal repeats	3	11	0.9891	NA	2	2.6928	T_virB10	NA
k141_560340	3578	DTR	5	11	0.9890	NA	0	1.0827	NA	NA
k141_9027	7609	No terminal repeats	7	11	0.9890	NA	0	2.6136	NA	NA
k141_18149	1682	No terminal repeats	3	11	0.9889	NA	1	1.6808	MOBQ	NA
k141_506776	3277	No terminal repeats	4	11	0.9887	NA	0	1.7183	NA	NA
k141_312010	7912	No terminal repeats	9	11	0.9884	NA	0	7.4962	NA	NA
k141_560369	2095	DTR	4	11	0.9880	NA	2	1.7492	NA	NA
k141_30255	4594	No terminal repeats	3	11	0.9879	NA	0	1.7183	NA	NA
k141_323787	5984	No terminal repeats	4	11	0.9876	NA	3	2.9869	T_virB8;T_virB9;T_virB10	NA
k141_476279	1993	No terminal repeats	2	11	0.9875	NA	1	1.4894	MOBQ	NA
k141_307291	1145	No terminal repeats	2	11	0.9875	NA	1	3.2409	NA	NA
k141_453364	4041	No terminal repeats	5	11	0.9874	NA	0	6.4225	NA	NA
k141_271717	5066	No terminal repeats	5	11	0.9873	NA	0	4.5696	NA	NA
k141_157554	1351	No terminal repeats	1	11	0.9872	NA	1	1.3753	NA	NA
k141_40204	4784	No terminal repeats	5	11	0.9871	NA	1	1.6672	NA	NA
k141_306842	7174	No terminal repeats	9	11	0.9870	NA	1	2.2115	NA	NA
k141_507051	2694	No terminal repeats	3	11	0.9863	NA	0	2.7349	NA	NA
k141_307987	13341	No terminal repeats	13	11	0.9863	NA	0	6.4066	NA	NF033134
k141_185703	18945	No terminal repeats	21	11	0.9861	NA	1	2.5148	NA	NA
k141_156349	1318	No terminal repeats	2	11	0.9860	NA	1	2.6481	NA	NA
