seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k141_11844	3205	No terminal repeats	2	11	0.9964	NA	1	2.5612	NA	NA
k141_55597	1730	No terminal repeats	4	11	0.9964	NA	2	4.1633	MOBQ	NA
k141_98824	3489	No terminal repeats	4	11	0.9964	NA	2	5.5891	NA	NA
k141_29144	2310	No terminal repeats	2	11	0.9964	NA	2	2.3650	NA	NA
k141_151248	3618	No terminal repeats	3	11	0.9962	NA	0	3.7306	NA	NA
k141_102612	1493	No terminal repeats	2	11	0.9962	NA	2	3.4366	MOBP1	NA
k141_94706	2173	No terminal repeats	2	11	0.9961	NA	2	3.4366	MOBP1	NA
k141_33157	2648	No terminal repeats	3	11	0.9961	NA	2	4.7146	MOBP1	NA
k141_67124	3248	No terminal repeats	5	11	0.9961	NA	1	5.6638	NA	NA
k141_1595	8248	No terminal repeats	12	11	0.9961	NA	0	16.6328	NA	NA
k141_39667	2305	No terminal repeats	2	11	0.9961	NA	1	3.4366	MOBP1	NA
k141_97069	3213	No terminal repeats	4	11	0.9960	NA	0	5.5922	NA	NA
k141_128462	1152	No terminal repeats	2	11	0.9960	NA	2	3.4366	MOBP1	NA
k141_35027	1926	No terminal repeats	2	11	0.9960	NA	1	3.2077	MOBQ	NA
k141_96332	1359	No terminal repeats	2	11	0.9960	NA	2	2.9571	MOBP1	NA
k141_45170	2460	No terminal repeats	2	11	0.9959	NA	1	3.2077	MOBQ	NA
k141_129287	2391	No terminal repeats	2	11	0.9959	NA	2	3.4366	MOBP1	NA
k141_37549	2129	No terminal repeats	2	11	0.9958	NA	2	2.9571	MOBP1	NA
k141_172046	3325	No terminal repeats	5	11	0.9958	NA	1	6.6443	MOBQ	NA
k141_186642	3711	No terminal repeats	5	11	0.9958	NA	3	5.5126	MOBP1	NA
k141_61561	1598	No terminal repeats	2	11	0.9958	NA	2	2.1688	NA	NA
k141_170776	2071	No terminal repeats	3	11	0.9957	NA	1	3.7601	NA	NA
k141_97751	1323	No terminal repeats	2	11	0.9956	NA	2	3.2261	MOBQ	NA
k141_41878	1362	No terminal repeats	2	11	0.9956	NA	2	3.2077	MOBQ	NA
k141_58085	1038	No terminal repeats	2	11	0.9956	NA	1	2.5929	NA	NA
k141_97533	2729	No terminal repeats	4	11	0.9956	NA	0	5.1548	NA	NA
k141_58385	1507	No terminal repeats	1	11	0.9955	NA	1	1.7183	NA	NA
k141_150749	3146	No terminal repeats	6	11	0.9954	NA	1	6.6443	MOBQ	NA
k141_48269	1259	No terminal repeats	2	11	0.9954	NA	2	3.1408	MOBP1	NA
k141_26036	1847	No terminal repeats	3	11	0.9954	NA	2	4.9444	MOBQ	NA
k141_103101	15489	No terminal repeats	21	11	0.9954	NA	0	19.0234	NA	NA
k141_147684	3071	No terminal repeats	3	11	0.9953	NA	2	3.4366	MOBP1	NA
k141_124314	1511	No terminal repeats	4	11	0.9953	NA	2	4.9260	MOBQ	NA
k141_79091	19131	No terminal repeats	23	11	0.9952	NA	0	27.1049	NA	NA
k141_149136	1260	No terminal repeats	2	11	0.9951	NA	2	2.5758	NA	NA
k141_118820	5114	No terminal repeats	5	11	0.9951	NA	1	3.7306	NA	NA
k141_176956	3250	No terminal repeats	3	11	0.9951	NA	1	2.3418	NA	NA
k141_104718	1471	No terminal repeats	2	11	0.9951	NA	1	2.2083	NA	NA
k141_45148	1668	No terminal repeats	3	11	0.9951	NA	2	3.2077	MOBQ	NA
k141_149518	1964	No terminal repeats	4	11	0.9950	NA	2	2.6983	MOBP1	NA
k141_30001	1905	No terminal repeats	3	11	0.9950	NA	1	3.4073	NA	NA
k141_155319	2422	No terminal repeats	3	11	0.9950	NA	2	3.4366	MOBP1	NA
k141_70318	3672	No terminal repeats	5	11	0.9950	NA	1	4.1867	NA	NA
k141_125632	1408	No terminal repeats	2	11	0.9950	NA	1	3.2077	MOBQ	NA
k141_180602	5495	No terminal repeats	2	11	0.9950	NA	0	3.3441	NA	NA
k141_175890	2240	No terminal repeats	5	11	0.9950	NA	3	3.4202	MOBP1	NA
k141_150836	6969	No terminal repeats	8	11	0.9949	NA	2	5.7943	MOBQ	NA
k141_137279	7813	No terminal repeats	5	11	0.9949	NA	0	5.0623	NA	NA
k141_17841	3789	DTR	3	11	0.9949	NA	2	3.2077	MOBQ	NA
k141_1702	2068	No terminal repeats	3	11	0.9948	NA	1	3.4296	NA	NA
k141_69040	4086	No terminal repeats	4	11	0.9948	NA	2	3.4366	MOBP1	NA
k141_31524	2675	No terminal repeats	3	11	0.9948	NA	2	3.2077	MOBQ	NA
k141_29721	1289	No terminal repeats	2	11	0.9948	NA	1	3.3991	MOBQ	NA
k141_171287	2699	No terminal repeats	3	11	0.9948	NA	0	2.5681	NA	NA
k141_41095	1355	No terminal repeats	4	11	0.9947	NA	2	4.9444	MOBQ	NA
k141_125629	2340	DTR	5	11	0.9947	NA	1	4.3112	NA	NA
k141_35381	1634	No terminal repeats	2	11	0.9947	NA	2	2.7641	MOBQ	NA
k141_156264	1145	No terminal repeats	2	11	0.9946	NA	2	3.4366	MOBP1	NA
k141_14231	2133	No terminal repeats	3	11	0.9946	NA	1	2.5929	NA	NA
k141_60523	9301	No terminal repeats	9	11	0.9946	NA	4	8.5914	MOBP1;MOBP1	NA
k141_29385	1735	No terminal repeats	4	11	0.9946	NA	3	4.5731	NA	NA
k141_11424	1291	No terminal repeats	2	11	0.9945	NA	2	3.4366	MOBP1	NA
k141_102001	1418	No terminal repeats	3	11	0.9945	NA	2	2.1806	NA	NA
k141_66813	4139	No terminal repeats	4	11	0.9945	NA	1	2.9966	NA	NA
k141_164454	3637	No terminal repeats	6	11	0.9945	NA	0	4.3307	NA	NA
k141_59608	3145	No terminal repeats	4	11	0.9945	NA	2	4.0081	MOBQ	NA
k141_120837	5029	No terminal repeats	4	11	0.9945	NA	2	3.4366	MOBP1	NA
k141_122630	7312	No terminal repeats	11	11	0.9944	NA	2	7.4634	NA	NA
k141_18676	1297	No terminal repeats	2	11	0.9944	NA	2	2.9571	MOBP1	NA
k141_122614	1566	No terminal repeats	2	11	0.9943	NA	1	3.4366	NA	NA
k141_49329	2781	No terminal repeats	5	11	0.9943	NA	0	2.8807	NA	NA
k141_128018	1645	No terminal repeats	3	11	0.9943	NA	2	3.2077	MOBQ	NA
k141_15612	2787	No terminal repeats	3	11	0.9943	NA	2	3.2077	MOBQ	NA
k141_145637	1424	No terminal repeats	2	11	0.9942	NA	2	2.9571	MOBP1	NA
k141_67114	1574	No terminal repeats	1	11	0.9942	NA	1	1.7183	MOBP1	NA
k141_14987	5969	No terminal repeats	8	11	0.9942	NA	0	4.6082	NA	NA
k141_11476	28174	No terminal repeats	14	11	0.9942	NA	1	15.4645	I_traW	NA
k141_37898	4850	No terminal repeats	4	11	0.9941	NA	0	5.1548	NA	NA
k141_14832	3577	No terminal repeats	5	11	0.9941	NA	1	4.3648	MOBB	NA
k141_138734	1584	No terminal repeats	2	11	0.9941	NA	1	3.3872	NA	NA
k141_25966	5365	No terminal repeats	9	11	0.9941	NA	0	7.4784	NA	NA
k141_171017	2951	No terminal repeats	6	11	0.9940	NA	0	4.2765	NA	NA
k141_100562	11086	No terminal repeats	11	11	0.9940	NA	2	1.3526	NA	NA
k141_191796	1069	No terminal repeats	3	11	0.9940	NA	1	3.8463	NA	NA
k141_162509	10725	No terminal repeats	10	11	0.9940	NA	0	7.8994	NA	NA
k141_142367	3628	No terminal repeats	4	11	0.9940	NA	2	3.2373	MOBQ	NA
k141_82353	1744	No terminal repeats	3	11	0.9939	NA	2	2.9571	MOBP1	NA
k141_80117	2812	No terminal repeats	3	11	0.9939	NA	0	1.7183	NA	NA
k141_177511	1898	No terminal repeats	1	11	0.9939	NA	1	1.7183	MOBP1	NA
k141_58238	6191	No terminal repeats	7	11	0.9938	NA	1	3.4366	NA	NA
k141_106692	6397	No terminal repeats	8	11	0.9938	NA	1	4.1271	NA	NA
k141_179746	5972	No terminal repeats	6	11	0.9938	NA	0	2.4977	NA	NF000402
k141_159132	6971	No terminal repeats	12	11	0.9938	NA	0	4.7885	NA	NA
k141_10696	3244	DTR	4	11	0.9937	NA	2	3.2077	MOBQ	NA
k141_163749	1207	No terminal repeats	3	11	0.9937	NA	1	4.7440	T_virB6	NA
k141_152495	2281	No terminal repeats	3	11	0.9937	NA	2	2.9699	MOBP1	NA
k141_4709	3865	No terminal repeats	5	11	0.9937	NA	0	5.6311	NA	NA
k141_107904	2665	No terminal repeats	1	11	0.9937	NA	0	1.7183	NA	NA
k141_37608	4522	No terminal repeats	8	11	0.9937	NA	0	3.2439	NA	NA
k141_131433	2906	No terminal repeats	3	11	0.9937	NA	1	2.0467	NA	NA
k141_129609	2540	No terminal repeats	4	11	0.9937	NA	2	2.9571	MOBP1	NA
