seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k141_22503	2482	No terminal repeats	2	11	0.9964	NA	1	2.8300	NA	NA
k141_91212	1353	No terminal repeats	2	11	0.9963	NA	2	3.4366	MOBP1	NA
k141_65681	2220	No terminal repeats	3	11	0.9962	NA	2	2.6983	MOBP1	NA
k141_41478	2448	No terminal repeats	3	11	0.9962	NA	2	4.9260	MOBQ	NA
k141_27263	2739	No terminal repeats	4	11	0.9962	NA	1	5.0278	MOBV	NA
k141_49067	2141	No terminal repeats	1	11	0.9961	NA	1	1.7183	MOBV	NA
k141_19220	1321	No terminal repeats	1	11	0.9960	NA	1	1.7183	NA	NA
k141_58230	2540	No terminal repeats	4	11	0.9958	NA	1	4.9328	NA	NA
k141_26646	2010	No terminal repeats	1	11	0.9958	NA	1	1.7183	NA	NA
k141_26375	2444	No terminal repeats	3	11	0.9957	NA	2	4.7146	MOBP1	NA
k141_5488	2228	No terminal repeats	5	11	0.9957	NA	2	6.6443	MOBQ	NA
k141_65901	5354	No terminal repeats	8	11	0.9954	NA	3	5.2794	MOBP1	NA
k141_60359	1371	No terminal repeats	2	11	0.9954	NA	1	3.2077	MOBQ	NA
k141_81001	2753	No terminal repeats	4	11	0.9954	NA	2	4.3143	MOBP1	NA
k141_43852	4035	No terminal repeats	3	11	0.9954	NA	1	2.5681	NA	NA
k141_2249	1616	No terminal repeats	2	11	0.9952	NA	1	2.7441	NA	NA
k141_33026	1133	No terminal repeats	3	11	0.9952	NA	1	4.1134	NA	NA
k141_99860	6483	DTR	13	11	0.9952	NA	4	9.8848	NA	NA
k141_14197	1084	No terminal repeats	2	11	0.9951	NA	2	3.4366	MOBP1	NA
k141_50095	1257	No terminal repeats	2	11	0.9951	NA	1	2.8300	NA	NA
k141_40832	1389	No terminal repeats	2	11	0.9951	NA	1	3.1422	NA	NA
k141_62677	4196	No terminal repeats	6	11	0.9948	NA	2	4.7146	MOBP1	NA
k141_62932	1414	No terminal repeats	3	11	0.9947	NA	1	3.4296	NA	NA
k141_72898	2699	No terminal repeats	4	11	0.9947	NA	2	4.9444	MOBQ	NA
k141_96644	1382	No terminal repeats	2	11	0.9946	NA	1	2.0761	NA	NA
k141_93785	1551	No terminal repeats	2	11	0.9945	NA	1	3.1318	F_traE	NA
k141_73834	2478	No terminal repeats	3	11	0.9945	NA	2	3.4366	MOBP1	NA
k141_52676	1859	No terminal repeats	4	11	0.9944	NA	2	4.0398	MOBP1	NA
k141_99602	3724	No terminal repeats	4	11	0.9944	NA	2	3.4366	MOBP1	NA
k141_6731	1386	No terminal repeats	2	11	0.9943	NA	2	3.4366	MOBP1	NA
k141_9682	4219	No terminal repeats	6	11	0.9942	NA	1	8.2834	G_tfc18;G_tfc19;MOBH	NA
k141_87818	2681	DTR	6	11	0.9941	NA	0	3.1451	NA	NA
k141_66318	1104	No terminal repeats	4	11	0.9941	NA	2	4.9444	MOBQ	NA
k141_82412	1081	No terminal repeats	2	11	0.9940	NA	1	3.2409	NA	NA
k141_74745	5020	No terminal repeats	6	11	0.9939	NA	2	2.2591	MOBV	NA
k141_22894	4144	No terminal repeats	8	11	0.9938	NA	0	4.6082	NA	NA
k141_61395	3525	No terminal repeats	2	11	0.9938	NA	1	1.7183	MOBV	NA
k141_87723	3680	No terminal repeats	2	11	0.9937	NA	1	1.7183	NA	NA
k141_38921	9239	No terminal repeats	10	11	0.9936	NA	2	8.5819	FATA_trsC;FATA_trsD	NA
k141_28682	1077	No terminal repeats	2	11	0.9936	NA	1	1.7183	NA	NA
k141_42488	1899	No terminal repeats	2	11	0.9935	NA	1	2.6481	NA	NA
k141_27274	3853	No terminal repeats	4	11	0.9934	NA	2	0.9129	MOBV	NA
