seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
k141_31986	6909	No terminal repeats	NA	8	15	0.9837	NA	2	13.5017	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_926752	6177	No terminal repeats	NA	6	11	0.9836	NA	3	9.6450	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_869359	6798	No terminal repeats	NA	10	11	0.9836	NA	5	16.1200	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_212747	7638	No terminal repeats	NA	8	11	0.9835	NA	6	13.5519	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_801788	4092	No terminal repeats	NA	6	11	0.9834	NA	4	9.8173	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Autographiviridae
k141_323968	5325	No terminal repeats	NA	6	15	0.9834	NA	2	9.8545	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_821535	6466	No terminal repeats	NA	7	11	0.9834	NA	2	11.8756	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_641527	3447	No terminal repeats	NA	7	11	0.9834	NA	2	11.6164	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_200469	10713	No terminal repeats	NA	13	11	0.9833	NA	2	21.6374	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1157647	9170	No terminal repeats	NA	8	11	0.9833	NA	4	13.7463	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_144202	8466	No terminal repeats	NA	10	11	0.9833	NA	6	16.9495	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_407346	7290	No terminal repeats	NA	9	11	0.9833	NA	3	12.6404	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_796136	5466	No terminal repeats	NA	7	15	0.9833	NA	1	10.3097	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_76416	1706	No terminal repeats	NA	4	11	0.9833	NA	4	6.8170	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Autographiviridae
k141_1080172	7582	No terminal repeats	NA	5	11	0.9833	NA	3	8.5914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
k141_591171	5789	No terminal repeats	NA	7	11	0.9833	NA	1	11.7981	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_136772	7126	No terminal repeats	NA	7	11	0.9833	NA	2	10.1638	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_81189	2328	No terminal repeats	NA	4	11	0.9833	NA	3	6.8668	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
