seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
k141_681069	17162	No terminal repeats	NA	17	11	0.9832	NA	7	23.4029	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1104052	9729	No terminal repeats	NA	7	11	0.9831	NA	2	10.3097	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
k141_448019	6064	No terminal repeats	NA	6	11	0.9829	NA	0	9.8645	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
k141_762805	9313	No terminal repeats	NA	14	11	0.9828	NA	3	19.0704	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_423162	4572	No terminal repeats	NA	6	11	0.9828	NA	2	10.3097	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_291061	3509	No terminal repeats	NA	6	11	0.9826	NA	0	8.5914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_156329	8521	No terminal repeats	NA	10	11	0.9825	NA	2	13.1712	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_613947	4967	No terminal repeats	NA	9	11	0.9825	NA	4	11.6633	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_650717	5527	DTR	NA	8	11	0.9824	NA	2	12.0280	Viruses;Monodnaviria;Sangervirae;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae
k141_32331	3910	No terminal repeats	NA	5	15	0.9823	NA	1	6.8189	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
k141_774841	3174	No terminal repeats	NA	9	11	0.9823	NA	0	12.0280	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_166077	4015	No terminal repeats	NA	4	11	0.9823	NA	1	6.4429	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_628405	2777	No terminal repeats	NA	6	11	0.9822	NA	0	8.5914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
