seq_name	chromosome_score	plasmid_score	virus_score
k141_131871	0.1894	0.4405	0.3701
k141_197809	0.9018	0.0628	0.0354
k141_461543	0.8894	0.0826	0.0280
k141_395606	0.9459	0.0418	0.0123
k141_263742	0.5431	0.2404	0.2165
k141_65937	0.9684	0.0226	0.0090
k141_131874	0.6618	0.2568	0.0813
k141_65940	0.5149	0.2775	0.2076
k141_13	0.8260	0.1288	0.0452
k141_197819	0.4590	0.3967	0.1442
k141_263745	0.0326	0.9090	0.0584
k141_263746	0.9343	0.0472	0.0184
k141_18	0.7148	0.1072	0.1780
k141_461553	0.5021	0.3916	0.1063
k141_131884	0.4832	0.3474	0.1694
k141_263748	0.5261	0.3651	0.1088
k141_395618	0.8556	0.1014	0.0430
k141_461555	0.9038	0.0619	0.0343
k141_23	0.2514	0.5095	0.2391
k141_24	0.8778	0.0920	0.0302
k141_131886	0.2091	0.6050	0.1859
k141_263753	0.6765	0.2014	0.1221
k141_395622	0.3316	0.5615	0.1068
k141_65954	0.4609	0.3696	0.1695
k141_329689	0.6117	0.2918	0.0965
k141_461566	0.2663	0.2203	0.5134
k141_28	0.0012	0.9952	0.0037
k141_263762	0.2939	0.5659	0.1401
k141_329695	0.8679	0.1063	0.0258
k141_65961	0.9211	0.0587	0.0202
k141_197823	0.4436	0.4454	0.1110
k141_395635	0.6696	0.2795	0.0509
k141_34	0.6096	0.2943	0.0961
k141_263769	0.3508	0.4094	0.2398
k141_461573	0.7336	0.2211	0.0453
k141_35	0.1265	0.6671	0.2063
k141_329699	0.3407	0.5811	0.0782
k141_65963	0.3235	0.4981	0.1783
k141_395639	0.7802	0.1714	0.0484
k141_37	0.0041	0.9901	0.0059
k141_197829	0.4322	0.3433	0.2246
k141_329700	0.8782	0.0902	0.0316
k141_461577	0.0125	0.0288	0.9587
k141_329701	0.9729	0.0185	0.0086
k141_395642	0.8314	0.1100	0.0586
k141_263774	0.0943	0.8847	0.0210
k141_197831	0.6391	0.2494	0.1115
k141_65970	0.4643	0.3825	0.1532
k141_395643	0.0456	0.0261	0.9284
k141_197832	0.5141	0.4117	0.0742
k141_65974	0.9203	0.0584	0.0213
k141_329708	0.1142	0.4062	0.4796
k141_395650	0.1888	0.2714	0.5398
k141_50	0.1177	0.7252	0.1571
k141_461578	0.1547	0.7802	0.0651
k141_197836	0.0332	0.0428	0.9240
k141_395651	0.1879	0.1375	0.6746
k141_197837	0.8701	0.0952	0.0346
k141_52	0.7827	0.1245	0.0928
k141_65980	0.1049	0.0922	0.8029
k141_263792	0.2367	0.2049	0.5584
k141_395652	0.6014	0.3204	0.0782
k141_65981	0.8882	0.0863	0.0255
k141_197839	0.6359	0.2568	0.1073
k141_461581	0.5899	0.2970	0.1130
k141_55	0.2667	0.6170	0.1163
k141_329725	0.5906	0.1936	0.2159
k141_395657	0.8892	0.0770	0.0338
k141_197842	0.1680	0.2500	0.5821
k141_263800	0.0100	0.0133	0.9767
k141_461585	0.8455	0.1297	0.0248
k141_263801	0.2361	0.4622	0.3018
k141_197846	0.4349	0.3177	0.2474
k141_131887	0.9772	0.0160	0.0069
k141_197847	0.2987	0.2834	0.4178
k141_61	0.1195	0.7955	0.0849
k141_461586	0.7461	0.1011	0.1529
k141_329731	0.8315	0.1019	0.0666
k141_329733	0.1466	0.2419	0.6115
k141_461587	0.6602	0.3079	0.0319
k141_263808	0.1599	0.5260	0.3140
k141_67	0.8389	0.0807	0.0804
k141_197856	0.1501	0.3035	0.5464
k141_263809	0.4669	0.2833	0.2498
k141_131896	0.8088	0.1438	0.0474
k141_461589	0.7145	0.2090	0.0765
k141_329738	0.8673	0.0795	0.0532
k141_263811	0.5804	0.3210	0.0986
k141_395684	0.0614	0.9271	0.0115
k141_461592	0.6815	0.2018	0.1166
k141_263812	0.3394	0.6079	0.0526
k141_461593	0.0459	0.4797	0.4744
k141_66012	0.0828	0.7248	0.1924
k141_197865	0.9323	0.0457	0.0220
k141_461596	0.5885	0.2737	0.1378
k141_197866	0.4586	0.2015	0.3399
k141_131907	0.7093	0.1710	0.1198
k141_131908	0.8046	0.1621	0.0333
k141_197868	0.3998	0.3664	0.2339
k141_329747	0.9214	0.0597	0.0189
k141_66020	0.1209	0.1143	0.7647
k141_197869	0.5068	0.3031	0.1901
k141_66021	0.9033	0.0748	0.0219
k141_263824	0.8522	0.1137	0.0342
k141_329751	0.2155	0.1943	0.5901
k141_131910	0.0065	0.9554	0.0381
k141_395689	0.8070	0.1448	0.0482
k141_263825	0.4878	0.2774	0.2349
k141_197872	0.0247	0.3478	0.6275
k141_461609	0.2436	0.5249	0.2315
