seq_name	chromosome_score	plasmid_score	virus_score
k141_277488	0.2591	0.1890	0.5519
k141_323738	0.6642	0.2103	0.1255
k141_277489	0.5269	0.2215	0.2516
k141_46250	0.2801	0.3055	0.4143
k141_184997	0.0455	0.9353	0.0192
k141_92502	0.1177	0.1316	0.7507
k141_46259	0.0329	0.7995	0.1676
k141_323750	0.1028	0.7562	0.1410
k141_138766	0.0527	0.0715	0.8758
k141_13	0.5099	0.4410	0.0491
k141_185006	0.1460	0.7482	0.1058
k141_231261	0.1447	0.1743	0.6810
k141_19	0.0444	0.3532	0.6024
k141_92510	0.0312	0.0394	0.9293
k141_231262	0.7290	0.1779	0.0931
k141_185010	0.7057	0.1579	0.1364
k141_20	0.2284	0.1521	0.6195
k141_323762	0.1648	0.2148	0.6203
k141_46276	0.6622	0.1630	0.1748
k141_185014	0.8265	0.1285	0.0450
k141_92516	0.6040	0.2347	0.1613
k141_323764	0.0076	0.0182	0.9742
k141_277513	0.6481	0.2707	0.0812
k141_138775	0.8541	0.1107	0.0351
k141_231272	0.1421	0.0535	0.8044
k141_27	0.1275	0.7317	0.1408
k141_185018	0.3926	0.1459	0.4615
k141_31	0.0415	0.0388	0.9197
k141_323769	0.5615	0.3962	0.0423
k141_46282	0.3632	0.4386	0.1982
k141_92523	0.2170	0.5256	0.2574
k141_231277	0.9636	0.0278	0.0086
k141_138789	0.0246	0.8971	0.0783
k141_231281	0.6017	0.2323	0.1660
k141_185026	0.8118	0.1126	0.0756
k141_323776	0.2373	0.6270	0.1357
k141_46290	0.9013	0.0775	0.0213
k141_92525	0.1715	0.7655	0.0629
k141_35	0.6165	0.3405	0.0430
k141_231284	0.2755	0.5937	0.1308
k141_36	0.4804	0.4346	0.0850
k141_323778	0.3130	0.3339	0.3531
k141_46296	0.5988	0.1985	0.2027
k141_92531	0.9612	0.0262	0.0126
k141_323779	0.4985	0.3859	0.1156
k141_277522	0.4817	0.4297	0.0886
k141_46300	0.8161	0.1232	0.0608
k141_92537	0.0309	0.0260	0.9432
k141_46	0.4015	0.5075	0.0911
k141_323784	0.9346	0.0494	0.0160
k141_92541	0.1674	0.6634	0.1692
k141_47	0.7311	0.2154	0.0535
k141_138818	0.4240	0.4180	0.1580
k141_46306	0.3185	0.2072	0.4742
k141_138820	0.1162	0.1630	0.7208
k141_185057	0.9477	0.0381	0.0142
k141_46309	0.3589	0.4441	0.1970
k141_231310	0.7685	0.1600	0.0715
k141_92546	0.9564	0.0319	0.0117
k141_138828	0.4187	0.4985	0.0828
k141_92548	0.7450	0.1127	0.1423
k141_231315	0.1256	0.0387	0.8357
k141_138829	0.5545	0.2498	0.1957
k141_60	0.8845	0.0909	0.0246
k141_323793	0.9585	0.0298	0.0117
k141_231318	0.5492	0.2457	0.2051
k141_92551	0.7286	0.1859	0.0855
k141_46314	0.7590	0.2050	0.0360
k141_185074	0.0457	0.8132	0.1411
k141_138838	0.6006	0.3490	0.0504
k141_231321	0.6786	0.2652	0.0561
k141_277567	0.1830	0.2618	0.5552
k141_323797	0.8993	0.0776	0.0232
k141_65	0.8307	0.1223	0.0469
k141_92554	0.5670	0.2819	0.1511
k141_46321	0.5573	0.3303	0.1124
k141_323800	0.5686	0.2913	0.1401
k141_138843	0.8028	0.1229	0.0743
