seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k141_62633	2354	No terminal repeats	5	11	0.9965	NA	1	8.4252	F_traV	NA
k141_318783	2590	No terminal repeats	4	11	0.9965	NA	1	5.1934	NA	NA
k141_303675	2867	No terminal repeats	2	11	0.9964	NA	1	3.4366	NA	NA
k141_443122	4494	No terminal repeats	6	11	0.9964	NA	4	8.4181	MOBP1	NA
k141_112945	2470	No terminal repeats	3	11	0.9963	NA	1	4.6094	NA	NA
k141_216187	1130	No terminal repeats	3	11	0.9963	NA	2	4.9260	MOBQ	NA
k141_497040	2318	No terminal repeats	2	11	0.9963	NA	1	3.0875	NA	NA
k141_172559	3520	No terminal repeats	8	11	0.9962	NA	5	11.1113	F_traF;F_traN	NA
k141_258499	2528	No terminal repeats	4	11	0.9962	NA	0	3.6423	NA	NA
k141_61719	1348	No terminal repeats	1	11	0.9962	NA	1	1.7183	MOBV	NA
k141_91195	4007	No terminal repeats	2	11	0.9962	NA	0	3.0241	NA	NA
k141_509584	2181	No terminal repeats	2	11	0.9961	NA	1	3.2077	MOBQ	NA
k141_140614	2515	No terminal repeats	3	11	0.9961	NA	0	3.4682	NA	NA
k141_334992	2835	No terminal repeats	3	11	0.9961	NA	1	3.7306	NA	NA
k141_135555	1677	No terminal repeats	3	11	0.9960	NA	2	3.5274	NA	NA
k141_167008	5245	No terminal repeats	8	11	0.9960	NA	3	8.0919	MOBP1	NA
k141_163863	1139	No terminal repeats	2	11	0.9959	NA	2	3.2261	MOBQ	NA
k141_197231	2717	No terminal repeats	2	11	0.9959	NA	1	2.3393	MOBQ	NA
k141_307295	1581	No terminal repeats	3	11	0.9958	NA	2	4.9444	MOBQ	NA
k141_49266	2554	No terminal repeats	2	11	0.9958	NA	1	3.2077	MOBQ	NA
k141_283358	1061	No terminal repeats	2	11	0.9958	NA	2	3.3991	MOBQ	NA
k141_357546	3522	No terminal repeats	4	11	0.9957	NA	0	2.9425	NA	NA
k141_180654	3134	No terminal repeats	5	11	0.9956	NA	1	6.2327	MOBP1	NA
k141_390768	2886	No terminal repeats	4	11	0.9956	NA	4	5.9823	F_traK;F_traV	NA
