card_subject_id	total_read_hits	R1_read_hits	R2_read_hits	mean_percent_identity	maximum_alignment_length	minimum_evalue	maximum_bitscore
gb|AJP09758.1|ARO:3004681|Cdif_rpoC_VAN	9275	4605	4670	85.9313	51	5.28e-33	115.0000
gb|AAA50993.1|ARO:3003368|Ecol_EFTu_KIR	9040	4526	4514	85.2871	51	1.38e-31	109.0000
gb|NP_215182.1|ARO:3004994|Mtub_rpoC_RIF	5521	2766	2755	86.5107	50	3.21e-34	118.0000
gb|AFK57679.1|ARO:3003438|Efac_EFTu_GE2A	4746	2399	2347	86.9437	55	3.67e-31	108.0000
gb|ADK17136.1|ARO:3004563|Cdif_rpoB_RIF	4517	2206	2311	86.6065	51	4.11e-31	109.0000
gb|BAB38333.1|ARO:3003288|Ecol_rpoB_RIF	4409	2192	2217	86.6285	52	4.66e-32	112.0000
gb|CAG39569.1|ARO:3003291|Saur_rpoC_DAP	4024	1993	2031	84.8604	51	1.62e-31	110.0000
gb|YP_177995.1|ARO:3004957|Mtub_clpC1_PZA	3687	1830	1857	84.1477	50	2.35e-29	104.0000
gb|NP_215196.1|ARO:3003395|Mtub_rpsL_STR	3350	1724	1626	84.0686	51	3.11e-32	104.0000
gb|AJY14066.1|ARO:3004860|Bdol_gyrA_FLO	2572	1289	1283	85.6948	51	2.21e-31	110.0000
gb|AAD08242.1|ARO:3007051|Hpyl_rpoB_RIF	2453	1227	1226	84.1969	51	1.04e-30	108.0000
gb|CAG39573.1|ARO:3003735|Saur_fusA_FA	2439	1236	1203	83.9365	50	2.07e-28	102.0000
gb|WP_011079201.1|ARO:3007794|Vvul_rpoB_RIF	2314	1185	1129	85.5173	50	7.66e-31	108.0000
gb|AXU66539.1|ARO:3003357|Cdif_EFTu_ELF	2191	1125	1066	87.5548	56	3.61e-32	110.0000
gb|NP_216424.1|ARO:3003392|Mtub_katG_INH	2170	1075	1095	83.3657	50	1.26e-29	105.0000
gb|AAB39605.1|ARO:3003361|Pros_EFTu_GE2A	2140	1035	1105	84.7061	51	1.45e-30	106.0000
gb|CAB11883.2|ARO:3007073|Bsub_rpoB_RIF	2089	1039	1050	86.0890	51	6.77e-30	106.0000
gb|WP_041777404.1|ARO:3004480|Bado_rpoB_RIF	1966	986	980	85.1656	50	2.66e-30	107.0000
gb|BAE77595.1|ARO:3003303|Ecol_gyrB_AMU	1953	978	975	85.5686	51	2.35e-29	104.0000
gb|CNT74515.1|ARO:3004859|Ngon_gyrB_ZOL	1843	922	921	84.7387	51	3.21e-29	104.0000
gb|EEK14408.1|ARO:3003931|Cgin_gyrA_FLO	1842	934	908	84.1331	52	1.12e-28	102.0000
gb|CAC14595.1|ARO:3003056|smeE	1593	832	761	86.1424	51	3.24e-24	90.1000
gb|CAA67349.1|ARO:3003359|Scin_EFTu_ELF	1589	781	808	88.5748	51	5.38e-31	107.0000
gb|ABM44583.1|ARO:3003302|Bbac_gyrA_AMU	1357	676	681	84.0944	51	5.99e-29	103.0000
gb|AAG06556.1|ARO:3003684|Paer_gyrA_FLO	1264	645	619	83.9224	50	4.12e-31	109.0000
gb|ADK13120.1|ARO:3004562|Cdif_gyrB_FLO	1204	594	610	82.7037	50	3.39e-27	98.6000
gb|CAC30845.1|ARO:3003284|Mlep_rpoB_RIF	1136	558	578	86.3867	50	4.12e-31	109.0000
gb|NP_217280.1|ARO:3004153|Mtub_thyA_PAS	926	489	437	84.3050	50	6.23e-32	107.0000
gb|CAG39568.1|ARO:3003285|Saur_rpoB_RIF	925	462	463	83.5481	50	5.98e-29	103.0000
gb|AAC73564.1|ARO:3000216|acrB	801	417	384	84.3994	51	4.38e-29	103.0000
gb|WP_004025678.1|ARO:3003305|Uure_gyrB_FLO	743	370	373	84.5112	51	1.54e-23	88.2000
gb|AAW90462.1|ARO:3003930|rpsJ	707	366	341	84.0564	50	2.22e-28	94.4000
