seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k141_242198	3456	No terminal repeats	5	11	0.9966	NA	1	7.0816	MOBQ	NA
k141_161819	4115	No terminal repeats	5	11	0.9964	NA	2	6.7850	NA	NA
k141_142065	4044	No terminal repeats	5	11	0.9963	NA	0	5.5956	NA	NA
k141_22911	1177	No terminal repeats	3	11	0.9962	NA	1	5.1453	FATA_trsC;FATA_trsD	NA
k141_224850	3625	No terminal repeats	3	11	0.9959	NA	0	3.7306	NA	NA
k141_22296	1590	No terminal repeats	1	11	0.9959	NA	1	1.7183	NA	NA
k141_179090	1762	No terminal repeats	2	11	0.9958	NA	2	3.4366	MOBP1	NA
k141_195355	3057	No terminal repeats	5	11	0.9958	NA	1	6.6443	MOBQ	NA
k141_62674	1887	No terminal repeats	2	11	0.9958	NA	1	2.8010	NA	NA
k141_104186	1650	No terminal repeats	2	11	0.9958	NA	2	2.9571	MOBP1	NA
k141_12159	2399	No terminal repeats	2	11	0.9957	NA	1	2.7941	NA	NA
k141_213529	2766	No terminal repeats	2	11	0.9957	NA	0	3.4366	NA	NA
k141_29721	3648	No terminal repeats	4	11	0.9956	NA	2	4.9260	MOBQ	NA
k141_50375	3000	No terminal repeats	4	11	0.9956	NA	2	4.9260	MOBQ	NA
k141_10244	1438	No terminal repeats	1	4	0.9955	NA	1	1.7183	MOBV	NA
k141_224719	2267	No terminal repeats	4	11	0.9955	NA	2	4.9260	MOBQ	NA
k141_7959	1306	No terminal repeats	2	11	0.9954	NA	2	3.4366	MOBP1	NA
k141_14500	2437	No terminal repeats	4	11	0.9953	NA	2	4.0760	MOBQ	NA
k141_127580	2265	No terminal repeats	4	11	0.9953	NA	2	4.0398	MOBP1	NA
k141_92348	2977	No terminal repeats	3	11	0.9952	NA	1	3.4296	NA	NA
k141_16153	1905	No terminal repeats	2	11	0.9952	NA	1	3.2077	MOBQ	NA
k141_110823	4122	No terminal repeats	5	11	0.9951	NA	2	4.0532	NA	NA
k141_169437	2919	No terminal repeats	3	11	0.9951	NA	2	3.4103	MOBQ	NA
k141_170165	4561	No terminal repeats	6	11	0.9951	NA	3	5.5126	MOBP1	NA
k141_161366	2426	No terminal repeats	5	11	0.9950	NA	1	4.1134	NA	NA
k141_238917	4408	No terminal repeats	5	11	0.9950	NA	1	3.5017	MOBQ	NA
k141_67255	2996	No terminal repeats	4	11	0.9949	NA	2	4.9444	MOBQ	NA
k141_137364	2675	No terminal repeats	5	11	0.9949	NA	0	5.1548	NA	NA
k141_27851	3306	No terminal repeats	5	11	0.9948	NA	0	3.8739	NA	NA
k141_49346	1627	No terminal repeats	2	11	0.9947	NA	2	2.9699	MOBP1	NA
k141_177948	1076	No terminal repeats	2	11	0.9947	NA	1	2.1745	MOBT	NA
k141_65556	1147	No terminal repeats	2	11	0.9947	NA	1	3.2077	MOBQ	NA
k141_53073	1560	No terminal repeats	3	11	0.9946	NA	1	3.4366	NA	NA
k141_164353	9939	No terminal repeats	16	11	0.9946	NA	2	10.1635	NA	NA
